condition,palette_family,n_regions,n_corner_labels,measured_ab_hull_area,median_deltaE00_to_expected,median_within_region_deltaE00,coverage_grid_step_ab,coverage_grid_points,median_nearest_ab_distance,mean_nearest_ab_distance,p90_nearest_ab_distance,max_nearest_ab_distance
full,CMY,55,1,6646.109139082127,8.07367133253315,1.979086261533577,2.0,1657,6.482096834675406,6.921221907964112,12.179309463331276,18.13098876680774
full,CMY+OVG,495,9,8145.994436226976,11.314200040748512,2.1930531672769744,2.0,2040,2.4207341447345856,2.9443976581089926,5.696058403229167,13.601034506167858
full,CMY+neutral,660,12,7041.517033832526,11.662546327393631,2.2175386015455008,2.0,1761,1.9724718164183621,2.722910266033688,5.626235267058514,17.39285855867718
two_color,CMY,30,1,6226.07069291248,9.127532957722952,3.2716649261029027,2.0,1557,13.761414656771011,14.30553020517539,25.66490982453168,34.57574918945225
two_color,CMY+OVG,270,9,8345.820986487788,10.783387580173446,3.024436974664484,2.0,2097,4.433759256179386,5.072850530368648,9.805495923485397,19.037319231662163
two_color,CMY+neutral,360,12,5767.5282069955565,11.38124417937929,3.236832902174315,2.0,1448,3.995853359891939,5.128739470163758,11.037890966056148,19.051451429623896
full,CMY+neutral+OVG,1210,22,8751.977942420035,11.363875154854922,2.1930634847546377,2.0,2179,1.5691625348471185,2.16967403177245,4.628522199142653,14.875415868768844
two_color,CMY+neutral+OVG,660,22,8625.831483869471,11.097678481502454,3.141322954437702,2.0,2158,2.976699562868977,3.8438841752799915,8.089700472823735,19.737506431023927
