group_name,triangle_name,panel_name,sub_gamut_name,n_regions_expected,n_regions_measured,preset,median_deltaE00_to_expected,median_within_region_deltaE00,measured_ab_hull_area,min_pairwise_deltaE00
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,30,30,simple,49.68275454776388,0.3712652798559097,4046.012619639816,1.2807277279183913
panel_01_up_left,panel_01_up_left__corner_2,panel_01_up_left,corner_2,30,30,simple,54.30606317459737,0.6576240965618068,5863.229023775642,2.030250719532656
panel_01_up_left,panel_01_up_left__corner_3,panel_01_up_left,corner_3,30,30,simple,34.56827093390061,0.4483820929013552,3551.268443200453,1.6035766524241368
panel_01_up_left,panel_01_up_left__center,panel_01_up_left,center,30,30,simple,33.60061098692892,0.3566047016369703,8181.466425301069,1.8116301241098076
panel_02_down,panel_02_down__corner_1,panel_02_down,corner_1,30,30,simple,58.958767592943495,0.4889482365881526,3114.7340546632695,0.0
panel_02_down,panel_02_down__corner_2,panel_02_down,corner_2,30,30,simple,56.43613884028831,0.5610115684641187,3211.5929305983313,0.05126262036472835
panel_02_down,panel_02_down__corner_3,panel_02_down,corner_3,30,30,simple,29.219692220237295,0.47417635581624623,2018.7137519498533,0.20721699267354246
panel_02_down,panel_02_down__center,panel_02_down,center,30,30,simple,34.06642743455542,0.3909860946143851,7168.512038865744,1.132189323912963
panel_03_up,panel_03_up__corner_1,panel_03_up,corner_1,30,30,simple,52.23413922931561,0.38574885353935784,6853.90790384917,0.9712196005008658
panel_03_up,panel_03_up__corner_2,panel_03_up,corner_2,30,30,simple,47.79615348987137,0.3337683347668354,2303.0675933921157,0.9706638472732707
panel_03_up,panel_03_up__corner_3,panel_03_up,corner_3,30,30,simple,29.14928262442203,0.3571912082311408,3650.3880902835385,0.9138477938199363
panel_03_up,panel_03_up__center,panel_03_up,center,30,30,simple,34.926068733791716,0.33487499465667436,7370.993957090001,1.8047292576482148
panel_04_down,panel_04_down__corner_1,panel_04_down,corner_1,30,30,simple,47.93541145132373,0.7306687555792948,4071.5093714320833,1.5888864030050727
panel_04_down,panel_04_down__corner_2,panel_04_down,corner_2,30,30,simple,45.5732019982953,0.8632431761224109,3109.7785144410473,1.3707789809192605
panel_04_down,panel_04_down__corner_3,panel_04_down,corner_3,30,30,simple,44.43991389337144,0.679864576250654,1788.0341018189088,0.9640097779360765
panel_04_down,panel_04_down__center,panel_04_down,center,30,30,simple,48.92260140555295,0.39592455078929495,7947.016485206885,2.0476550437776635
panel_05_up,panel_05_up__corner_1,panel_05_up,corner_1,30,30,simple,60.53921985147473,1.146547533356546,5717.722089861958,0.7766763388088105
panel_05_up,panel_05_up__corner_2,panel_05_up,corner_2,30,30,simple,44.36319934417827,0.8559335671556629,3574.3649298013142,0.731205677990598
panel_05_up,panel_05_up__corner_3,panel_05_up,corner_3,30,30,simple,46.053634382835384,0.3590187427264076,355.6404038405303,0.45553386181662275
panel_05_up,panel_05_up__center,panel_05_up,center,30,30,simple,34.40029237001423,0.5145276208339717,8259.323526985252,2.129317870401871
panel_06_down_right,panel_06_down_right__corner_1,panel_06_down_right,corner_1,30,30,simple,51.93992406536751,1.8909675565933828,3709.677326794591,1.1691063250528158
panel_06_down_right,panel_06_down_right__corner_2,panel_06_down_right,corner_2,30,30,simple,43.26372260061774,2.15990342111328,3090.67623789681,0.9164356424600273
panel_06_down_right,panel_06_down_right__corner_3,panel_06_down_right,corner_3,30,30,simple,52.967895572513555,1.2909649294870906,1681.4491365467682,1.161104678392704
panel_06_down_right,panel_06_down_right__center,panel_06_down_right,center,30,30,simple,47.74896755300236,0.43222535331040624,7592.940658641266,2.235931292397096
