group_name,triangle_name,panel_name,sub_gamut_name,source_registration,global_label,region_index,label,stack_token,fC,fM,fY,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_001_my,1,gamut_001_my,my,0.0,0.5,0.5,0.75,0.4330127018922193,#e17c4b,0.8823529411764706,0.48627450980392156,0.29411764705882354,62.45289702748056,35.06929839281481,43.41945673452145,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,simple,134,2473,1078,136,134,136,1.0,0.65,0.65,6,98.0,1.698046593476718,2,0.014705882352941176,#47994c,0.2784314,0.6,0.29803923,56.718750473583526,-41.36772292460067,32.39266404472271,56.723380974578326,-41.33493836248224,32.35787592915057,50.099910328284174,77.44087306845395,0.9691887938514558,1.3771666585364626,0.40620798277023074,141.93756458068748,52.54115704741192
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_002_mymyy,2,gamut_002_mymyy,mymyy,0.0,0.4,0.6,0.7,0.5196152422706631,#e78f3c,0.9058823529411765,0.5607843137254902,0.23529411764705882,67.25038043422728,26.766151588117626,56.050858524577286,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,simple,98,1830,778,100,98,100,1.0,0.65,0.65,5,98.0,2.026709954713878,2,0.02,#3c915f,0.23529412,0.5686275,0.37254903,54.023774570927685,-37.378323620068294,19.099879989865453,53.98053108250109,-37.45978063915626,19.007535001301935,44.543558689939715,75.19861446243132,0.9072687566592594,1.6091100346635185,0.4570620319331797,152.933506501363,41.97552253723374
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_003_myy,3,gamut_003_myy,myy,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5773502691896257,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,simple,113,1324,565,115,113,115,1.0,0.65,0.65,4,98.0,1.4871902181055343,2,0.017391304347826087,#338a68,0.2,0.5411765,0.40784314,51.70004320635043,-34.52847146063354,10.640722590302243,51.75793309822435,-34.603605665665846,10.799717037206776,43.29294700572515,78.96076381562611,0.4262817398211434,1.1310552382847427,0.3962343407957223,162.872145148247,36.13087763467078
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_004_ymyy,4,gamut_004_ymyy,ymyy,0.0,0.25,0.75,0.625,0.649519052838329,#f0ad25,0.9411764705882353,0.6784313725490196,0.1450980392156863,75.17069205620427,13.897348872566884,71.97054159381838,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,simple,45,918,399,45,45,45,1.0,0.65,0.65,4,98.0,,0,0.0,#2c8279,0.17254902,0.50980395,0.4745098,49.264127084860604,-27.431907553476965,-2.6777497363106306,49.228336973148565,-27.34915423818321,-2.876992556181999,44.72798689838818,89.17188426769927,0.6523582149284672,1.260874319462375,0.43336383283321755,185.57523103656993,27.56229119055269
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_005_yymyy,5,gamut_005_yymyy,yymyy,0.0,0.2,0.8,0.6000000000000001,0.6928203230275509,#f3b71e,0.9529411764705882,0.7176470588235294,0.11764705882352941,77.88658998186094,9.774007373456461,76.02676705068747,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,simple,79,1108,488,79,79,79,1.0,0.65,0.65,5,98.0,,0,0.0,#287d85,0.15686275,0.49019608,0.52156866,47.894824178318736,-22.19633388432468,-11.67830473894349,47.92495512660459,-22.093830312605782,-11.693563306120213,48.14288563363345,98.04992786217555,1.164881997599686,2.139461642315802,0.6547970228712207,207.75050249537884,25.081069344827583
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_006_y,6,gamut_006_y,y,0.0,0.0,1.0,0.5,0.8660254037844386,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,simple,45,543,232,45,45,45,1.0,0.65,0.65,3,98.0,,0,0.0,#1a6ac1,0.101960786,0.41568628,0.75686276,44.7673883560852,9.261668081506135,-51.51657781151893,44.779839688691794,9.172056837417447,-51.632723853233216,70.29129078874152,147.65914124271023,0.3711610603932929,0.4540902058129436,0.17301747663819306,280.1917828629422,52.342490245137114
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_007_yycyy,7,gamut_007_yycyy,yycyy,0.2,0.0,0.8,0.4,0.6928203230275509,#d7da2c,0.8431372549019608,0.8549019607843137,0.17254901960784313,84.3667653359768,-19.647053313897157,76.98686095704784,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,simple,67,1096,467,67,67,67,1.0,0.65,0.65,5,98.0,,0,0.0,#157590,0.08235294,0.45882353,0.5647059,45.488853922220436,-16.208877421336144,-22.126883354234494,45.47098656452378,-16.306721842256376,-22.074466183589017,56.84407912667185,106.52158166665723,0.48574838828351735,0.9990637173381132,0.3847418691939297,233.7756473634984,27.42857404663611
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_008_ycyy,8,gamut_008_ycyy,ycyy,0.25,0.0,0.75,0.375,0.649519052838329,#cdd937,0.803921568627451,0.8509803921568627,0.21568627450980393,83.38010598564017,-22.911475895264044,72.6579380339764,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,simple,55,935,408,55,55,55,1.0,0.65,0.65,4,98.0,,0,0.0,#147482,0.078431375,0.45490196,0.50980395,44.589162173705326,-20.780730183693585,-15.17752765209015,44.69826800667166,-20.752146686660886,-15.282318603305837,51.434588213602176,96.04346115897863,0.3622378754907226,0.5770331946579182,0.2697812001239195,216.1431018678488,25.733171056001527
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_009_cyy,9,gamut_009_cyy,cyy,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.5773502691896257,#bdd749,0.7411764705882353,0.8431372549019608,0.28627450980392155,81.78436408497542,-27.531586792779173,64.35620557265086,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,simple,115,1355,574,116,115,116,1.0,0.65,0.65,4,98.0,1.3541745621690529,1,0.008620689655172414,#157473,0.08235294,0.45490196,0.4509804,44.054713680749266,-25.685429470961445,-6.9803014595476665,44.002655832240826,-25.66596632857892,-6.913972450731446,45.07302029618984,80.72070398625704,0.44407756204940324,0.8764017351539168,0.33249446797277965,195.20358276191558,26.617022665465385
panel_01_up_left,panel_01_up_left__corner_1,panel_01_up_left,corner_1,panel_landmarks,panel_01_up_left__corner_1::gamut_010_cycyy,10,gamut_010_cycyy,cycyy,0.4,0.0,0.6,0.3,0.5196152422706631,#b0d558,0.6901960784313725,0.8352941176470589,0.34509803921568627,80.47282173371678,-30.62907611862564,56.47710040787457,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,simple,98,1809,778,100,98,100,1.0,0.65,0.65,5,98.0,0.8253227309341736,2,0.02,#14746a,0.078431375,0.45490196,0.41568628,43.76896986522904,-28.676267167676766,-2.0419677974119366,43.94214922570725,-28.714539267379795,-1.989061157945823,41.04124583718581,69.10475778409018,0.36128494483986584,0.7043833148908978,0.23951426642136106,184.0730193950636,28.748877041680146
