group_name,triangle_count,region_count,measured_ab_hull_area,expected_ab_hull_area,median_deltaE00_to_expected,median_within_region_deltaE00,min_pairwise_deltaE00,distinguishable_colors_deltaE00_lt_2,distinguishable_colors_deltaE00_lt_5,distinguishable_colors_deltaE00_lt_10
panel_01_up_left,4,120,9012.856856298706,8836.770648116128,44.478416657726854,0.42400072264663524,0.022398401220161398,78,17,4
panel_02_down,4,120,7534.280205115933,8836.770648116128,46.57110181891535,0.44492225182178113,0.0,47,9,6
panel_03_up,4,120,9298.350474671244,8836.770648116128,46.529276280204954,0.35008748283812074,0.12685981633684112,60,14,3
panel_04_down,4,120,8065.189620430896,8836.770648116128,46.18211385544827,0.606250490677027,0.2964125791328022,67,13,3
panel_05_up,4,120,8615.40636713656,8836.770648116128,44.158990664658546,0.5418535010589747,0.2939731525160034,76,21,5
panel_06_down_right,4,120,7855.253065509858,8836.770648116128,45.555965136291384,1.079767030262444,0.4569843845193316,85,14,4
