condition,corner_label,region_index,file_i,file_j,deltaE00
two_color,cym,9,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.27170795454048274
two_color,cym,10,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.12567724905813443
two_color,cym,11,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.1609751385514306
two_color,cym,12,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.4929334377299448
two_color,cym,13,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.4216040840501274
two_color,cym,14,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.16130221244387863
two_color,cym,15,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.7611806279283708
two_color,cym,16,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.2264108458887444
two_color,cym,17,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.24297459126294577
two_color,cym,18,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.276584023092773
two_color,cym,19,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.428633108746403
two_color,cym,20,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.2411991975130457
two_color,cym,21,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.07976315614864186
two_color,cym,22,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.19739834030926448
two_color,cym,23,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.2407476175227891
two_color,cym,24,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.30444850117884364
two_color,cym,25,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.22084721133518131
two_color,cym,26,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.09609051097536146
two_color,cym,27,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.7709433929828926
two_color,cym,28,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,1.090636705020385
two_color,cym,29,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.09859471485071011
two_color,cym,30,cmysimpleDSC_4511.tif,cmysimpleDSC_4512.tif,0.3842667841725513
