role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,292.7368421052632,1126.8947368421052,0.5137255191802979,0.7176470756530762,0.8901960849761963,14.70369140632282,-2,0,1,manual_override:two_color__cwy__DSC_4574cwy,34.90640346656934,496779,624836.8047091413,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,cwy,two_color,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
top,Y,w,-2,910.8947368421052,95.21052631578948,0.9137254953384399,0.929411768913269,0.8627451062202454,8.481084911067255,-2,0,1,manual_override:two_color__cwy__DSC_4574cwy,34.90640346656934,496779,624836.8047091413,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,cwy,two_color,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
bottom_right,M,y,-2,1496.3684210526314,1139.6842105263158,0.8784313797950745,0.9098039269447327,0.4156862795352936,11.721627149179263,-2,0,1,manual_override:two_color__cwy__DSC_4574cwy,34.90640346656934,496779,624836.8047091413,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,cwy,two_color,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
