region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_y,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cym_two_color_001_my,cym,two_color,my,my,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e17c4b,0.8823529411764706,0.48627450980392156,0.29411764705882354,62.45289702748056,35.06929839281481,43.41945673452145,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color,8491,32264,13802,8656,8491,8656,1.0,0.65,0.65,8,98.0,6.260013122126618,165,0.019061922365988908,#e37a6d,0.8901961,0.47843137,0.42745098,62.8454745334774,39.01664617859413,26.078191098309468,63.117019249994854,38.72108724920952,25.853341012519614,10.398838411793728,17.789186757853155,2.6748193967133527,4.358793086325283,1.2125577629238469,33.75822421622229,46.92942286013702,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
2,cym_two_color_002_mymyy,cym,two_color,mymyy,mymyy,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e7903c,0.9058823529411765,0.5639215686274509,0.23529411764705882,67.43094787588788,26.34285180880125,56.23381246555199,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color,5316,23309,9819,5424,5316,5424,1.0,0.65,0.65,8,98.0,10.421624897444843,108,0.01991150442477876,#e8866b,0.9098039,0.5254902,0.41960785,65.8971830852354,34.97408063809565,30.055029011430136,66.03931431148813,33.64171734758343,30.90647837170491,15.545792542175446,27.60759403994655,3.779489865192259,8.325301940152832,2.4600303098148277,40.6741654111533,46.11389254181351,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
3,cym_two_color_003_myy,cym,two_color,myy,myy,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color,3570,17026,7223,3643,3570,3643,1.0,0.65,0.65,8,98.0,7.866807576459996,73,0.02003842986549547,#eb946b,0.92156863,0.5803922,0.41960785,69.35989381085102,29.19269904242039,34.35729525484403,68.69211231927038,29.438030490085797,34.30774174587236,15.492679338813389,30.695462345957814,3.775948757765396,6.751689619353779,2.0552544597537477,49.646116666883586,45.08478029900845,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
4,cym_two_color_004_ymyy,cym,two_color,ymyy,ymyy,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color,2124,11785,4979,2166,2124,2166,1.0,0.65,0.65,8,98.0,11.189327569936273,42,0.019390581717451522,#efa268,0.9372549,0.63529414,0.40784314,73.06087560587227,22.8465606718945,40.25084973974084,71.90857355896695,24.144841215640795,39.80630037325038,14.559857253042091,33.066712950555385,3.7398434022653833,8.367825896046657,2.70278191358926,60.420563826432044,46.282785561218674,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
5,cym_two_color_005_yymyy,cym,two_color,yymyy,yymyy,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color,3083,13905,5957,3144,3083,3144,1.0,0.65,0.65,8,98.0,12.80074972347197,61,0.01940203562340967,#f0ab69,0.9411765,0.67058825,0.4117647,75.29030745732923,18.801511866953113,43.546842357031544,74.28846857112654,20.596042309079493,41.892597840362,13.603934076601291,33.94846631806468,3.5363680679590823,10.887310074240167,3.4998372001271956,66.64754738535959,47.43231311828821,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
6,cym_two_color_006_y,cym,two_color,y,y,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color,963,6943,2916,982,963,0,0.0,0.65,0.65,8,98.0,0.8643021972133279,19,0.019348268839103868,#ffe549,1.0,0.8980392,0.28627452,90.6808078111512,-7.3439807963092685,74.73149190954935,90.71025797980067,-7.351758647245748,74.8164961663459,3.411417152272365,14.003919971962281,0.30323473656884287,0.6444744540442002,0.19295093193263596,95.6125250350288,75.09147712599346,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
7,cym_two_color_007_yycyy,cym,two_color,yycyy,yycyy,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d8da2c,0.8454901960784313,0.8564705882352941,0.17254901960784313,84.52082667829146,-19.591593417616572,77.13877361131732,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color,3013,13987,5879,3074,3013,3074,1.0,0.65,0.65,8,98.0,6.6638446961842215,61,0.019843851659076123,#b3d666,0.7019608,0.8392157,0.4,81.0364732700557,-28.519875629347435,51.305060962750716,80.7655895782308,-28.535117430044664,49.33075663992759,10.615452211084953,27.554231093146186,2.2028841227782543,5.339300816113046,1.6473834490866313,119.0691640754776,58.69917023523428,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
8,cym_two_color_008_ycyy,cym,two_color,ycyy,ycyy,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ced937,0.8068627450980392,0.8519607843137255,0.21568627450980393,83.5042416800598,-22.722707681334942,72.79352079044212,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color,2129,11865,5010,2171,2129,2171,1.0,0.65,0.65,8,98.0,5.558302555636954,42,0.019345923537540305,#a9d26a,0.6627451,0.8235294,0.41568628,79.27459822060332,-30.04546107221434,46.344421295503956,78.90333168798907,-30.02785400302161,45.61807656154523,10.778673189075244,27.768101575565023,2.095684737596319,3.9125733462001167,1.1810671846576226,122.95566582780816,55.231649588411784,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
9,cym_two_color_009_cyy,cym,two_color,cyy,cyy,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#bdd749,0.742483660130719,0.8444444444444444,0.28758169934640526,81.90233054832865,-27.535536020099894,64.35586331832887,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color,3486,16891,7148,3558,3486,3558,1.0,0.65,0.65,8,98.0,4.2919813490043826,72,0.02023608768971332,#9ccc71,0.6117647,0.8,0.44313726,77.01606196592128,-31.33402227641241,40.101550668246645,76.86264496853559,-31.34164180569169,39.414932399551226,9.871909447670275,25.031496172357638,1.6360951019816805,3.2945085523636095,0.892572053219609,128.00288964765537,50.89160361018959,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
10,cym_two_color_010_cycyy,cym,two_color,cycyy,cycyy,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b0d658,0.6909803921568628,0.8384313725490194,0.34509803921568627,80.71081715514305,-30.926605445549537,56.74685739894987,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color,5306,23191,9835,5414,5306,5414,1.0,0.65,0.65,8,98.0,4.741481153030079,108,0.01994828223125231,#91c779,0.5686275,0.78039217,0.4745098,74.99003215370978,-31.444205524756242,32.923973384858414,75.06479131854921,-31.42523418465832,33.77213643074757,9.870946694500454,24.505613512488786,2.0225607983266682,3.9366360337900743,1.1207654399606213,133.68305235556255,45.527201589049774,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4512.tif,cmysimpleDSC_4512.tif,DSC_4512,cmy,filename_prefix,4512,c,y,m,CMY,two_color__cym__cmysimpleDSC_4512,0.5452893062708271
