region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cly_two_color_011_cl,cly,two_color,cy,cl,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#81c9cf,0.5058823529411764,0.7862745098039216,0.8117647058823529,76.50296436848879,-20.676899839808417,-10.321095386057056,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8227,31648,13512,8386,8227,8386,1.0,0.65,0.65,8,98.0,6.1015044085826124,159,0.0189601717147627,#97b2c9,0.5921569,0.69803923,0.7882353,71.26716718748291,-3.7569366590576303,-14.356046012012236,71.88793717910335,-3.8675779220740547,-14.243238682555058,14.40675489148787,18.165339322800648,2.7099770673713675,4.5953450785697,1.3213166563637417,255.3347379029446,14.839495616737906,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
12,cly_two_color_012_cclcl,cly,two_color,ccycy,cclcl,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#73c8d2,0.45019607843137255,0.7858823529411765,0.8219607843137254,75.91892577141277,-23.486585930190984,-12.664493303691327,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5069,22744,9644,5173,5069,5173,1.0,0.65,0.65,8,98.0,6.099971594958989,104,0.02010438816934081,#92b2d0,0.57254905,0.69803923,0.8156863,71.15470755971536,-4.012910581704887,-17.286866750256902,71.3643874519251,-4.034379957171668,-18.059387173744184,14.90590808264329,20.573967605360394,2.6515234807930232,4.8942160124476635,1.3787205884432838,256.93103451481164,17.746526797598925,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
13,cly_two_color_013_ccl,cly,two_color,ccy,ccl,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#69c8d3,0.41307189542483663,0.7856209150326797,0.8287581699346406,75.57752358876611,-25.127508791505605,-14.151564442941812,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3316,16507,7022,3382,3316,3382,1.0,0.65,0.65,8,98.0,7.43440575902142,66,0.019515079834417505,#8bafd2,0.54509807,0.6862745,0.8235294,70.05383793039243,-4.092958137738522,-20.87244101941039,70.93077299054801,-4.015424991563017,-20.22695378514514,15.461299898767235,22.762548328659083,2.3539648373137183,5.495791234633413,1.7003087079661325,258.90542411001627,21.26995769685604,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
14,cly_two_color_014_cclc,cly,two_color,ccyc,cclc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#5ec8d6,0.3666666666666667,0.7852941176470588,0.8372549019607843,75.20410346817063,-26.903791665477627,-15.926264019264202,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,1993,11635,4918,2032,1993,2032,1.0,0.65,0.65,8,98.0,8.371799816156935,39,0.019192913385826772,#84aed6,0.5176471,0.68235296,0.8392157,69.6220279020322,-3.792997283330435,-25.000774640611233,70.56982465488296,-3.588725394773384,-23.383391023347293,16.179934727589192,25.448283392341143,1.6870124152226171,6.327580857036358,2.0284583486547847,261.3731479796535,25.286865385452224,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
15,cly_two_color_015_cclcc,cly,two_color,ccycc,cclcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#56c8d7,0.33882352941176475,0.7850980392156862,0.8423529411764706,75.00808609551619,-27.818736517711272,-16.94665722176596,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2745,13645,5801,2802,2745,2802,1.0,0.65,0.65,8,98.0,8.139146292947025,57,0.020342612419700215,#81aed9,0.5058824,0.68235296,0.8509804,69.60713722773076,-3.4751603581876234,-26.689458594300408,70.24158059541357,-3.2962627798610775,-25.21995489926416,16.557767095435608,26.771292973848315,1.6119836715846365,6.102627912081563,1.9850095644447263,262.5814123463009,26.91475319545016,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
16,cly_two_color_016_c,cly,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1165,6761,2924,1180,1165,1180,1.0,0.65,0.65,8,98.0,1.421676735780761,15,0.012711864406779662,#80ade9,0.5019608,0.6784314,0.9137255,69.72309825382021,0.3001786021986086,-34.750492198081396,69.82285125368767,0.301099008317965,-34.55497159455809,19.27638472489628,34.020025971524134,0.4163648885320133,1.0212117561861607,0.32151166756139615,270.4949149827586,34.751788661911114,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
17,cly_two_color_017_ccycc,cly,two_color,ccmcc,ccycc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#61cdb0,0.3819607843137255,0.8023529411764706,0.6901960784313725,75.5547352424016,-37.82289322407589,4.864422141720537,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3236,13640,5855,3302,3236,3302,1.0,0.65,0.65,8,98.0,18.742210177773618,66,0.019987886129618413,#7cc0c4,0.4862745,0.7529412,0.76862746,73.60658794582159,-20.475988832021898,-8.793557468100355,74.21630349201564,-20.666590490125365,-5.199234883515965,12.775929837734582,22.164177785302964,6.922366422866971,15.844346272551089,4.86283155594336,203.2414446293168,22.28436159269251,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
18,cly_two_color_018_ccyc,cly,two_color,ccmc,ccyc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#6bcea5,0.42058823529411765,0.8068627450980392,0.6470588235294118,75.99398463781759,-38.508338624210936,11.446263813771207,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2613,11611,4982,2667,2613,2667,1.0,0.65,0.65,8,98.0,12.42339760051211,54,0.020247469066366704,#81c4b6,0.5058824,0.76862746,0.7137255,74.63659392829116,-23.96662551422696,0.46635846370279843,75.23570230733542,-24.10113128551657,2.18434843570573,8.663866489502018,18.271897854570263,6.569550232192931,11.113037630559182,3.122768358073404,178.8852414789253,23.97116244064651,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
19,cly_two_color_019_ccy,cly,two_color,ccm,ccy,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#7cd093,0.4849673202614379,0.8143790849673204,0.5751633986928105,76.86250739489427,-38.58330122000342,22.49598611228505,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4032,16597,6985,4114,4032,4114,1.0,0.65,0.65,8,98.0,7.668492813693882,82,0.019931939718035974,#89c8a2,0.5372549,0.78431374,0.63529414,75.6931886114364,-27.615806395993314,12.518961188644194,76.27203709773953,-27.77212945086053,13.348700929777282,5.815361098967817,14.872601502729328,3.830630559234614,6.717877938314443,1.9066921716370657,155.61398064330206,30.320902891301984,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
20,cly_two_color_020_ccycy,cly,two_color,ccmcm,ccycy,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#89d184,0.5364705882352941,0.820392156862745,0.5176470588235295,77.67664033697756,-37.72301156590308,31.332784159337134,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6200,22958,9857,6327,6200,6327,1.0,0.65,0.65,8,98.0,10.220148399009203,127,0.0200727042832306,#92cb98,0.57254905,0.79607844,0.59607846,76.83113457035473,-28.794823006336344,21.106820048040078,77.10443555097022,-28.835352945364978,19.271829078035637,4.820954800242926,13.601388640947887,3.4096050484674127,7.94831854979924,2.3787942772873274,143.7583058364596,35.70209636011005,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4582cly.tif,DSC_4582cly.tif,DSC_4582,cly,capture_number,4582,c,l,y,CMY+neutral,two_color__cly__DSC_4582cly,0.5446293494704992
