region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_n,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cny_two_color_011_cn,cny,two_color,cy,cn,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#62acb7,0.38431372549019605,0.6725490196078432,0.7176470588235294,66.00354158706689,-19.82881356457683,-13.039772037206943,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,7965,31083,13171,8125,7965,8125,1.0,0.65,0.65,8,98.0,7.413338859626368,160,0.019692307692307693,#6e8a9f,0.43137255,0.5411765,0.62352943,56.141310322267756,-5.1058781210250315,-14.531238532909896,56.76802220716521,-5.201215597062988,-14.370136544786067,14.315306795938579,17.7835009461911,3.430038533263141,6.006119935068,1.659207899690086,250.63992546285027,15.402171427661992,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
12,cny_two_color_012_ccncn,cny,two_color,ccycy,ccncn,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#5ab1be,0.3529411764705882,0.6949019607843138,0.7466666666666667,67.59807915308023,-22.52485781531105,-14.773558140756826,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,4975,22314,9497,5073,4975,5073,1.0,0.65,0.65,8,98.0,8.98975355625458,98,0.019317957815888034,#6f96b0,0.43529412,0.5882353,0.6901961,60.24715550596575,-5.199426836418331,-18.754931200934433,59.379083902765096,-5.136515282621723,-19.131392403017376,13.995487854876918,19.23689082243777,4.341301291730471,7.202452112663019,1.936801928185278,254.505038011824,19.462309312593174,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
13,cny_two_color_013_ccn,cny,two_color,ccy,ccn,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#55b5c3,0.33202614379084966,0.7098039215686275,0.7660130718954248,68.69021664733687,-24.143039702976267,-15.866622477003634,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3200,16137,6858,3266,3200,3266,1.0,0.65,0.65,8,98.0,8.4634928033121,66,0.02020820575627679,#7098bb,0.4392157,0.59607846,0.73333335,61.00272468516651,-5.146466153705731,-22.05483386746948,60.653629554156296,-5.164868935222891,-20.9964904922563,14.733409604122029,21.407038550307934,3.42519425530481,6.705187879487508,1.9814851266507691,256.86514433267666,22.64733562238431,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
14,cny_two_color_014_ccnc,cny,two_color,ccyc,ccnc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#4ebaca,0.3058823529411765,0.7284313725490196,0.7901960784313725,70.08448611962298,-25.97462396481376,-17.168556206019183,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,1921,11319,4800,1960,1921,1960,1.0,0.65,0.65,8,98.0,8.092870831754208,39,0.01989795918367347,#719ec8,0.44313726,0.61960787,0.78431374,63.34242907858001,-4.463480562485134,-25.82676593258344,62.41034863589611,-4.54440304186356,-24.44795597852319,15.505777966950882,24.14848275336145,2.6184271172419806,7.145008038113046,2.2078598546985257,260.19477945905953,26.209626042126875,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
15,cny_two_color_015_ccncc,cny,two_color,ccycc,ccncc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#4abdcd,0.2901960784313726,0.7396078431372548,0.8047058823529412,70.9351111329078,-26.97664768387359,-17.917879487656684,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2683,13306,5707,2738,2683,2738,1.0,0.65,0.65,8,98.0,8.909826566082955,55,0.02008765522279036,#73a1cf,0.4509804,0.6313726,0.8117647,64.75246080904864,-3.8164552393604168,-27.8130816466323,63.67308812864407,-3.8439822103466534,-26.624484574036444,16.098851588923058,25.933274086798153,2.0001352246532034,7.519475295406687,2.4353593989223574,262.18678209546465,28.073703732786594,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
16,cny_two_color_016_c,cny,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1079,6638,2792,1097,1079,1097,1.0,0.65,0.65,8,98.0,2.1183912675623224,18,0.016408386508659983,#7ba9e6,0.48235294,0.6627451,0.9019608,68.23940477792705,0.7494638463633185,-35.462614415454084,68.27565550033219,0.7693658206715946,-35.55058701974756,19.802035551945888,34.95358808754352,0.6189168263551265,1.5113155663388063,0.48891683965091154,271.2107038527239,35.470533083619955,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
17,cny_two_color_017_ccycc,cny,two_color,ccmcc,ccycc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#61cdb0,0.3819607843137255,0.8023529411764706,0.6901960784313725,75.5547352424016,-37.82289322407589,4.864422141720537,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3072,13294,5638,3134,3072,3134,1.0,0.65,0.65,8,98.0,21.743540692907608,62,0.019783024888321635,#79baca,0.4745098,0.7294118,0.7921569,71.9834763132327,-16.286541044506777,-15.107676408858918,71.9334204834151,-17.652510374712943,-10.963776377448431,18.520699681273413,29.58805630749776,6.4685230732147305,18.414665929403697,5.815538044481585,222.84953236003346,22.214709218650516,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
18,cny_two_color_018_ccyc,cny,two_color,ccmc,ccyc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#6bcea5,0.42058823529411765,0.8068627450980392,0.6470588235294118,75.99398463781759,-38.508338624210936,11.446263813771207,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2525,11377,4877,2577,2525,2577,1.0,0.65,0.65,8,98.0,17.36420753939558,52,0.02017850213426465,#7abdc1,0.47843137,0.7411765,0.75686276,72.55409033678407,-20.393197576585088,-8.820924756790616,72.68132708949749,-21.040855802498076,-5.416030852235443,16.09296541702866,27.399820082116843,6.314132745321691,14.706723983845945,4.524594089725788,203.39053397210418,22.219163372246882,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
19,cny_two_color_019_ccy,cny,two_color,ccm,ccy,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#7cd093,0.4849673202614379,0.8143790849673204,0.5751633986928105,76.86250739489427,-38.58330122000342,22.49598611228505,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4000,16283,6970,4082,4000,4082,1.0,0.65,0.65,8,98.0,10.801003865500862,82,0.020088192062714356,#81c3ad,0.5058824,0.7647059,0.68039215,73.99686653754873,-25.915060637000163,4.452143968551847,73.99337308228877,-25.84294343475765,5.042147306559326,10.345640969423203,22.232329079520685,5.088628871516677,8.945885214655549,2.638263999772503,170.25188525126032,26.294713418025836,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
20,cny_two_color_020_ccycy,cny,two_color,ccmcm,ccycy,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#89d184,0.5364705882352941,0.820392156862745,0.5176470588235295,77.67664033697756,-37.72301156590308,31.332784159337134,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,5928,22363,9545,6047,5928,6047,1.0,0.65,0.65,8,98.0,14.056975080569554,119,0.01967917975855796,#87c6a2,0.5294118,0.7764706,0.63529414,74.91683715459926,-27.461697716912674,11.45891593076811,74.80373715272577,-26.961533246267724,9.748699480737942,9.544213179533493,22.536231137425638,3.757885779779742,10.809790907596252,3.54780046426413,157.35073398760778,29.756538706702734,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4593cny.tif,DSC_4593cny.tif,DSC_4593,cny,capture_number,4593,c,n,y,CMY+neutral,two_color__cny__DSC_4593cny,0.5357142857142857
