region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cgm_two_color_011_cg,cgm,two_color,cy,cg,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#2dc3a0,0.1764705882352941,0.7666666666666666,0.6254901960784314,71.09773669582923,-46.70624234791809,7.204954127429208,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8291,31844,13604,8461,8291,8461,1.0,0.65,0.65,8,98.0,1.9463644384936531,170,0.020092187684670842,#6fc7ab,0.43529412,0.78039217,0.67058825,74.3119800712752,-33.085374157797666,6.18806517166548,74.3256822647045,-33.12374302708742,6.024974834771556,5.456353117952553,14.031873498488611,0.8418532210644689,1.4983425167423619,0.4317754748047382,169.4061812720954,33.65908694142259,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
12,cgm_two_color_012_ccgcg,cgm,two_color,ccycy,ccgcg,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#30c4ac,0.18666666666666665,0.7701960784313725,0.6729411764705883,71.71688235528099,-43.684436947561466,1.5272197876999183,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5195,22965,9817,5299,5195,5299,1.0,0.65,0.65,8,98.0,7.59154212572904,104,0.019626344593319495,#6ec4b4,0.43137255,0.76862746,0.7058824,73.75021470142708,-30.088323166808483,0.3001888196766833,73.75023340704243,-29.365255761488587,-1.075879920108629,5.401370054351725,13.80196925679641,1.8634784788921845,6.007965378240893,1.9222687988526725,179.42838350651562,30.089820609597574,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
13,cgm_two_color_013_ccg,cgm,two_color,ccy,ccg,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#31c5b4,0.19346405228758168,0.7725490196078431,0.7045751633986929,72.14281218826366,-41.58939309555265,-2.2366494280815052,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3280,16618,6999,3346,3280,3346,1.0,0.65,0.65,8,98.0,5.253060006395054,66,0.01972504482964734,#6dc2bc,0.42745098,0.7607843,0.7372549,73.19968262910294,-27.422153856212994,-5.156731724915886,73.21592121795386,-27.365963446952925,-5.044546531287838,6.24067133902717,14.503603807802069,2.3355183450498074,3.81337358230838,1.1092610073508677,190.65008598447378,27.902802801807763,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
14,cgm_two_color_014_ccgc,cgm,two_color,ccyc,ccgc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#33c6be,0.20196078431372547,0.7754901960784313,0.7441176470588236,72.68987247128356,-38.888553973067786,-6.912150447912357,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2019,11584,4962,2061,2019,2061,1.0,0.65,0.65,8,98.0,7.879446422230782,42,0.020378457059679767,#6fbcc7,0.43529412,0.7372549,0.78039217,71.92195036173297,-21.957310463250668,-12.552409211235815,72.1875072160304,-22.117465500814045,-12.013405963864672,9.338742342939327,17.862509064303033,4.1726707677395245,6.836019669953449,2.034835981891458,209.7554526719392,25.29202363959624,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
15,cgm_two_color_015_ccgcc,cgm,two_color,ccycc,ccgcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#35c6c4,0.20705882352941174,0.7772549019607842,0.7678431372549019,73.02584082700398,-37.2278554452658,-9.700027346092345,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2725,13665,5778,2780,2725,2780,1.0,0.65,0.65,8,98.0,11.332055166126086,55,0.019784172661870502,#70b8ce,0.4392157,0.72156864,0.80784315,70.94362448219253,-17.732993754625724,-17.341538019072477,71.49270379226256,-18.611980166262665,-16.047892238303742,11.849629688873833,21.042289386116124,4.729354615178703,9.840480119259228,2.901894665722489,224.36056650793893,24.80298386018366,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
16,cgm_two_color_016_c,cgm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1110,6778,2853,1128,1110,1128,1.0,0.65,0.65,8,98.0,1.3033459521518644,18,0.015957446808510637,#84afea,0.5176471,0.6862745,0.91764706,70.52729732913654,0.640338603677626,-34.05924663082496,70.52293547961517,0.6191795324991145,-34.05129817392903,19.34968009705797,33.94783509758883,0.3492459635012453,0.9554343469840727,0.31383275511361197,271.0770754271765,34.065265514695774,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
17,cgm_two_color_017_ccmcc,cgm,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3214,13634,5832,3275,3214,3275,1.0,0.65,0.65,8,98.0,8.737574250109486,61,0.018625954198473283,#829edb,0.50980395,0.61960787,0.85882354,65.36972491206498,5.857279250743947,-33.59947955590668,65.08171058141558,7.565366465880931,-33.59308015821467,12.439504499308756,19.08101517963916,3.2993196861317546,7.821462975602009,2.282581215713209,279.88879848624333,34.10619806793168,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
18,cgm_two_color_018_ccmc,cgm,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2588,11712,4970,2638,2588,2638,1.0,0.65,0.65,8,98.0,6.673456031640686,50,0.018953752843062926,#8696d7,0.5254902,0.5882353,0.84313726,63.568174171742484,10.076658796235261,-33.903950768813075,63.525900619154974,10.519133317632903,-33.874688178371805,11.968060745364642,17.872099169393287,4.0741734679645685,5.70643641503648,1.5847593249161522,286.5525775272143,35.369717700737255,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
19,cgm_two_color_019_ccm,cgm,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4107,16635,7117,4191,4107,4191,1.0,0.65,0.65,8,98.0,5.089103672836326,84,0.020042949176807445,#8e8ed0,0.5568628,0.5568628,0.8156863,61.54185129280479,15.09487371460122,-33.742232443294704,61.52983311653647,14.917521695588064,-33.69487034463273,9.801881762887987,13.669417791732592,3.050728656677622,4.261899805768961,1.1210393064744306,294.1017597580941,36.96475974109785,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
20,cgm_two_color_020_ccmcm,cgm,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6049,22907,9737,6173,6049,6173,1.0,0.65,0.65,8,98.0,7.408227219204613,124,0.020087477725579134,#948bcd,0.5803922,0.54509807,0.8039216,60.91913928291848,19.06191569606708,-33.14244148523482,60.943835468177944,17.380327318654434,-33.05327468726438,8.727196315190577,10.949532424567755,2.364408094618704,6.275491764517928,1.8904441321909937,299.9054128949186,38.23320621666698,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
