role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,v,-2,332.5263157894737,1136.842105263158,0.529411792755127,0.4117647111415863,0.7529411911964417,11.108576493421404,-2,0,1,manual_override:full__vcm__DSC_4563vcm,48.01742188851647,521984,513180.8850415511,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,vcm,full,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
top,Y,c,-2,889.0,202.0,0.5098039507865906,0.6313725709915161,0.8745098114013672,22.71970642475359,-2,0,1,manual_override:full__vcm__DSC_4563vcm,48.01742188851647,521984,513180.8850415511,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,vcm,full,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
bottom_right,M,m,-2,1429.578947368421,1138.2631578947369,0.7333333492279053,0.4117647111415863,0.7254902124404907,14.18913897034148,-2,0,1,manual_override:full__vcm__DSC_4563vcm,48.01742188851647,521984,513180.8850415511,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,vcm,full,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
