role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,417.7894736842105,1135.421052631579,0.4745098054409027,0.6392157077789307,0.8313725590705872,18.856459262043032,-2,0,1,manual_override:two_color__cvy__DSC_4607cvy,45.191912405947896,516519,504940.3878116346,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,cvy,two_color,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
top,Y,v,-2,960.0,203.0,0.5058823823928833,0.41960784792900085,0.7411764860153198,11.374878810193827,-2,0,1,manual_override:two_color__cvy__DSC_4607cvy,45.191912405947896,516519,504940.3878116346,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,cvy,two_color,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
bottom_right,M,y,-2,1499.2105263157894,1138.2631578947369,0.7803921699523926,0.8313725590705872,0.41960784792900085,14.960574333711035,-2,0,1,manual_override:two_color__cvy__DSC_4607cvy,45.191912405947896,516519,504940.3878116346,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,cvy,two_color,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
