region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cwm_two_color_011_cw,cwm,two_color,cy,cw,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#98dfe9,0.5941176470588235,0.8725490196078431,0.911764705882353,84.47714009895887,-19.637580053559034,-11.93320855548472,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,11009,39893,17017,11217,11009,11217,1.0,0.65,0.65,8,98.0,2.364367563357336,208,0.018543282517607205,#a0c2ec,0.627451,0.7607843,0.9254902,77.28591047918346,-1.6249098911314541,-24.517157315295623,77.38138560297487,-1.58489473629127,-24.385234886684717,16.26623421052868,23.11981479628006,0.5912268143860165,1.387775261156577,0.4633399348054697,266.2081851855424,24.570944934561442,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
12,cwm_two_color_012_ccwcw,cwm,two_color,ccycy,ccwcw,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#85dae6,0.5207843137254902,0.8549019607843137,0.9019607843137255,82.2833002416743,-22.74293603831096,-13.98008971986997,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,6947,28710,12185,7089,6947,7089,1.0,0.65,0.65,8,98.0,4.045285580369429,142,0.020031033996332347,#9abdeb,0.6039216,0.7411765,0.92156863,75.57781512729957,-1.1294086131017345,-26.273399473645796,75.74561720008612,-1.176553659128402,-26.469700278657477,17.136456406847472,25.753321399028362,1.1799335255680394,2.7171985840948585,0.9037984721730363,267.53855482358966,26.29766308471381,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
13,cwm_two_color_013_ccw,cwm,two_color,ccy,ccw,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#78d7e4,0.47189542483660135,0.8431372549019608,0.8954248366013072,80.86869976537044,-24.584811857946644,-15.26882688076956,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,4607,20804,8852,4700,4607,4700,1.0,0.65,0.65,8,98.0,3.8967596260787096,93,0.01978723404255319,#94baea,0.5803922,0.7294118,0.91764706,74.3919031646509,-0.8768050570852615,-28.18040130904378,74.59608144756467,-0.9547623018198486,-28.00021232969081,17.673097893413498,27.76197462165915,1.3713079532718917,2.79311545851398,0.8722869315487786,268.21787394550506,28.194038466436243,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
14,cwm_two_color_014_ccwc,cwm,two_color,ccyc,ccwc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#69d3e2,0.41078431372549024,0.8284313725490196,0.8872549019607844,79.15731221950574,-26.594704014567093,-16.789360863889357,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2801,14471,6146,2859,2801,2859,1.0,0.65,0.65,8,98.0,7.005510502449395,58,0.020286813571178734,#8ab4e9,0.5411765,0.7058824,0.9137255,72.16092526851267,-0.5923153944547566,-31.126471928405497,73.24403104457444,-0.5716098582417385,-29.729642637818184,18.463259440643,30.506169834898067,1.235206440819947,5.3979788147079395,1.8276132426069818,268.90983222168916,31.13210709599213,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
15,cwm_two_color_015_ccwcc,cwm,two_color,ccycc,ccwcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#5fd1e1,0.37411764705882355,0.8196078431372549,0.8823529411764707,78.16191971863205,-27.6298182850393,-17.651519830013275,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,3771,17114,7262,3848,3771,3848,1.0,0.65,0.65,8,98.0,7.899186034490399,77,0.02001039501039501,#87b2e9,0.5294118,0.69803923,0.9137255,71.45113269265909,-0.29138025856623173,-32.03114183738827,72.49035311569308,-0.3012750451549528,-30.6500741053067,18.805084057562713,31.61009941949343,1.2863725517085702,5.841837831086775,2.031437933043554,269.4788072604724,32.032467121062766,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
16,cwm_two_color_016_c,cwm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1578,8437,3579,1610,1578,1610,1.0,0.65,0.65,8,98.0,2.166482597257882,32,0.01987577639751553,#80ade9,0.5019608,0.6784314,0.9137255,69.68273718238754,0.4909150973791687,-34.778164410180665,69.64568329257735,0.5022400165703729,-34.7041278771682,19.393294013931072,34.208786004539064,0.7876394280869804,1.5456327692580802,0.5205812880086915,270.8087113207035,34.78162902128639,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
17,cwm_two_color_017_ccmcc,cwm,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,4294,17180,7256,4382,4294,4382,1.0,0.65,0.65,8,98.0,11.058085380039094,88,0.020082154267457783,#819fdb,0.5058824,0.62352943,0.85882354,65.15162141457665,4.187076759528619,-33.89882713603444,64.71267108649772,6.791092613351043,-33.85375752648084,11.177584573490119,17.56806907362778,2.7419081138523165,9.782082773466325,3.1011809212060473,277.0413309418435,34.15643560134649,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
18,cwm_two_color_018_ccmc,cwm,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,3444,14580,6151,3515,3444,3515,1.0,0.65,0.65,8,98.0,9.037956420328264,71,0.020199146514935987,#8397d6,0.5137255,0.5921569,0.8392157,63.4047829122145,8.35488758872166,-33.99096411199576,63.23230600233465,9.717364805781068,-33.9926858033785,10.693891754763495,16.209880796295597,4.154644813303026,7.70203078079483,2.1972419678338935,283.8093884895606,35.00271115046889,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
19,cwm_two_color_019_ccm,cwm,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,5494,20825,8911,5607,5494,5607,1.0,0.65,0.65,8,98.0,7.488511287819798,113,0.0201533797039415,#8a8fd0,0.5411765,0.56078434,0.8156863,61.322656399976054,12.14700923615944,-33.953762260839596,61.32857305519291,13.191230769429524,-33.857877000785024,7.6704491764036975,10.806556304417004,4.09550941725215,6.498053110220443,1.644318378343254,289.6847456745965,36.06116754971971,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
20,cwm_two_color_020_ccmcm,cwm,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,8053,28711,12228,8218,8053,8218,1.0,0.65,0.65,8,98.0,8.935447702886941,165,0.020077877829155513,#8d8acc,0.5529412,0.5411765,0.8,60.01566513139183,16.375093611696478,-33.581629303812875,60.24283501185826,15.664923728818428,-33.51433319980883,6.659544944319786,8.170233592428469,4.060783957001653,7.20011778099539,2.1690698740799057,295.99481549541804,37.361337201584824,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
21,cwm_two_color_021_cm,cwm,two_color,cm,cm,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color,12000,39895,17019,12404,12166,12404,1.0,0.65,0.65,8,98.0,6.16107117543556,238,0.019187358916478554,#9483c7,0.5803922,0.5137255,0.78039217,58.78277035623684,20.736864917936636,-32.876748943749256,59.09138220824768,20.405732116748936,-32.81478520973791,7.0898028825687005,8.212723850870892,2.47529561155226,4.4948623112065995,1.2897781765259855,302.241499476283,38.87027383149068,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
22,cwm_two_color_022_cmcmm,cwm,two_color,cmcmm,cmcmm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#8c5fb2,0.5498039215686275,0.37254901960784315,0.6980392156862746,48.249788201706025,34.528231343394225,-37.28959296890542,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color,8043,28573,12215,8208,8043,8208,1.0,0.65,0.65,8,98.0,10.323784259014207,165,0.02010233918128655,#9b7ec4,0.60784316,0.49411765,0.76862746,57.868578533906984,23.763288511159274,-31.579742816400035,58.33391449773948,25.799539414806635,-31.514051109018936,10.398334471456502,15.524416588078116,4.500525973018449,8.386751745913358,2.544427729870564,306.9609188615953,39.52181723067101,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4576cwm.tif,DSC_4576cwm.tif,DSC_4576,cwm,capture_number,4576,c,w,m,CMY+neutral,two_color__cwm__DSC_4576cwm,0.6064690026954178
