region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,ygm_two_color_011_yg,ygm,two_color,cy,yg,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#90cf32,0.5627450980392157,0.8117647058823529,0.19411764705882353,76.5181876914217,-42.83550403159575,66.51630663705663,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8410,32237,13741,8582,8410,8582,1.0,0.65,0.65,8,98.0,1.7862738034895864,172,0.02004194826380797,#99e367,0.6,0.8901961,0.40392157,83.27798016682016,-43.915210909226175,52.45006423608856,83.29894260177547,-43.900842544429764,52.51980977752686,6.594021531218153,15.643520592719787,0.8146446400146445,1.3052352992345504,0.382909040761104,129.93864965682144,68.4072729143008,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
12,ygm_two_color_012_yygyg,ygm,two_color,ccycy,yygyg,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#a6d228,0.6501960784313725,0.824313725490196,0.15529411764705883,78.71036781252369,-36.191852490797984,71.82923880743049,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5267,23218,9895,5374,5267,5374,1.0,0.65,0.65,8,98.0,2.2374473112894324,107,0.019910681056940827,#a3e665,0.6392157,0.9019608,0.39607844,84.72226964668762,-41.90722690226989,55.687461712866096,84.64203785442349,-41.65165170152892,55.72666415778273,7.569941286211781,18.14842792358432,1.0528580754366228,1.7026934172616819,0.46463625147487386,126.96304533624084,69.69439761315296,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
13,ygm_two_color_013_yyg,ygm,two_color,ccy,yyg,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#b5d421,0.7084967320261438,0.8326797385620915,0.12941176470588237,80.26235676752313,-31.443535494454224,75.10669897134102,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3376,16827,7114,3443,3376,3443,1.0,0.65,0.65,8,98.0,1.9389393212423942,67,0.019459773453383677,#ade864,0.6784314,0.9098039,0.39215687,85.7739190544917,-39.56593624144777,57.07634941992104,85.65412538438851,-39.77385016563919,57.25804692882358,8.492204278799875,20.529106597323864,0.8975998815674417,1.4853013024807176,0.42038580281394333,124.7301140706598,69.44906747946462,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
14,ygm_two_color_014_yygy,ygm,two_color,ccyc,yygy,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#c7d719,0.7813725490196078,0.8431372549019608,0.09705882352941177,82.2965489753003,-25.259099303701905,78.89213150428324,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2045,11911,4988,2085,2045,2085,1.0,0.65,0.65,8,98.0,2.1644085726765843,40,0.019184652278177457,#b9ea5f,0.7254902,0.91764706,0.37254903,87.13140207956127,-36.546782612322914,60.70046037131625,86.87736218035091,-36.905427625832225,60.7639250030431,9.336228521177652,21.94822310861469,1.0191043680521394,1.8582249989496942,0.5277327881706159,121.05147776520755,70.85346292597224,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
15,ygm_two_color_015_yygyy,ygm,two_color,ccycc,yygyy,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#d2d914,0.8250980392156861,0.8494117647058823,0.07764705882352942,83.56396333712765,-21.455436693786577,80.99892539154644,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2787,13930,5859,2843,2787,2843,1.0,0.65,0.65,8,98.0,2.9325911555093467,56,0.01969750263805839,#c2ec5d,0.7607843,0.9254902,0.3647059,88.08888293621084,-34.17896853891167,63.174776499536065,87.85469881530533,-34.72120501767385,62.99059723807126,9.698908380461118,22.362098374630097,1.2079514193606466,2.524963513083391,0.7098739082429534,118.4143804242164,71.82794912950145,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
16,ygm_two_color_016_y,ygm,two_color,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1157,6891,2924,1180,1157,0,0.0,0.65,0.65,8,98.0,1.0728270622372624,23,0.019491525423728815,#ffe651,1.0,0.9019608,0.31764707,90.98531599242342,-7.564578291850143,72.45221572192595,91.0452759310799,-7.54651171782716,72.49632260155113,4.0182845832491525,16.3139302053654,0.3813185329297877,0.6421040144127534,0.21013163286120565,95.96053177514227,72.84604593078491,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
17,ygm_two_color_017_yymyy,ygm,two_color,ccmcc,yymyy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3312,13976,5965,3379,3312,3379,1.0,0.65,0.65,8,98.0,14.26482815470878,67,0.01982835158330867,#f9b472,0.9764706,0.7058824,0.44705883,78.39797148726062,18.218903153224915,43.26782437394097,77.71655353294992,19.585066989527053,41.05778972880448,13.240840654453502,33.959325428444345,4.358121621094792,11.64306989823486,3.697349981259527,67.16536518468496,46.94713045715136,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
18,ygm_two_color_018_yymy,ygm,two_color,ccmc,yymy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2686,11769,5100,2738,2686,2738,1.0,0.65,0.65,8,98.0,11.401121608008069,52,0.018991964937910884,#f6a975,0.9647059,0.6627451,0.45882353,75.65995302812325,22.80820376264503,37.915605841581666,75.33916733016464,23.619289739530725,36.77051794564863,15.419061818880941,35.23184433975614,4.204949160373381,9.03949338449814,2.8001880512677846,58.97090892399035,44.24711657512291,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
19,ygm_two_color_019_yym,ygm,two_color,ccm,yym,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4199,16985,7237,4285,4199,4285,1.0,0.65,0.65,8,98.0,8.702546697401766,86,0.020070011668611436,#f39d7c,0.9529412,0.6156863,0.4862745,72.62979163701569,28.657979828427273,30.421666938397852,72.49904759057603,28.855660633625625,30.060912006804216,17.173177335363114,34.36980614602167,3.7422011271542375,6.42331527777338,2.015939968832166,46.70992601965713,41.79422959162369,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
20,ygm_two_color_020_yymym,ygm,two_color,ccmcm,yymym,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#e7903c,0.9058823529411765,0.563921568627451,0.23529411764705882,67.4309478758879,26.342851808801193,56.233812465552,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6230,23269,9930,6354,6230,6354,1.0,0.65,0.65,8,98.0,10.987139920900074,124,0.019515265974189486,#f1947f,0.94509804,0.5803922,0.49607843,70.62654251568632,32.89834293075777,25.94830016964158,70.78820754338231,31.742782683712196,26.94667453311101,16.950349278029087,31.151220585680125,3.715410498078223,8.578065081221142,2.689851811925107,38.26432310320877,41.900062640568464,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4619ygm.tif,DSC_4619ygm.tif,DSC_4619,ygm,capture_number,4619,y,g,m,CMY+OVG,two_color__ygm__DSC_4619ygm,0.5446293494704992
