role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,204.6315789473684,1125.4736842105262,0.42352941632270813,0.6509804129600525,0.7607843279838562,12.420096951447604,-2,0,1,manual_override:two_color__cym__cmysimpleDSC_4511,33.64146255957473,521443,505863.66066482,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cym,cmy,two_color,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
top,Y,y,-2,757.0,203.0,0.8666666746139526,0.8039215803146362,0.38823530077934265,9.84023472414412,-2,0,1,manual_override:two_color__cym__cmysimpleDSC_4511,33.64146255957473,521443,505863.66066482,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cym,cmy,two_color,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
bottom_right,M,m,-2,1294.578947368421,1136.842105263158,0.8039215803146362,0.3529411852359772,0.615686297416687,11.381130883983007,-2,0,1,manual_override:two_color__cym__cmysimpleDSC_4511,33.64146255957473,521443,505863.66066482,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cym,cmy,two_color,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
