region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,clm_full_001_ml,clm,full,my,ml,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#c571ac,0.7745098039215685,0.44313725490196076,0.6745098039215687,58.72265684725714,41.379477952339485,-17.05358096661975,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,clm_full_002_cml,clm,full,cmy,cml,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#978ebc,0.592156862745098,0.5568627450980391,0.7372549019607844,61.26909812861507,12.996491435694924,-22.718322756556454,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,clm_full_003_cmlml,clm,full,cmymy,cmlml,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#aa82b6,0.6650980392156862,0.5113725490196078,0.712156862745098,59.829951473184636,24.313262510965995,-21.142932331344944,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,clm_full_004_mlmll,clm,full,mymyy,mlmll,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#c683b0,0.776470588235294,0.512156862745098,0.691764705882353,62.746244013795746,32.84288352123299,-13.476539875367543,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,clm_full_005_mll,clm,full,myy,mll,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#c68eb3,0.7777777777777777,0.5581699346405228,0.7032679738562092,65.56634132203305,27.038106152420085,-10.895934010651565,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,clm_full_006_clmlml,clm,full,cymymy,clmlml,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#af8eb8,0.6849673202614378,0.5575163398692811,0.7202614379084968,63.275402363061644,19.783850486833067,-17.023622939690732,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,clm_full_007_mlll,clm,full,myyy,mlll,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#c79db7,0.7794117647058822,0.6156862745098038,0.7176470588235294,69.2138812587631,19.753553107714428,-7.502814008008762,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,clm_full_008_mllll,clm,full,myyyy,mllll,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#c7a6b9,0.780392156862745,0.6501960784313725,0.7262745098039216,71.4559397750803,15.400170893808241,-5.396662724989443,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,clm_full_009_mlllll,clm,full,myyyyy,mlllll,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#c7acbb,0.7810457516339868,0.6732026143790849,0.7320261437908497,72.9694003579447,12.514124571123775,-3.96895760100342,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,clm_full_010_l,clm,full,y,l,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#c8c9c2,0.7843137254901961,0.788235294117647,0.7607843137254902,80.70973829085915,-1.6093340068246142,3.370929344299589,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
