role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,376.0,1122.0,0.47843137383461,0.7098039388656616,0.7843137383460999,8.728001145147726,-2,0,1,manual_override:two_color__cky__DSC_4595cky,36.31305044274595,504344,490442.81578947336,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,cky,two_color,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
top,Y,k,-2,899.0,203.0,0.2078431397676468,0.21176470816135406,0.21568627655506134,10.646545817897286,-2,0,1,manual_override:two_color__cky__DSC_4595cky,36.31305044274595,504344,490442.81578947336,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,cky,two_color,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
bottom_right,M,y,-2,1443.7894736842104,1121.2105263157894,0.7254902124404907,0.843137264251709,0.35686275362968445,16.938503479700938,-2,0,1,manual_override:two_color__cky__DSC_4595cky,36.31305044274595,504344,490442.81578947336,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4595cky.tif,DSC_4595cky.tif,DSC_4595,cky,cky,two_color,capture_number,4595,c,k,y,CMY+neutral,two_color__cky__DSC_4595cky,0.5384385282680227
