region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_k,f_c,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,kcm_full_001_mc,kcm,full,my,mc,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,kcm_full_002_kmc,kcm,full,cmy,kmc,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#5b5282,0.3568627450980392,0.3202614379084967,0.5098039215686275,37.51758243383293,15.430762230651512,-25.817531311003282,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,kcm_full_003_kmcmc,kcm,full,cmymy,kmcmc,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#695e98,0.41254901960784307,0.3686274509803922,0.596078431372549,43.1932856851595,18.13306665693476,-30.143886015990496,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,kcm_full_004_mcmcc,kcm,full,mymyy,mcmcc,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#7182c0,0.4423529411764706,0.5098039215686274,0.7529411764705883,55.34661432853207,9.718729906051603,-34.38506179838541,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,kcm_full_005_mcc,kcm,full,myy,mcc,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#688ec5,0.40653594771241824,0.5555555555555555,0.7712418300653595,58.21165026866812,1.88615167582179,-32.60539208245304,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,kcm_full_006_kcmcmc,kcm,full,cymymy,kcmcmc,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#6170a3,0.38169934640522873,0.43790849673202614,0.6405228758169935,47.918210241073304,8.186777997890527,-29.505150838911277,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,kcm_full_007_mccc,kcm,full,myyy,mccc,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#5c9ccb,0.36176470588235293,0.6127450980392156,0.7941176470588236,62.027609648941635,-7.296634181354289,-30.004299401504554,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,kcm_full_008_mcccc,kcm,full,myyyy,mcccc,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#55a5ce,0.3349019607843137,0.6470588235294117,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,kcm_full_009_mccccc,kcm,full,myyyyy,mccccc,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#51abd0,0.3169934640522876,0.6699346405228758,0.8169934640522877,66.03760492781542,-15.722572041625526,-27.095443691372466,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,kcm_full_010_c,kcm,full,y,c,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
11,kcm_full_011_kcmc,kcm,full,cymy,kcmc,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#536f99,0.32450980392156864,0.4362745098039216,0.5980392156862745,46.35661515417814,1.2046981814756164,-25.6328796821381,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,kcm_full_012_kcmcc,kcm,full,cymyy,kcmcc,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#4e81a6,0.3050980392156863,0.5058823529411764,0.6509803921568628,51.90893366568518,-6.345562108180158,-24.952362928391047,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,kcm_full_013_kcmccc,kcm,full,cymyyy,kcmccc,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#4b8daf,0.29215686274509806,0.5522875816993463,0.6862745098039215,55.65438754846801,-10.975268688450946,-24.365534574619787,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
14,kcm_full_014_kccccc,kcm,full,cyyyyy,kccccc,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#34aabb,0.2026143790849673,0.6666666666666666,0.7320261437908497,64.19440390098289,-26.576034175372577,-17.957114322838798,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,kcm_full_015_kcccc,kcm,full,cyyyy,kcccc,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#32a4b4,0.1976470588235294,0.6431372549019607,0.7058823529411765,62.11042910324521,-25.805137854912175,-17.393975631597037,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,kcm_full_016_kccc,kcm,full,cyyy,kccc,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#319baa,0.19019607843137254,0.6078431372549019,0.6666666666666667,58.95879349397434,-24.633574246772593,-16.539634450304554,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
