region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_k,f_c,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
17,kcm_full_017_kcc,kcm,full,cyy,kcc,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#2d8c99,0.17777777777777778,0.5490196078431372,0.6013071895424836,53.63298621676569,-22.635268982233057,-15.087355983918593,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,kcm_full_018_kckcmc,kcm,full,cycymy,kckcmc,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#446f8e,0.2673202614379085,0.434640522875817,0.5555555555555556,44.954888057019026,-5.6669840614458895,-21.441435011759523,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,kcm_full_019_kckcc,kcm,full,cycyy,kckcc,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#2b808c,0.16784313725490196,0.5019607843137255,0.5490196078431373,49.30092876062784,-20.98856372096758,-13.896445901541377,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,kcm_full_020_kc,kcm,full,cy,kc,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#276e78,0.15294117647058825,0.43137254901960786,0.47058823529411764,42.669972071198394,-18.418486343153294,-12.051757629650407,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
21,kcm_full_021_kmckc,kcm,full,cmycy,kmckc,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#465d7e,0.2752941176470588,0.3647058823529411,0.49411764705882355,38.97429770738988,0.7972617439870322,-21.228108930970848,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,kcm_full_022_kkckc,kcm,full,ccycy,kkckc,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#235c64,0.1380392156862745,0.36078431372549014,0.39215686274509803,35.85791514832934,-15.68952102250737,-10.118639007132145,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
23,kcm_full_023_kkc,kcm,full,ccy,kkc,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#215057,0.12810457516339868,0.3137254901960784,0.3398692810457516,31.201352139765312,-13.748019559950198,-8.76521785817328,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full
24,kcm_full_024_kmkckc,kcm,full,cmcycy,kmkckc,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#3e516c,0.24248366013071895,0.31699346405228757,0.42483660130718953,33.916720895803245,0.5319156291485605,-18.171181575240503,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,kcm_full_025_kkkc,kcm,full,cccy,kkkc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#1e4146,0.11568627450980393,0.2549019607843137,0.27450980392156865,25.232534499737326,-11.122406133232593,-6.97332034231124,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,kcm_full_026_kkkkc,kcm,full,ccccy,kkkkc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#1c383c,0.10823529411764705,0.21960784313725493,0.23529411764705882,21.563449518723758,-9.397080351688041,-5.825261967203166,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
27,kcm_full_027_kkkkkc,kcm,full,cccccy,kkkkkc,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#1a3235,0.10326797385620916,0.19607843137254902,0.20915032679738563,19.07783393939586,-8.160479684978379,-5.0187367368481395,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full
28,kcm_full_028_k,kcm,full,c,k,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#141414,0.0784313725490196,0.0784313725490196,0.0784313725490196,6.318928745123017,-2.7236759098103747e-06,1.0894703639241499e-06,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full
