region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,ckm_two_color_011_ck,ckm,two_color,cy,ck,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#276e78,0.15294117647058825,0.43137254901960786,0.47058823529411764,42.669972071198394,-18.418486343153294,-12.051757629650407,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8319,32061,13632,8489,8319,8489,1.0,0.65,0.65,8,98.0,18.33744351683982,170,0.020025915891153257,#435262,0.2627451,0.32156864,0.38431373,34.17097269989685,-1.5457814703133121,-11.389849908422677,35.23597407637801,-1.625517301282765,-11.455402335883216,16.10437424703711,18.903948843317444,8.444458822393687,14.585229157223644,4.144933765145877,262.2712833525084,11.494264712906174,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
12,ckm_two_color_012_cckck,ckm,two_color,ccycy,cckck,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#2b808c,0.16784313725490194,0.5019607843137255,0.5490196078431373,49.30092876062784,-20.98856372096758,-13.896445901541377,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5224,23158,9836,5331,5224,5331,1.0,0.65,0.65,8,98.0,18.935288823338077,107,0.020071281185518663,#4e657a,0.30588236,0.39607844,0.47843137,41.7704708064995,-2.644238531654186,-15.129998200375022,40.98303241411004,-2.3205670063341883,-15.457244695983173,15.902210493789982,19.868158317371304,11.639913385337323,16.23437301466959,4.6663641820550295,260.0866562841194,15.359324300099797,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
13,ckm_two_color_013_cck,ckm,two_color,ccy,cck,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#2d8c99,0.17777777777777778,0.5490196078431372,0.6013071895424836,53.63298621676569,-22.635268982233057,-15.087355983918593,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3414,16652,7155,3483,3414,3483,1.0,0.65,0.65,8,98.0,20.099606279224297,69,0.019810508182601206,#54758f,0.32941177,0.45882353,0.56078434,47.69305485088047,-3.408420276912044,-18.454740519507563,44.211956036585676,-3.097186498477541,-17.1983599271171,15.214325667521814,20.40327852035685,8.448525838708559,18.896947440087306,5.4493308628004735,259.53591393892395,18.766853130624202,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
14,ckm_two_color_014_cckc,ckm,two_color,ccyc,cckc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#319baa,0.19019607843137254,0.6078431372549019,0.6666666666666667,58.95879349397434,-24.633574246772593,-16.539634450304554,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2019,11652,4949,2061,2019,2061,1.0,0.65,0.65,8,98.0,25.446850655119885,42,0.020378457059679767,#5985aa,0.34901962,0.52156866,0.6666667,53.624086169985475,-4.101614987311708,-23.252747458044666,48.786792110655774,-3.582840988784109,-20.83028691892844,15.014689956379582,22.250535713089505,6.63939770209093,23.883792953395083,7.873444560192804,259.99634795184613,23.611723991520456,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
15,ckm_two_color_015_cckcc,ckm,two_color,ccycc,cckcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#32a4b4,0.1976470588235294,0.6431372549019607,0.7058823529411765,62.11042910324521,-25.805137854912175,-17.393975631597037,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2791,13789,5863,2848,2791,2848,1.0,0.65,0.65,8,98.0,29.383146018184124,57,0.020014044943820225,#6390b9,0.3882353,0.5647059,0.7254902,58.03917694656734,-4.347455379402371,-25.589267965055697,53.05670592671189,-3.8534199702163017,-22.948506953022267,14.880557338683515,23.32745266363006,4.407799882280501,26.886650390896286,9.219811135972531,260.3578743337615,25.95594350555033,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
16,ckm_two_color_016_c,ckm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1160,6835,2942,1182,1160,1182,1.0,0.65,0.65,8,98.0,1.9861276429909085,22,0.018612521150592216,#7fade8,0.49803922,0.6784314,0.9098039,69.53344947126527,0.3669297026157037,-34.778164410180665,69.54643192015055,0.35688232124907254,-34.62476876504395,19.34351859250826,34.11822636775123,0.5278079967032497,1.3078407396449634,0.428637008440573,270.60448110677896,34.78010001636307,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
17,ckm_two_color_017_ccmcc,ckm,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3227,13835,5875,3293,3227,3293,1.0,0.65,0.65,8,98.0,11.233386624038939,66,0.020042514424536896,#819ed9,0.5058824,0.61960787,0.8509804,65.00462561637967,4.520342957304024,-33.210525380577735,64.41737360369558,6.869796446283503,-33.402011274656424,11.584666723979977,17.67457484275471,2.796343434323438,9.70202137230948,3.057587321897973,277.7509973687923,33.51674949194277,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
18,ckm_two_color_018_ccmc,ckm,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2627,11735,5041,2681,2627,2681,1.0,0.65,0.65,8,98.0,9.465363716106774,54,0.020141738157403954,#8396d4,0.5137255,0.5882353,0.83137256,63.2172036040335,8.10692722027545,-33.43488992526129,62.81904229489781,9.85115062964957,-33.60552391225692,10.715573468620004,15.825731862174967,3.9509642019909403,8.473894292255645,2.4773625168903424,283.62942159656876,34.40369359922248,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
19,ckm_two_color_019_ccm,ckm,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4112,16828,7134,4196,4112,4196,1.0,0.65,0.65,8,98.0,7.4490179461447825,84,0.02001906577693041,#8a8ecf,0.5411765,0.5568628,0.8117647,60.99736174276468,13.018112728526184,-33.617361404493515,60.88735266737217,13.783880936704657,-33.5334162208055,8.321113500593178,11.519758122659978,4.02607190733895,6.326040816770987,1.5999330898075363,291.1685825946611,36.049941009840026,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
20,ckm_two_color_020_ccmcm,ckm,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6224,23241,9945,6350,6224,6350,1.0,0.65,0.65,8,98.0,9.390780408345586,126,0.01984251968503937,#8f89cb,0.56078434,0.5372549,0.79607844,59.80388473070354,17.12533983125103,-33.16440298981299,60.030824777802806,16.454017818779146,-33.06482669092431,7.11470540533615,8.730128174836937,3.95917116189074,7.182244294712797,2.132906280414326,297.31079668161124,37.32499015413869,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
