region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
21,ckm_two_color_021_cm,ckm,two_color,cm,cm,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#7e71b9,0.496078431372549,0.4411764705882353,0.7254901960784315,51.467797581737514,22.037982855022285,-36.3763344153146,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color,9371,32114,13677,9557,9371,9557,1.0,0.65,0.65,8,98.0,5.515161959981597,186,0.019462174322486137,#9581c6,0.58431375,0.5058824,0.7764706,58.58677643080263,21.875576933187592,-32.59485194645344,58.60579701579112,21.698273277798545,-32.59972419500425,7.059816659856363,8.06262024401421,2.3996455380127935,3.9478428116571624,1.0861945726227764,303.866982014623,39.25513010513439,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
22,ckm_two_color_022_cmcmm,ckm,two_color,cmcmm,cmcmm,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#8c5fb2,0.5498039215686275,0.37254901960784315,0.6980392156862746,48.249788201706025,34.528231343394225,-37.28959296890542,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color,6121,23146,9818,6242,6121,6242,1.0,0.65,0.65,8,98.0,10.471661124509184,121,0.0193848125600769,#9c7dc2,0.6117647,0.49019608,0.7607843,57.69568169804006,25.414635794892448,-31.325573919969617,57.87667871304858,26.85820258202839,-31.23582328726611,9.948563732272863,14.417074980100026,4.178193590051379,8.148512926537173,2.5143832186632684,309.0526378568911,40.33850882224713,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
23,ckm_two_color_023_cmm,ckm,two_color,cmm,cmm,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#9553ad,0.5856209150326798,0.32679738562091504,0.6797385620915034,46.564317820141355,42.571600369637416,-37.144930571146006,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color,4172,16789,7208,4257,4172,4257,1.0,0.65,0.65,8,98.0,12.08637090571496,85,0.019967112990368803,#a775bd,0.654902,0.45882353,0.7411765,56.869390206638144,33.16228653588765,-30.25956329252744,57.26524822412968,31.93040571611425,-30.147063097522967,10.815124453160635,15.560783600911767,3.7054153123436646,7.758073501023402,2.3097982223982965,317.6205134064749,44.89296625244081,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
24,ckm_two_color_024_mcmm,ckm,two_color,mcmm,mcmm,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#a145a8,0.6303921568627451,0.2696078431372549,0.6568627450980393,45.06263653556892,51.86511691404066,-35.97102947994762,"[[0.7750000000000006, 0.12990381056766542], [0.7750000000000004, 0.12990381056766562], [0.7083333333333331, 0.16839382851364093], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,2,2,two_color,2566,11781,4962,2619,2566,2619,1.0,0.65,0.65,8,98.0,10.05311970022634,53,0.020236731576937762,#b86db9,0.72156864,0.42745098,0.7254902,56.72407449450171,41.713321440110974,-27.81687603794759,57.203689066180544,39.055884864550585,-27.748693424919253,12.206280350247928,17.479654028905113,2.9532388678435435,8.1020468312854,2.4936869559370916,326.3023304139617,50.137608419993114,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
25,ckm_two_color_025_mmcmm,ckm,two_color,mmcmm,mmcmm,0.2,0.0,0.8,0.2,0.0,0.8,0.8,0.0,#a83ca4,0.6572549019607843,0.23529411764705882,0.6431372549019608,44.510929531904225,56.86520806107603,-34.69393627011519,"[[0.7750000000000006, 0.12990381056766537], [0.7750000000000006, 0.0], [0.8999999999999999, 0.0], [0.8999999999999999, 0.05773502691896263]]",6,2,2,two_color,3228,13780,5859,3292,3228,3292,1.0,0.65,0.65,8,98.0,12.904139892501062,64,0.019441069258809233,#be6ab7,0.74509805,0.41568628,0.7176471,57.16490322017861,46.39513975799153,-25.98633951195429,57.49167420828444,41.90785166947892,-25.853125609354578,13.181486203421084,18.589449203177843,2.341620533782036,9.476967706426663,3.1283838699688995,330.7464156640752,53.177051764780295,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
26,ckm_two_color_026_m,ckm,two_color,m,m,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,#c31996,0.7647058823529411,0.09803921568627451,0.5882352941176471,44.94517938493525,71.41561872915153,-25.286338363609783,"[[0.8999999999999999, 0.05773502691896262], [0.8999999999999999, 0.0], [1.0, 0.0], [0.95, 0.08660254037844395]]",6,2,2,two_color,1195,6849,2970,1220,1195,1220,1.0,0.65,0.65,8,98.0,4.090588318602322,25,0.020491803278688523,#e465ab,0.89411765,0.39607844,0.67058825,60.54204173216178,56.8070865374547,-13.483182805078586,60.62311291144843,56.64268551690259,-13.44555854870852,16.133514856807473,24.412820587000205,0.7943225903592744,2.560197828669051,0.9292878638282115,346.6478974299848,58.38528324354549,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
27,ckm_two_color_027_mmkmm,ckm,two_color,mmymm,mmkmm,0.0,0.2,0.8,0.0,0.2,0.8,0.9,0.17320508075688773,#a0187c,0.6274509803921567,0.09411764705882353,0.4862745098039216,37.08540498115857,60.75459110192846,-22.053769184463256,"[[0.7750000000000004, 0.12990381056766553], [0.7750000000000004, 0.1299038105676656], [0.8999999999999999, 0.05773502691896262], [0.95, 0.08660254037844393], [0.8875000000000002, 0.19485571585149836]]",6,2,2,two_color,2769,13802,5826,2826,2769,2826,1.0,0.65,0.65,8,98.0,23.265345961758847,57,0.020169851380042462,#a65b97,0.6509804,0.35686275,0.5921569,49.4550769715716,38.07635416786109,-18.39094001554058,44.614650957891136,33.76729766129077,-16.33835784817013,13.398999509220406,26.090755702141266,5.277906638555114,21.264676292708778,7.242934854337079,334.2193830169948,42.28516786500444,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
28,ckm_two_color_028_mmkm,ckm,two_color,mmym,mmkm,0.0,0.25,0.75,0.0,0.25,0.75,0.875,0.21650635094610965,#971876,0.5931372549019607,0.09313725490196079,0.4607843137254902,35.091445505123374,57.975459492816825,-21.202984000335167,"[[0.7083333333333333, 0.16839382851364088], [0.708333333333333, 0.1683938285136411], [0.7750000000000006, 0.12990381056766553], [0.7750000000000005, 0.12990381056766556], [0.8875000000000002, 0.19485571585149838], [0.8541666666666666, 0.2525907427704614]]",6,2,2,two_color,2046,11817,4992,2086,2046,2086,1.0,0.65,0.65,8,98.0,18.28075325899395,40,0.019175455417066157,#8b5283,0.54509807,0.32156864,0.5137255,43.37028135176713,30.360333594975017,-16.69578177241413,40.357893269309876,28.23004364907429,-15.364819361122263,11.721485071978368,29.179602006413717,7.6196585338629745,16.672437029432352,5.154582292751235,331.1926862029732,34.648217630785055,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
29,ckm_two_color_029_mmk,ckm,two_color,mmy,mmk,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.28867513459481287,#89176b,0.5359477124183006,0.09150326797385622,0.41830065359477125,31.743751639240692,53.2149515234337,-19.734675168000603,"[[0.6333333333333329, 0.21169509870286304], [0.6333333333333332, 0.2116950987028628], [0.708333333333333, 0.16839382851364093], [0.7083333333333333, 0.16839382851364088], [0.8541666666666666, 0.25259074277046145], [0.8166666666666667, 0.3175426480542943]]",6,2,2,two_color,3420,16783,7165,3490,3420,3490,1.0,0.65,0.65,8,98.0,14.749859803421858,70,0.02005730659025788,#7a5276,0.47843137,0.32156864,0.4627451,40.36252343108195,23.012728915313417,-14.071855184210191,38.05191540290587,21.958713691964768,-13.420987476805331,13.24272426235619,31.91433859316383,7.0463581804098485,13.406974428718316,3.943722327906871,328.5549907075431,26.97411352491654,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
30,ckm_two_color_030_mmkmk,ckm,two_color,mmymy,mmkmk,0.0,0.4,0.6,0.0,0.4,0.6,0.8,0.34641016151377546,#7d1762,0.4901960784313725,0.09019607843137255,0.3843137254901961,29.045595891041245,49.26967652924896,-18.504774230581546,"[[0.5500000000000003, 0.2598076211353315], [0.5500000000000003, 0.2598076211353315], [0.6333333333333333, 0.21169509870286285], [0.6333333333333329, 0.21169509870286302], [0.8166666666666665, 0.3175426480542942], [0.775, 0.38971143170299727]]",6,2,2,two_color,5180,23035,9793,5286,5180,5286,1.0,0.65,0.65,8,98.0,16.11441914635176,106,0.0200529701097238,#624961,0.38431373,0.28627452,0.38039216,34.40603148759554,15.583480713996789,-11.18939145953225,35.27119784054859,18.107075706973124,-11.692926010077004,14.40490707789535,34.885654406579285,7.9238614601834865,14.205203514237375,3.9364043539232636,324.32055567298835,19.184560260745176,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4598ckm.tif,DSC_4598ckm.tif,DSC_4598,ckm,capture_number,4598,c,k,m,CMY+neutral,two_color__ckm__DSC_4598ckm,0.5434782608695652
