role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,y,-2,291.3157894736842,1138.2631578947369,1.0,0.8470588326454163,0.4313725531101227,8.534585676912565,-2,0,1,manual_override:two_color__ywm__DSC_4578ywm,38.252643356430085,478578,626143.3504155125,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,ywm,two_color,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
top,Y,w,-2,908.0526315789474,105.15789473684212,0.95686274766922,0.886274516582489,0.800000011920929,10.95969585327013,-2,0,1,manual_override:two_color__ywm__DSC_4578ywm,38.252643356430085,478578,626143.3504155125,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,ywm,two_color,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
bottom_right,M,m,-2,1503.4736842105262,1138.2631578947369,0.9019607901573181,0.43921568989753723,0.658823549747467,18.758361826247384,-2,0,1,manual_override:two_color__ywm__DSC_4578ywm,38.252643356430085,478578,626143.3504155125,0,1,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,ywm,two_color,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
