region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cgy_full_011_cgyg,cgy,full,cymy,cgyg,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#5ec969,0.3696078431372549,0.7892156862745098,0.40980392156862744,73.08257494257404,-50.85171124344012,38.98368586250627,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2689,11094,4759,2743,2689,2743,1.0,0.65,0.65,8,98.0,4.3970909002178065,54,0.01968647466277798,#80ce8d,0.5019608,0.80784315,0.5529412,76.63703912523891,-37.22249947702466,24.39742537677492,76.6857503345814,-37.235767158926336,24.20519508556544,6.518550710183684,20.276800140980157,1.897942197244789,3.628002906266937,1.084848865255292,146.7572291321286,44.50560450474077,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
12,cgy_full_012_cgygg,cgy,full,cymyy,cgygg,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#52c767,0.3207843137254902,0.7811764705882352,0.40549019607843134,72.03335515620071,-53.229978956075726,38.12959361180417,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2726,12610,5372,2781,2726,2781,1.0,0.65,0.65,8,98.0,5.441928078689562,55,0.019777058612010068,#80d18b,0.5019608,0.81960785,0.54509807,77.51717674096922,-38.54939557313436,27.24889189632773,77.34225876380553,-38.93771054295592,25.960989251523934,6.546847300563086,19.07829912382755,2.0891059059573966,3.777541839702086,1.0280613705652097,144.74517042742804,47.207605410905416,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
13,cgy_full_013_cgyggg,cgy,full,cymyyy,cgyggg,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#4ac667,0.2882352941176471,0.7758169934640522,0.4026143790849673,71.36325024558609,-54.62802526703442,37.603666348924,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4321,17318,7428,4397,4321,4397,1.0,0.65,0.65,8,98.0,5.241809043555372,76,0.017284512167386856,#7cd188,0.4862745,0.81960785,0.53333336,77.29130456255749,-40.63739304277125,27.838478554289757,77.25288469894802,-40.3031448640959,26.838108888654766,6.4415423215498,18.0620738201356,1.9683940591184237,4.217373924227303,1.3064713460618926,145.5870675777095,49.25828459792651,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
14,cgy_full_014_cggggg,cgy,full,cyyyyy,cggggg,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#24c177,0.14248366013071895,0.7549019607843137,0.46732026143790845,69.20760059093529,-55.532395145979685,26.201440610570415,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1672,9029,3825,1706,1672,1706,1.0,0.65,0.65,8,98.0,5.69567688069352,34,0.01992966002344666,#71cd91,0.44313726,0.8039216,0.5686275,75.4281609654995,-40.06750392034364,20.36197139240886,75.66367044540797,-39.2634245126583,18.936022995845548,6.785184798482848,17.662322405171114,1.434673155407801,5.011467841289426,1.5067124925529494,153.06070233475384,44.94457419302167,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
15,cgy_full_015_cgggg,cgy,full,cyyyy,cgggg,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#25c17b,0.14588235294117646,0.756078431372549,0.48313725490196074,69.38451407457569,-54.74696762165026,24.313311520147906,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,257,3994,1678,263,257,263,1.0,0.65,0.65,8,98.0,3.859054300969366,6,0.022813688212927757,#71cb95,0.44313726,0.79607844,0.58431375,75.22031328317877,-39.27627652600041,18.58766700058503,75.10283747105278,-39.06469107174639,19.119161585988575,6.646162397826003,17.49805247862037,1.5911414630242968,2.524527511508758,0.7252399601407803,154.67394514879743,43.45258637033575,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
16,cgy_full_016_cggg,cgy,full,cyyy,cggg,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#27c181,0.15098039215686274,0.7578431372549019,0.5068627450980392,69.65493206278121,-53.52558376648942,21.47080457762005,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,757,5791,2471,773,757,773,1.0,0.65,0.65,8,98.0,3.1787916241984817,16,0.02069857697283312,#73cb9a,0.4509804,0.79607844,0.6039216,75.11203901687111,-37.0307826625525,15.769323889387632,74.91437559977258,-37.354023824499265,15.439067907165493,6.837437163818635,18.285660004634842,1.7781554858661976,2.478286278998768,0.6208445263341278,156.93357774798108,40.24860793281688,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
17,cgy_full_017_cgg,cgy,full,cyy,cgg,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#29c28b,0.15947712418300652,0.7607843137254902,0.5464052287581699,70.11909101034699,-51.379409770592524,16.71680620874161,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1297,7498,3250,1320,1297,1320,1.0,0.65,0.65,8,98.0,3.9080017063313846,23,0.017424242424242425,#6fc79f,0.43529412,0.78039217,0.62352943,74.07917894129415,-35.76526102963468,12.171649202064527,74.12203372557879,-35.64810415527737,11.741120218079795,6.0993671523253905,16.737454691228727,1.4147100399017445,2.807337913972274,0.7905238726562873,161.20551124085682,37.779663058529565,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
18,cgy_full_018_cgcgyg,cgy,full,cycymy,cgcgyg,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#4ec77b,0.3052287581699346,0.7816993464052286,0.48169934640522877,72.25274762463442,-50.94263488245676,28.483390989328484,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3678,15213,6506,3754,3678,3754,1.0,0.65,0.65,8,98.0,4.964406309255671,76,0.020245071923281833,#7aca9a,0.47843137,0.7921569,0.6039216,75.25699999172821,-35.149644020994295,16.625742505371566,75.35306648280529,-35.44300950827654,17.297834748128007,6.706205389256854,19.976183824857824,2.696198577315586,4.467335910236724,1.3254265515443404,154.68590286684866,38.88332275741798,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
19,cgy_full_019_cgcgg,cgy,full,cycyy,cgcgg,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#2ac393,0.16627450980392156,0.7631372549019607,0.5780392156862745,70.5025168827149,-49.568329246796715,12.90872904585223,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1110,7231,3104,1128,1110,1128,1.0,0.65,0.65,8,98.0,3.8720278611076764,18,0.015957446808510637,#6ec5a5,0.43137255,0.77254903,0.64705884,73.56898168228356,-33.897045166968674,8.274389617135892,73.71536854454605,-33.841601006531484,8.239017760506648,6.041690384236996,16.627370598450625,1.8004939582484176,2.9033114426772295,0.8477934269189649,166.28216278570756,34.89233719010065,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
20,cgy_full_020_cg,cgy,full,cy,cg,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#2dc3a0,0.1764705882352941,0.7666666666666666,0.6254901960784314,71.09773669582923,-46.70624234791809,7.204954127429208,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1807,9594,4028,1843,1807,1843,1.0,0.65,0.65,8,98.0,3.7377304133959686,36,0.019533369506239826,#6dc2ae,0.42745098,0.7607843,0.68235296,72.76128899346838,-30.592697675666468,1.7481893094655643,72.90010567889716,-30.55168290258161,1.8828842930856833,6.584079499522675,17.093566346148922,1.245589952671672,2.6698352960092766,0.7759713932636779,176.72944644785434,30.6426062360312,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
