role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,374.0,1125.0,0.5215686559677124,0.6274510025978088,0.800000011920929,20.900778605668734,-2,0,1,manual_override:full__com__DSC_4551com,51.560684978234804,514648,502294.0526315791,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,com,full,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
top,Y,o,-2,920.842105263158,204.6315789473684,0.9450980424880981,0.45490196347236633,0.364705890417099,14.629309219011834,-2,0,1,manual_override:full__com__DSC_4551com,51.560684978234804,514648,502294.0526315791,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,com,full,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
bottom_right,M,m,-2,1456.0,1141.0,0.8392156958580017,0.41960784792900085,0.6470588445663452,16.030597153554243,-2,0,1,manual_override:full__com__DSC_4551com,51.560684978234804,514648,502294.0526315791,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4551com.tif,DSC_4551com.tif,DSC_4551,com,com,full,capture_number,4551,c,o,m,CMY+OVG,full__com__DSC_4551com,0.5462822458270106
