region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_y,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cym_two_color_011_cy,cym,two_color,cy,cy,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#9dd36e,0.6137254901960785,0.8294117647058823,0.43137254901960786,79.08731311025821,-35.04058229831547,44.36686585857201,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8337,32292,13663,8504,8337,8504,1.0,0.65,0.65,8,98.0,2.615431972581273,167,0.019637817497648164,#87c27f,0.5294118,0.7607843,0.49803922,72.98287480014777,-32.12481329352323,28.23005090568802,72.95520757232377,-32.13061395722801,28.020236179656933,7.59681164790448,17.497504759104125,1.1234155437038726,1.8185727851950384,0.5061536360629931,138.69223699919814,42.766101099836824,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
12,cym_two_color_012_ccycy,cym,two_color,ccycy,ccycy,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#89d184,0.5364705882352941,0.820392156862745,0.5176470588235295,77.67664033697756,-37.72301156590308,31.332784159337134,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5225,23060,9859,5325,5225,5325,1.0,0.65,0.65,8,98.0,9.064304952395503,100,0.018779342723004695,#7fbd8c,0.49803922,0.7411765,0.54901963,71.62792716011545,-30.049598577631176,18.88770663378232,71.69775517991918,-29.82911659294262,17.24775484014838,7.069952068624804,15.822394022447892,2.696825352464637,6.982320085284351,2.2875001806321027,147.84854194133288,35.49258847366022,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
13,cym_two_color_013_ccy,cym,two_color,ccy,ccy,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#7cd093,0.4849673202614379,0.8143790849673204,0.5751633986928105,76.86250739489427,-38.58330122000342,22.49598611228505,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3398,16893,7155,3468,3398,3468,1.0,0.65,0.65,8,98.0,7.281759043966318,70,0.020184544405997693,#77ba97,0.46666667,0.7294118,0.5921569,70.48134119289998,-28.68328692527744,11.534609487700509,70.64231845808496,-28.90172240426624,11.554651646857197,7.5957188084506395,16.08979001227926,3.50610722497284,5.861770873390893,1.5764464804768352,158.09311822275095,30.915662128952413,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
14,cym_two_color_014_ccyc,cym,two_color,ccyc,ccyc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#6bcea5,0.42058823529411765,0.8068627450980392,0.6470588235294118,75.99398463781759,-38.508338624210936,11.446263813771207,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2038,11684,4997,2079,2038,2079,1.0,0.65,0.65,8,98.0,11.679223505084043,41,0.019721019721019722,#6bb4a8,0.41960785,0.7058824,0.65882355,68.52994927665387,-25.263811241896082,0.23609669660991095,69.49986469573159,-25.639639459059783,1.5729366601268533,10.071987466022433,18.8890755795056,6.439938934813828,10.155422327171909,2.884223173577176,179.4645720566084,25.264914409439527,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
15,cym_two_color_015_ccycc,cym,two_color,ccycc,ccycc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#61cdb0,0.3819607843137255,0.8023529411764706,0.6901960784313725,75.5547352424016,-37.82289322407589,4.864422141720537,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2768,13871,5838,2825,2768,2825,1.0,0.65,0.65,8,98.0,17.458924009165035,57,0.020176991150442476,#69b2b6,0.4117647,0.69803923,0.7137255,68.15156812556887,-21.310762585608572,-9.101720199747355,68.62098831670696,-21.908732706084706,-6.360412574858472,13.758634662464509,22.858487996446897,7.128463689279989,14.793831183119712,4.38842675311825,203.12708584122123,23.17304279922391,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
16,cym_two_color_016_c,cym,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1157,6855,2924,1180,1157,1180,1.0,0.65,0.65,8,98.0,1.5722693954848064,23,0.019491525423728815,#6ba0e1,0.41960785,0.627451,0.88235295,64.675419885928,0.8167495966753813,-38.440990638156315,64.56545307251692,0.8282117756491587,-38.58692052508753,20.821298513897666,37.141900880242986,0.410990567112575,1.0703520615855437,0.3538262919254749,271.21717115542765,38.44966633335706,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
17,cym_two_color_017_ccmcc,cym,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3283,13840,5922,3349,3283,3349,1.0,0.65,0.65,8,98.0,11.62191275664812,66,0.019707375335921172,#708ecd,0.4392157,0.5568628,0.8039216,58.83748805601961,5.753982433182148,-36.69811768365761,58.30120007907128,8.53095586581555,-36.75655088440848,12.469589705591185,20.808938289086115,3.2914684707482986,10.103692800326113,3.1232322314918743,278.9109878749566,37.14646894881062,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
18,cym_two_color_018_ccmc,cym,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2669,11877,5074,2724,2669,2724,1.0,0.65,0.65,8,98.0,8.66934300487093,55,0.020190895741556535,#7285c8,0.44705883,0.52156866,0.78431374,56.83253333057942,9.5517458595335,-36.60968191683305,56.91216399763239,10.936088861721474,-36.54946852838402,11.439811184498218,18.827846561133953,3.984902049580713,7.591680459527563,2.133641948045404,284.62291671321015,37.83523039465741,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
19,cym_two_color_019_ccm,cym,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4149,16983,7156,4234,4149,4234,1.0,0.65,0.65,8,98.0,6.785500230889805,85,0.020075578649031648,#7a7dc2,0.47843137,0.49019608,0.7607843,54.91282411269462,14.654296565097091,-35.98767262468301,55.01429150000245,15.339098371393442,-36.0316410235948,8.549042004196822,13.61424252711872,3.8244144121870627,5.526909991903016,1.3767225601098443,292.15631196293833,38.85692973922637,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
20,cym_two_color_020_ccmcm,cym,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6224,23208,9917,6352,6224,6352,1.0,0.65,0.65,8,98.0,9.41967349951464,128,0.020151133501259445,#8078be,0.5019608,0.47058824,0.74509805,53.63163912112522,19.579385614773514,-35.56441247574102,53.8204812276642,18.383668686079385,-35.58411913203462,6.548802546437384,10.077923347007033,3.3329982631588564,7.286656105576383,2.3030938044793032,298.8342382583214,40.597780429435346,LayerLoomPhotos100NCZ_5/centered_4x3_tif/cmysimpleDSC_4511.tif,cmysimpleDSC_4511.tif,DSC_4511,cmy,filename_prefix,4511,c,y,m,CMY,two_color__cym__cmysimpleDSC_4511,0.5442999697611128
