region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_l,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cly_full_011_clyl,cly,full,cymy,clyl,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#b2ce98,0.6990196078431372,0.8088235294117647,0.596078431372549,79.62757502512954,-19.01197259071591,23.9667028468747,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2651,11051,4707,2705,2651,2705,1.0,0.65,0.65,8,98.0,8.108519773686687,54,0.019963031423290204,#b0c0b3,0.6901961,0.7529412,0.7019608,76.00313916338956,-8.372268923492687,6.073538512120802,76.1320770121778,-8.635892605651906,6.701133838578566,11.557520906565774,21.130668691565326,4.4312044967153925,6.843057517222606,1.8994692476939923,144.04154761522045,10.343246926642328,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
12,cly_full_012_clyll,cly,full,cymyy,clyll,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#b7cda0,0.716078431372549,0.8047058823529412,0.6290196078431373,79.80035994488038,-15.61433022698,19.822583634102543,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2728,12634,5374,2782,2728,2782,1.0,0.65,0.65,8,98.0,8.375803295420594,54,0.019410496046010063,#b6c1b5,0.7137255,0.75686276,0.70980394,76.74146383567738,-6.536811427862277,5.161419146854252,76.64226716678662,-6.752582134570246,6.329800055101518,10.575047873293846,17.513079029039506,4.751202711516877,7.51829366974172,1.8085820450691672,141.70563316953007,8.328874548997874,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
13,cly_full_013_clylll,cly,full,cymyyy,clylll,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#bacca6,0.7274509803921568,0.8019607843137254,0.6509803921568628,79.92766882210589,-13.322150669874688,17.062278614374105,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4190,17375,7297,4274,4190,4274,1.0,0.65,0.65,8,98.0,9.686896467449404,84,0.019653720168460457,#bac1ba,0.7294118,0.75686276,0.7294118,77.08644462026346,-4.084658746114023,3.28758449446509,76.75409485679754,-4.453314364306864,4.142730531828653,11.338915771893284,16.826942981532166,4.931745033844921,8.54405198252344,2.36013438947966,141.17075111229303,5.243343292256675,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
14,cly_full_014_clllll,cly,full,cyyyyy,clllll,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#b0c9c6,0.6915032679738561,0.7875816993464052,0.7777777777777777,79.07364345112796,-8.72690115396657,-1.5461176684616218,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1644,9030,3798,1677,1644,587,0.3500298151460942,0.65,0.65,8,98.0,5.371021551313341,33,0.01967799642218247,#b9c0c3,0.7254902,0.7529412,0.7647059,76.91131027961677,-2.034681198684829,-1.8482077203227698,76.91527491137734,-2.395224952775496,-2.447840764362892,7.587107471460375,7.039371497081418,2.204345793517205,4.621054798048956,1.2494447890071048,222.25051602061865,2.7487814314241543,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
15,cly_full_015_cllll,cly,full,cyyyy,cllll,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#acc9c7,0.6729411764705882,0.7874509803921568,0.7811764705882352,78.77391370177266,-10.073441984677133,-2.4885812696774368,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,265,3930,1699,269,265,92,0.3420074349442379,0.65,0.65,8,98.0,5.075514755350341,4,0.01486988847583643,#b8bfc1,0.72156864,0.7490196,0.75686276,76.66904555702388,-2.367148372689476,-2.5691896896273825,76.20360470317469,-2.3432786609213525,-3.146591002981494,8.353375591773197,7.98898797460021,2.2188747418391697,4.509119588323311,1.239154246527508,227.34377324453087,3.4934405790873386,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
16,cly_full_016_clll,cly,full,cyyy,clll,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#a4c9c9,0.6450980392156862,0.7872549019607843,0.7862745098039216,78.3418577878161,-12.037612649278051,-3.8758385778769444,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,771,5812,2496,786,771,768,0.9770992366412213,0.65,0.65,8,98.0,4.6890458867778815,15,0.019083969465648856,#b4bfc3,0.7058824,0.7490196,0.7647059,76.53167578799011,-2.7182863540569646,-3.4450150612905572,76.18323101536167,-2.7468881774500105,-3.702742269122127,9.480263845892335,9.503273666044615,2.0242554711225,4.169030714970503,1.1804601277000357,231.72482297443446,4.3883037127312745,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
17,cly_full_017_cll,cly,full,cyy,cll,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#99c9cb,0.5986928104575163,0.7869281045751634,0.7947712418300653,77.66903448349201,-15.149348105007398,-6.116170938595333,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1278,7590,3241,1305,1278,1305,1.0,0.65,0.65,8,98.0,4.525875382197005,27,0.020689655172413793,#adbcc3,0.6784314,0.7372549,0.7647059,75.35634043096024,-3.5379437646692047,-5.373185160736038,75.30693332620287,-3.5291516462245434,-5.21046628905864,10.837083174887223,11.862769170878343,2.08119469293642,3.4068669765704565,1.0016304396958036,236.63731765244808,6.433363416869567,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
18,cly_full_018_clclyl,cly,full,cycymy,clclyl,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#a2ccaa,0.634640522875817,0.8013071895424836,0.6679738562091503,78.41619172482496,-20.693242258423727,12.404460296892793,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3636,15220,6463,3709,3636,3709,1.0,0.65,0.65,8,98.0,13.033252768657318,73,0.019681854947425182,#acbeba,0.6745098,0.74509805,0.7294118,75.28416875333073,-7.151050152866212,-1.2127091584643424,75.27787139498628,-7.477447573316036,1.165409496579482,13.253737087989798,19.45836167033862,4.7206843518099895,10.669799758874026,3.0171149652231386,189.62492076192143,7.2531497841855685,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
19,cly_full_019_clcll,cly,full,cycyy,clcll,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#8fc9cc,0.5615686274509804,0.7866666666666666,0.8015686274509803,77.17374299550487,-17.478635502505004,-7.842693674630041,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1088,7198,3084,1111,1088,1111,1.0,0.65,0.65,8,98.0,5.472321529242807,23,0.020702070207020702,#a6bac4,0.6509804,0.7294118,0.76862746,74.45099622522828,-4.221030328421249,-7.197705871680737,74.54656294455175,-4.236263417165093,-6.677658119947771,11.613220101324936,13.549666202268499,2.448848480419399,4.535127970283118,1.25391848594041,239.61088935115652,8.344103717516901,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
20,cly_full_020_cl,cly,full,cy,cl,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#81c9cf,0.5058823529411764,0.7862745098039216,0.8117647058823529,76.50296436848879,-20.676899839808417,-10.321095386057056,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1855,9613,4110,1893,1855,1893,1.0,0.65,0.65,8,98.0,3.7277449107902156,38,0.020073956682514528,#a1b9c7,0.6313726,0.7254902,0.78039217,73.80263862352452,-4.961142381298799,-10.106220794237153,73.60184522389956,-4.987606410981841,-10.089081029042692,12.527512141204703,15.947506473233592,1.4235874051369812,2.8186064737075633,0.808795157796916,243.85358491321034,11.258269514867308,LayerLoomPhotos100NCZ_5/centered_4x3_tif/clyDSC_4529.tif,clyDSC_4529.tif,DSC_4529,cly,capture_number,4529,c,l,y,CMY+neutral,full__cly__clyDSC_4529,0.5442999697611128
