role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,305.5263157894737,1126.8947368421052,0.48627451062202454,0.7058823704719543,0.8392156958580017,12.056359301094414,-2,0,1,manual_override:full__cvy__DSC_4561cvy,41.05574630316547,517249,500675.4722991688,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,cvy,full,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
top,Y,v,-2,864.0,208.8947368421053,0.545098066329956,0.4627451002597809,0.7607843279838562,13.547229950327837,-2,0,1,manual_override:full__cvy__DSC_4561cvy,41.05574630316547,517249,500675.4722991688,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,cvy,full,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
bottom_right,M,y,-2,1392.0,1134.0,0.7686274647712708,0.7764706015586853,0.4313725531101227,15.452157051743223,-2,0,1,manual_override:full__cvy__DSC_4561cvy,41.05574630316547,517249,500675.4722991688,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,cvy,full,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
