region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_o,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,yom_two_color_011_yo,yom,two_color,cy,yo,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#ffad0d,1.0,0.6764705882352942,0.050980392156862744,76.67300518430393,20.125485418718892,78.66286162698684,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8432,32368,13744,8600,8432,0,0.0,0.65,0.65,8,98.0,4.920057338447335,168,0.01953488372093023,#ff886d,1.0,0.53333336,0.42745098,69.39396723103458,42.89126884874386,34.60721900797004,69.64195010611058,42.428196514357964,34.75315511788433,27.09636939783283,50.12150172613012,2.3548655230684536,3.8152368420696456,1.0844486478814253,38.89864718585471,55.11189119346957,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
12,yom_two_color_012_yyoyo,yom,two_color,ccycy,yyoyo,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#ffb70a,1.0,0.716078431372549,0.0407843137254902,79.03551590229607,14.834011880161036,80.61386264736072,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5220,23288,9846,5326,5220,0,0.0,0.65,0.65,8,98.0,5.561611407227841,106,0.019902365752910253,#ff9273,1.0,0.57254905,0.4509804,71.61208485184541,38.117071153594864,34.794515284583596,71.60279388740435,38.05548926906845,35.22504830676368,27.359597068920316,51.92899739492241,3.1560784372869564,4.559899826257423,1.3364790709509828,42.39085611614712,51.60978015083319,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
13,yom_two_color_013_yyo,yom,two_color,ccy,yyo,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#ffbd09,1.0,0.742483660130719,0.03398692810457516,80.64006228490356,11.318016287963806,81.91233890022134,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3435,16970,7179,3506,3435,0,0.0,0.65,0.65,8,98.0,5.9714000789824695,71,0.020250998288648032,#ff9c76,1.0,0.6117647,0.4627451,73.8189385038252,33.203679109750915,35.59845251445357,73.03979260885724,34.78712638757319,36.06841202316071,26.021564422595173,51.676745630307956,2.486944310081468,5.284580317324835,1.5779179712969362,46.99347077827383,48.67991503533172,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
14,yom_two_color_014_yyoy,yom,two_color,ccyc,yyoy,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#ffc607,1.0,0.7754901960784314,0.025490196078431372,82.67503192424981,6.944610171289112,83.55113476041522,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2064,11718,5010,2105,2064,0,0.0,0.65,0.65,8,98.0,7.193388047238685,41,0.019477434679334917,#ffa578,1.0,0.64705884,0.47058824,75.79577626591227,28.79182240303485,37.26434484542036,74.87440399749742,30.628980947239878,37.28029581443035,24.884601540319327,51.64389374695308,2.382936140940709,6.431940204381849,1.9976672531116422,52.30898779036181,47.09140509738806,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
15,yom_two_color_015_yyoyy,yom,two_color,ccycc,yyoyy,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#ffcb05,1.0,0.7952941176470588,0.0203921568627451,83.91018440610115,4.335725257683776,84.54218946995307,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2817,13856,5906,2874,2817,0,0.0,0.65,0.65,8,98.0,8.682283012012775,57,0.019832985386221295,#ffac78,1.0,0.6745098,0.47058824,77.35609759922112,25.221196938772117,38.91220251437269,76.48340997368486,26.979968253040603,38.91623033177115,23.238436471166423,50.60884004578744,2.796011224505828,7.664758832256235,2.3291944996216065,57.05044796952234,46.37098531995929,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
16,yom_two_color_016_y,yom,two_color,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1160,6973,2942,1182,1160,0,0.0,0.65,0.65,8,98.0,1.7539670278714077,22,0.018612521150592216,#ffe656,1.0,0.9019608,0.3372549,90.97854746759064,-7.06647004568195,70.43534964942502,90.94590461487566,-7.0267600758941,70.53883399757574,4.368667062056846,18.269781770384924,0.5392185567891798,1.1608383775360114,0.37060953908771155,95.72906441108546,70.78893613512834,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
17,yom_two_color_017_yymyy,yom,two_color,ccmcc,yymyy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3296,14012,5964,3364,3296,3364,1.0,0.65,0.65,8,98.0,17.044699718050484,68,0.020214030915576695,#fab375,0.98039216,0.7019608,0.45882353,78.40786081072329,19.35835670606939,42.60249644579783,77.35343067432133,21.013968579212214,39.718710662150215,14.135120043512888,34.90558397077489,4.71801366759332,14.571694737923838,4.513385714285626,65.56319513906936,46.794429986630234,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
18,yom_two_color_018_yymy,yom,two_color,ccmc,yymy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2627,11898,5041,2681,2627,2681,1.0,0.65,0.65,8,98.0,14.802389749978506,54,0.020141738157403954,#f8a975,0.972549,0.6627451,0.45882353,75.72848126464365,23.208531120981203,38.577589313486115,75.16122425307591,24.36020998569793,37.45839988854144,15.36760883290746,34.70206766719918,4.884386972018593,10.979765320168477,3.482198129652356,58.968607920238355,45.020732046842056,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
19,yom_two_color_019_yym,yom,two_color,ccm,yym,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4228,16961,7264,4310,4228,4310,1.0,0.65,0.65,8,98.0,10.766143898383845,82,0.019025522041763342,#f49d7b,0.95686275,0.6156863,0.48235294,72.72003812353374,28.818276887470905,30.560870939985797,72.26314497581963,29.509539166592607,30.582992793921758,17.189739927790658,34.27736316155366,5.168376389365175,8.695833888848307,2.5661913149724427,46.68097118324124,42.00547482618674,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
20,yom_two_color_020_yymym,yom,two_color,ccmcm,yymym,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#e7903c,0.9058823529411765,0.563921568627451,0.23529411764705882,67.4309478758879,26.342851808801193,56.233812465552,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6254,23449,9961,6382,6254,6382,1.0,0.65,0.65,8,98.0,12.38434829423588,128,0.02005640864932623,#f1957d,0.94509804,0.58431375,0.49019608,70.73114251838176,32.847387202359634,26.746652197901042,70.5351043830265,32.45034441282746,27.095437896434415,16.50252876133176,30.375860251432105,5.26738528791852,9.486149576457072,2.963088994944121,39.1549034500124,42.35958273894143,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4605yom.tif,DSC_4605yom.tif,DSC_4605,yom,capture_number,4605,y,o,m,CMY+OVG,two_color__yom__DSC_4605yom,0.547112462006079
