role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,325.42105263157896,1139.6842105263158,0.4588235318660736,0.7176470756530762,0.8117647171020508,8.384551489320991,-2,0,1,manual_override:full__cgy__DSC_4566cgy,34.69775596856084,521229,510501.5,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,cgy,full,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
top,Y,g,-2,870.0,203.0,0.47843137383461,0.8274509906768799,0.529411792755127,8.459200648698662,-2,0,1,manual_override:full__cgy__DSC_4566cgy,34.69775596856084,521229,510501.5,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,cgy,full,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
bottom_right,M,y,-2,1417.0,1137.0,0.7411764860153198,0.8901960849761963,0.3960784375667572,17.854003830541185,-2,0,1,manual_override:full__cgy__DSC_4566cgy,34.69775596856084,521229,510501.5,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4566cgy.tif,DSC_4566cgy.tif,DSC_4566,cgy,cgy,full,capture_number,4566,c,g,y,CMY+OVG,full__cgy__DSC_4566cgy,0.5462822458270106
