region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_v,f_c,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,vcm_full_011_vcmc,vcm,full,cymy,vcmc,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#6a80d3,0.4166666666666667,0.5019607843137255,0.8284313725490197,55.31044973022857,15.016515787675822,-45.38529756895946,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2714,11228,4799,2767,2714,2767,1.0,0.65,0.65,8,98.0,6.5558014758596785,53,0.01915431875677629,#8383ce,0.5137255,0.5137255,0.80784315,57.61812389427384,18.48836035018639,-38.875742177119456,57.161228378808836,18.524326037397387,-38.97935748634577,6.009815062482904,7.730030796385582,2.3419029723418943,4.309208397748391,1.3202189915910485,295.43462751582695,43.048145119856315,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
12,vcm_full_012_vcmcc,vcm,full,cymyy,vcmcc,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#618ed5,0.3788235294117647,0.5584313725490195,0.8352941176470589,58.776384248891205,4.847106670298973,-40.937265282453275,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2742,12688,5401,2797,2742,2797,1.0,0.65,0.65,8,98.0,3.547115340467049,55,0.01966392563460851,#828cd3,0.50980395,0.54901963,0.827451,60.19154373451627,14.393458593039588,-37.81005670061005,59.91390829146368,14.120556395740163,-37.747082617347864,8.401711290057488,10.144700336477268,1.305940745537965,2.6315082060994617,0.7724309210460727,290.8407306839389,40.45703941186122,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
13,vcm_full_013_vcmccc,vcm,full,cymyyy,vcmccc,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#5a98d6,0.3535947712418301,0.596078431372549,0.8398692810457516,61.220062205242726,-1.6825810534789598,-37.77890676781717,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4288,17420,7413,4373,4288,4373,1.0,0.65,0.65,8,98.0,4.289715871118694,85,0.019437457123256344,#8191d7,0.5058824,0.5686275,0.84313726,61.707043329524595,11.219394973907892,-36.97281612257581,61.702208128771794,10.919963680058451,-36.8329618504394,9.807748880543615,12.936302337028826,1.5170409279658776,3.293821333621691,1.0522491735608976,286.88041199657,38.637597694659426,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
14,vcm_full_014_vccccc,vcm,full,cyyyyy,vccccc,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#43b5e2,0.26405228758169935,0.7104575163398693,0.8856209150326798,69.32599965674956,-17.80812918878638,-31.67264899482809,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1689,9199,3859,1723,1689,1723,1.0,0.65,0.65,8,98.0,4.560797962019529,34,0.019733023795705164,#7f9edf,0.49803922,0.61960787,0.8745098,65.12552852591591,5.515021504324647,-36.30136602660101,64.97571313107085,6.414761455800438,-36.334099693741855,15.498592662727058,24.146186807335795,1.7928898506864066,3.9804321750336356,1.180816762512717,278.6385043814114,36.71790622557916,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
15,vcm_full_015_vcccc,vcm,full,cyyyy,vcccc,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#45b1e3,0.27137254901960783,0.6956862745098038,0.8901960784313726,68.32722199238262,-15.175958796575962,-33.85255153955444,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,288,3990,1739,293,288,293,1.0,0.65,0.65,8,98.0,4.095448471869157,5,0.017064846416382253,#7e9add,0.49411765,0.6039216,0.8666667,63.92729176773136,6.926403818728277,-36.876356102744154,64.10860147431063,7.241232504014884,-36.74929538133323,15.09646489787845,22.738012516413235,1.973457145491483,3.6926080344633356,1.0311999444154056,280.6377963597738,37.52120346252889,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
16,vcm_full_016_vccc,vcm,full,cyyy,vccc,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#48ace5,0.2823529411764706,0.6735294117647058,0.8970588235294118,66.84522755777502,-11.150676416141703,-37.10830404442107,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,731,5811,2426,746,731,746,1.0,0.65,0.65,8,98.0,3.532314219933647,15,0.020107238605898123,#7e93d9,0.49411765,0.5764706,0.8509804,62.060186779407786,9.705690666321098,-37.939262424415254,62.25586615609314,9.904752094596668,-37.83966592415616,15.021733362190437,21.414367956079346,1.7020838062917474,2.7609333932648457,0.7523288179920725,284.3497543725473,39.161052904881906,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
17,vcm_full_017_vcc,vcm,full,cyy,vcc,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#4da2e8,0.3006535947712418,0.6366013071895424,0.9084967320261438,64.4242227167021,-4.2472141948939335,-42.48559172864355,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1254,7616,3192,1279,1254,1279,1.0,0.65,0.65,8,98.0,4.8861198698302255,25,0.019546520719311962,#7b8ad4,0.48235294,0.5411765,0.83137256,59.12565536327514,14.14242389638176,-39.90391871571277,58.87627440752721,14.000446818644816,-40.04096400129101,14.798501557175674,19.311101487812522,1.7103334370261378,3.3643836576566226,0.9908601038768754,289.51493267242995,42.33592897923892,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
18,vcm_full_018_vcvcmc,vcm,full,cycymy,vcvcmc,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#6485dc,0.39019607843137255,0.5222222222222223,0.8627450980392156,56.749460635732135,13.16854337061024,-48.05057909740269,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3679,15223,6509,3755,3679,3755,1.0,0.65,0.65,8,98.0,5.913135925172944,76,0.020239680426098534,#8080ce,0.5019608,0.5019608,0.80784315,56.56291168068694,19.184774083418567,-40.04013629959458,56.49436423072359,18.87646163910455,-40.15151415450592,7.961324152130129,10.019831651246564,2.225484568084863,4.112545082047509,1.2854786943164498,295.6008788203399,44.39896475732199,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
19,vcm_full_019_vcvcc,vcm,full,cycyy,vcvcc,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#509bea,0.31529411764705884,0.6070588235294118,0.9176470588235294,62.53851352418627,1.434861162781076,-46.72991676815164,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1101,7282,3096,1121,1101,1121,1.0,0.65,0.65,8,98.0,5.041081132865864,20,0.01784121320249777,#7a86d1,0.47843137,0.5254902,0.81960785,57.91717293108378,16.133131314291504,-40.299021016120086,57.6689187917227,15.7708560228883,-40.55451106653858,13.735346817074847,16.69587836855961,1.7612481785609968,3.067770440573356,0.9395075105530661,291.8179820606005,43.4083980453306,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
20,vcm_full_020_vc,vcm,full,cy,vc,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#5690ee,0.33725490196078434,0.5627450980392157,0.9313725490196079,59.81163391751927,10.177625879693009,-52.969272073506076,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1841,9645,4107,1879,1841,1879,1.0,0.65,0.65,8,98.0,4.7640499597796175,38,0.020223523150612027,#7b79cd,0.48235294,0.4745098,0.8039216,54.335965243649696,21.30729189554326,-43.17011783701885,54.35717640000198,21.312677717002583,-43.08583506136625,12.992550150639483,15.807461428098888,1.512610396460503,3.4112562204657744,1.124583802886666,296.2693688296857,48.1420789121531,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4563vcm.tif,DSC_4563vcm.tif,DSC_4563,vcm,capture_number,4563,v,c,m,CMY+OVG,full__vcm__DSC_4563vcm,0.5497861942577886
