region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,ckm_two_color_001_mk,ckm,two_color,my,mk,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#6b1655,0.42156862745098034,0.08823529411764705,0.33333333333333337,24.972798904713585,43.063989836503616,-16.53866822562311,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color
2,ckm_two_color_002_mkmkk,ckm,two_color,mymyy,mkmkk,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#5a1648,0.3529411764705882,0.08627450980392157,0.2823529411764706,20.888609395991338,36.40138826130202,-14.369767690665302,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color
3,ckm_two_color_003_mkk,ckm,two_color,myy,mkk,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#4e163f,0.3071895424836601,0.0849673202614379,0.24836601307189543,18.17887696112662,31.61544563181681,-12.762020079472592,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color
4,ckm_two_color_004_kmkk,ckm,two_color,ymyy,kmkk,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#401535,0.24999999999999994,0.08333333333333333,0.20588235294117646,14.843923173616577,25.10403095001251,-10.486377606583408,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color
5,ckm_two_color_005_kkmkk,ckm,two_color,yymyy,kkmkk,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#37152e,0.2156862745098039,0.08235294117647059,0.18039215686274507,12.89747700743833,20.83245368117059,-8.924348843146014,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color
6,ckm_two_color_006_k,ckm,two_color,y,k,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#141414,0.0784313725490196,0.0784313725490196,0.0784313725490196,6.318928745123017,-2.7236759098103747e-06,1.0894703639241499e-06,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color
7,ckm_two_color_007_kkckk,ckm,two_color,yycyy,kkckk,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#1c383c,0.10823529411764705,0.21960784313725487,0.2352941176470588,21.56344951872375,-9.397080351688041,-5.825261967203177,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color
8,ckm_two_color_008_kckk,ckm,two_color,ycyy,kckk,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#1e4146,0.11568627450980393,0.2549019607843137,0.2745098039215686,25.232534499737326,-11.122406133232593,-6.973320342311229,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color
9,ckm_two_color_009_ckk,ckm,two_color,cyy,ckk,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#215057,0.1281045751633987,0.3137254901960784,0.3398692810457516,31.201352139765312,-13.748019559950198,-8.76521785817328,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color
10,ckm_two_color_010_ckckk,ckm,two_color,cycyy,ckckk,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#235c64,0.1380392156862745,0.36078431372549014,0.39215686274509803,35.85791514832934,-15.68952102250737,-10.118639007132145,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color
11,ckm_two_color_011_ck,ckm,two_color,cy,ck,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#276e78,0.15294117647058825,0.43137254901960786,0.47058823529411764,42.669972071198394,-18.418486343153294,-12.051757629650407,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color
12,ckm_two_color_012_cckck,ckm,two_color,ccycy,cckck,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#2b808c,0.16784313725490194,0.5019607843137255,0.5490196078431373,49.30092876062784,-20.98856372096758,-13.896445901541377,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color
13,ckm_two_color_013_cck,ckm,two_color,ccy,cck,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#2d8c99,0.17777777777777778,0.5490196078431372,0.6013071895424836,53.63298621676569,-22.635268982233057,-15.087355983918593,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color
14,ckm_two_color_014_cckc,ckm,two_color,ccyc,cckc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#319baa,0.19019607843137254,0.6078431372549019,0.6666666666666667,58.95879349397434,-24.633574246772593,-16.539634450304554,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color
15,ckm_two_color_015_cckcc,ckm,two_color,ccycc,cckcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#32a4b4,0.1976470588235294,0.6431372549019607,0.7058823529411765,62.11042910324521,-25.805137854912175,-17.393975631597037,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color
16,ckm_two_color_016_c,ckm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color
