role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,y,-2,360.9473684210526,1141.1052631578948,0.9333333373069763,0.7254902124404907,0.3686274588108063,14.994592252652785,-2,0,1,manual_override:two_color__ykm__DSC_4599ykm,39.69015496201588,513788,502736.14819944615,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,ykm,two_color,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
top,Y,k,-2,902.3684210526316,204.6315789473684,0.20000000298023224,0.19607843458652496,0.19607843458652496,9.471339179586465,-2,0,1,manual_override:two_color__ykm__DSC_4599ykm,39.69015496201588,513788,502736.14819944615,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,ykm,two_color,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
bottom_right,M,m,-2,1437.0,1137.0,0.8196078538894653,0.40392157435417175,0.6039215922355652,15.224223529776628,-2,0,1,manual_override:two_color__ykm__DSC_4599ykm,39.69015496201588,513788,502736.14819944615,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4599ykm.tif,DSC_4599ykm.tif,DSC_4599,ykm,ykm,two_color,capture_number,4599,y,k,m,CMY+neutral,two_color__ykm__DSC_4599ykm,0.5442999697611128
