region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_v,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cvm_two_color_011_cv,cvm,two_color,cy,cv,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#5690ee,0.33725490196078434,0.5627450980392157,0.9313725490196079,59.81163391751927,10.177625879693009,-52.969272073506076,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8337,32085,13650,8508,8337,8508,1.0,0.65,0.65,8,98.0,5.137309735834829,171,0.02009873060648801,#797ccb,0.4745098,0.4862745,0.79607844,55.00294049739388,18.5557464914613,-41.2035465729631,55.252694685530784,18.073704229438405,-41.15965286033283,11.984608852565378,15.22329576498536,1.8140935266338056,3.706130335206366,1.118247362355819,294.2441066983796,45.18902497339058,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
12,cvm_two_color_012_ccvcv,cvm,two_color,ccycy,ccvcv,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#509bea,0.31529411764705884,0.6070588235294118,0.9176470588235294,62.53851352418627,1.434861162781076,-46.72991676815164,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5195,23147,9804,5301,5195,5301,1.0,0.65,0.65,8,98.0,7.112332014978006,106,0.01999622712695718,#7984d0,0.4745098,0.5176471,0.8156863,57.31791890972069,15.525651504350368,-40.16866264709091,57.678914063559425,14.295132376277468,-39.70528427665305,13.548909825445474,16.39679957247102,2.8601079570304497,6.181356835506977,1.800326491580298,291.1320921401858,43.06468754664701,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
13,cvm_two_color_013_ccv,cvm,two_color,ccy,ccv,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#4da2e8,0.3006535947712418,0.6366013071895424,0.9084967320261438,64.4242227167021,-4.2472141948939335,-42.48559172864355,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3375,16795,7115,3444,3375,3444,1.0,0.65,0.65,8,98.0,6.979724435089258,69,0.02003484320557491,#7889d2,0.47058824,0.5372549,0.8235294,58.62106840084056,13.113987426168539,-39.67898207093346,58.54320940983668,12.841385589790653,-39.489235881148744,14.322125109096882,18.519313689001443,3.3768035802969987,5.256268222988046,1.3589011943775882,288.2888297655363,41.789930418692556,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
14,cvm_two_color_014_ccvc,cvm,two_color,ccyc,ccvc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#48ace5,0.2823529411764706,0.6735294117647058,0.8970588235294118,66.84522755777502,-11.150676416141703,-37.10830404442107,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2010,11708,4951,2050,2010,2050,1.0,0.65,0.65,8,98.0,8.498282210403945,40,0.01951219512195122,#768fd7,0.4627451,0.56078434,0.84313726,60.98848227913216,8.8199228461108,-38.767006492942194,60.73941883308863,9.679518815801105,-38.48686535189543,14.39291441705083,20.877681719125704,3.8112941606643087,6.597198183307393,1.7896190775991658,282.817250304111,39.75766380756256,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
15,cvm_two_color_015_ccvcc,cvm,two_color,ccycc,ccvcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#45b1e3,0.27137254901960783,0.6956862745098038,0.8901960784313726,68.32722199238262,-15.175958796575962,-33.85255153955444,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2815,13775,5903,2872,2815,2872,1.0,0.65,0.65,8,98.0,9.584243433024858,57,0.019846796657381614,#7596da,0.45882353,0.5882353,0.85490197,62.39899607352507,5.3257836461063075,-37.74157763333142,62.08916895937128,7.681093048547835,-37.80456059780482,14.14051618792068,21.69308253082471,3.1616216841638125,7.893240056523598,2.5864047848549494,278.03208025136144,38.115490993793,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
16,cvm_two_color_016_c,cvm,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1140,6859,2892,1163,1140,1163,1.0,0.65,0.65,8,98.0,1.952654653978275,23,0.019776440240756664,#82aee9,0.50980395,0.68235296,0.9137255,70.10488582153172,0.4404089956348556,-34.24032075890575,70.11060016356146,0.45267483316747203,-34.2879930999493,19.288580882250237,33.888860007249384,0.6746725507855789,1.5036594403492622,0.45848462475227564,270.73691439662053,34.24315297626941,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
17,cvm_two_color_017_ccmcc,cvm,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3268,13702,5919,3335,3268,3335,1.0,0.65,0.65,8,98.0,10.949305738496902,67,0.020089955022488757,#82a0db,0.50980395,0.627451,0.85882354,65.64416776992587,4.0753789140046965,-33.063946373306784,65.06691435175314,6.7917967073619785,-33.314282120844275,11.339672298709681,17.24046265689381,2.7681879816547283,10.077026986280128,3.1964674449976878,277.0266926521956,33.31416009851698,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
18,cvm_two_color_018_ccmc,cvm,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2655,11663,5087,2709,2655,2709,1.0,0.65,0.65,8,98.0,9.040964348436152,54,0.019933554817275746,#8598d6,0.52156866,0.59607846,0.8392157,63.846581451314805,7.53972737382097,-33.718943849041395,63.50468437641197,9.511191005533114,-33.706714044967384,10.262333100439426,15.402105894497971,3.7261995858722865,8.36062645496985,2.487016232558586,282.60428929862064,34.55162316254262,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
19,cvm_two_color_019_ccm,cvm,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4226,16838,7268,4313,4226,4313,1.0,0.65,0.65,8,98.0,7.257823379543532,87,0.020171574310224902,#8b8fd1,0.54509807,0.56078434,0.81960785,61.881623545540016,12.82068730457092,-33.61626761220595,61.60061839161752,13.412596897510317,-33.54299643309844,8.447347762177781,11.578196863328502,4.292261034545106,6.0065024320691975,1.6019980187414673,290.8760220736787,35.97809710277953,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
20,cvm_two_color_020_ccmcm,cvm,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6090,23126,9795,6215,6090,6215,1.0,0.65,0.65,8,98.0,8.908210097649278,125,0.02011263073209976,#908bcd,0.5647059,0.54509807,0.8039216,60.55105321751506,16.73217251098552,-33.32778595641699,60.79159148949998,15.941082942940044,-33.18264568855064,7.242077549597444,8.797294670969627,4.007313092744011,7.325860864739142,2.160825280575664,296.6588809259223,37.292183010573744,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4610cvm.tif,DSC_4610cvm.tif,DSC_4610,cvm,capture_number,4610,c,v,m,CMY+OVG,two_color__cvm__DSC_4610cvm,0.5452893062708271
