role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,405.0,1123.0,0.48235294222831726,0.6627451181411743,0.843137264251709,17.0315145070903,-2,0,1,manual_override:two_color__cgm__DSC_4617cgm,41.99091080772601,517022,500597.07894736854,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,cgm,two_color,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
top,Y,g,-2,960.6315789473684,206.05263157894737,0.47843137383461,0.7529411911964417,0.5529412031173706,9.547646864865126,-2,0,1,manual_override:two_color__cgm__DSC_4617cgm,41.99091080772601,517022,500597.07894736854,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,cgm,two_color,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
bottom_right,M,m,-2,1489.0,1136.0,0.7647058963775635,0.43529412150382996,0.6784313917160034,15.411749435770583,-2,0,1,manual_override:two_color__cgm__DSC_4617cgm,41.99091080772601,517022,500597.07894736854,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4617cgm.tif,DSC_4617cgm.tif,DSC_4617,cgm,cgm,two_color,capture_number,4617,c,g,m,CMY+OVG,two_color__cgm__DSC_4617cgm,0.547112462006079
