region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,coy_full_011_coyo,coy,full,cymy,coyo,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#cea744,0.8068627450980392,0.653921568627451,0.26666666666666666,70.21222210117344,3.7220933023951464,54.72653811251723,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2575,10784,4627,2626,2575,2626,1.0,0.65,0.65,8,98.0,6.5048817681085165,51,0.01942117288651942,#d68d59,0.8392157,0.5529412,0.34901962,65.0327413569253,22.99020065563484,38.35634834772039,65.1019758270562,22.887928511857652,38.07541446859977,16.978269737309823,25.808333822458707,2.374147448319062,4.384921430748564,1.3087660834767447,59.06218108513792,44.71866260028385,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
12,coy_full_012_coyoo,coy,full,cymyy,coyoo,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#d89e3c,0.8454901960784313,0.6188235294117648,0.23372549019607844,68.93117258789403,12.326330198627222,57.34109136737337,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2677,12259,5319,2731,2677,2731,1.0,0.65,0.65,8,98.0,5.853628054060375,54,0.019772976931526912,#e38954,0.8901961,0.5372549,0.32941177,65.6494410421478,30.074319478334722,42.11121358364185,65.45995917372338,30.431621348997364,41.23310005228522,15.329959125791776,23.615885812697293,2.749541681052029,4.6565467678300285,1.070830036688591,54.46693413051406,51.74764730470406,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
13,coy_full_013_coyooo,coy,full,cymyyy,coyooo,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#de9836,0.8712418300653595,0.5954248366013072,0.21176470588235297,68.18862954966791,18.093422365616117,59.16339770948322,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4058,16858,7137,4141,4058,4141,1.0,0.65,0.65,8,98.0,7.973161089569432,83,0.020043467761410288,#e9844d,0.9137255,0.5176471,0.3019608,65.30207995976681,34.68225773933631,45.14658114789725,65.39045129696196,34.299035134955595,42.776011484303474,14.001497017153072,21.908737392020086,2.0752113582139127,5.6843060031837505,1.820301567936888,52.4680082239945,56.93042061360011,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
14,coy_full_014_cooooo,coy,full,cyyyyy,cooooo,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#de873a,0.8712418300653595,0.5294117647058824,0.22875816993464057,64.31997160462414,27.28085508308681,53.44997025976049,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1613,8866,3751,1646,1613,1646,1.0,0.65,0.65,8,98.0,9.36460586552867,33,0.020048602673147023,#ea7d50,0.91764706,0.49019608,0.3137255,64.46911011862541,38.705908898925834,42.2231505312189,64.83902917754469,37.476512676523825,39.52584914290246,10.181013218159327,16.018601006590654,2.5670015993283424,6.762060603095839,2.100102807283587,47.48855435084511,57.279506147259305,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
15,coy_full_015_coooo,coy,full,cyyyy,coooo,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d88a41,0.8454901960784313,0.539607843137255,0.25411764705882356,64.14750524581225,23.470419875695757,50.02714971024815,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,235,3912,1637,239,235,239,1.0,0.65,0.65,8,98.0,7.515338819500649,4,0.016736401673640166,#e67f50,0.9019608,0.49803922,0.3137255,64.35129796715906,35.61326936078141,42.00362291179635,64.44828114462602,35.189629068871845,38.49034289271184,9.606858827196492,14.555662381911484,2.8339468950029283,6.385540339644017,1.824397335732641,49.70666017324635,55.06913193686601,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
16,coy_full_016_cooo,coy,full,cyyy,cooo,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ce8e4b,0.8068627450980392,0.5549019607843138,0.29215686274509806,63.98872934671928,17.78112241715363,44.802992635941465,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,724,5615,2416,739,724,739,1.0,0.65,0.65,8,98.0,5.177870984517607,15,0.02029769959404601,#db835b,0.85882354,0.5137255,0.35686275,63.42890612511574,30.92363722078231,36.050020147651374,63.5759338860163,30.329066208486243,35.39506162435964,10.956884414661234,15.800431158161755,2.571524565888807,4.37947778766191,1.253039551600091,49.37707156173087,47.496055537366715,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
17,coy_full_017_coo,coy,full,cyy,coo,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#bd945b,0.742483660130719,0.5803921568627451,0.35555555555555557,63.99290392327785,8.511679055524857,36.059701320051715,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1220,7361,3149,1245,1220,1245,1.0,0.65,0.65,8,98.0,4.9168875249312345,25,0.020080321285140562,#d08562,0.8156863,0.52156866,0.38431373,62.627128397584,24.617312596416113,30.766144236296867,62.7537952335144,24.66464293987198,30.573596587272533,12.679172458817916,17.008189825464576,1.8315208212961231,3.862312747040898,1.100645904852565,51.33519885149468,39.402635833637966,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
18,coy_full_018_cocoyo,coy,full,cycymy,cocoyo,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#bda556,0.742483660130719,0.64640522875817,0.33856209150326805,68.30754707815757,-1.0000820484534212,43.51494253387682,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3520,14856,6313,3590,3520,3590,1.0,0.65,0.65,8,98.0,7.284754080375835,70,0.019498607242339833,#cb8c65,0.7980392,0.54901963,0.39607844,63.737317017400386,19.67525949494009,30.92214348770488,63.87068108563598,19.748629236818633,31.87690980731868,17.902160754687785,24.63605769114635,3.832393971236657,6.120642768166726,1.7007934196906282,57.5320629404585,36.65098626322953,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
19,coy_full_019_cocoo,coy,full,cycyy,cocoo,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b09968,0.6909803921568628,0.6007843137254902,0.40627450980392166,64.2370308163019,1.4527537576616845,29.19172331463644,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1053,7052,3032,1075,1053,1075,1.0,0.65,0.65,8,98.0,5.903604857538091,22,0.020465116279069766,#c78970,0.78039217,0.5372549,0.4392157,62.46699507520556,19.954074469199725,22.732252873483418,62.44348084480767,20.552273886309106,23.889602062176085,16.313285782358662,19.676296729213924,2.4002592754409213,4.4785130387580985,1.3356586321184027,48.723761784208705,30.247651291073222,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
20,coy_full_020_co,coy,full,cy,co,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#9da17b,0.6137254901960785,0.6313725490196078,0.4823529411764706,64.99268099874395,-8.193904498525196,19.304729383075504,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1760,9347,3979,1796,1760,1796,1.0,0.65,0.65,8,98.0,4.664031824272527,36,0.0200445434298441,#b88c78,0.72156864,0.54901963,0.47058824,61.76809229186087,14.352172944093521,16.86348637205537,61.86927048849509,14.322083637096204,16.62749501656265,23.508716270650293,22.905965332549798,1.7956541926765328,3.3491806974800142,0.997534985621394,49.59956434774011,22.14411978015083,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
