region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,cwy_two_color_001_yw,cwy,two_color,my,yw,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#faea7b,0.9803921568627452,0.9176470588235295,0.4803921568627451,91.9488240565362,-8.674881669843703,55.525164261720896,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color
2,cwy_two_color_002_ywyww,cwy,two_color,mymyy,ywyww,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#f9ec93,0.9764705882352942,0.9262745098039217,0.5764705882352941,92.73114977667396,-7.8910818467205495,44.73620836974273,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color
3,cwy_two_color_003_yww,cwy,two_color,myy,yww,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#f8eea3,0.9738562091503269,0.9320261437908498,0.6405228758169935,93.28989762805435,-7.0985775864075285,37.34317724520992,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color
4,cwy_two_color_004_wyww,cwy,two_color,ymyy,wyww,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f8f0b8,0.9705882352941178,0.9392156862745099,0.7205882352941176,94.03074541756537,-5.8061779066262424,27.997281699796005,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color
5,cwy_two_color_005_wwyww,cwy,two_color,yymyy,wwyww,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f7f1c4,0.9686274509803923,0.943529411764706,0.7686274509803922,94.49799914190935,-4.872218839970466,22.370113365105905,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color
6,cwy_two_color_006_w,cwy,two_color,y,w,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#f5f5f5,0.9607843137254902,0.9607843137254902,0.9607843137254902,96.53749336548567,-1.616917905122861e-05,6.467671598286984e-06,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color
7,cwy_two_color_007_wwcww,cwy,two_color,yycyy,wwcww,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#d0ecf0,0.8141176470588235,0.9254901960784314,0.9411764705882353,91.51973966957743,-8.457423368081695,-5.0711284268249335,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color
8,cwy_two_color_008_wcww,cwy,two_color,ycyy,wcww,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#c6eaef,0.7774509803921569,0.9166666666666667,0.9362745098039217,90.30247916735165,-10.471861430872476,-6.282213693416638,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color
9,cwy_two_color_009_cww,cwy,two_color,cyy,cww,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#b7e6ed,0.7163398692810458,0.9019607843137255,0.9281045751633988,88.31045586045082,-13.711917871608081,-8.244035410743255,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color
10,cwy_two_color_010_cwcww,cwy,two_color,cycyy,cwcww,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#aae3eb,0.6674509803921569,0.8901960784313726,0.9215686274509804,86.75197064023902,-16.180608536512654,-9.758997314842022,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color
11,cwy_two_color_011_cw,cwy,two_color,cy,cw,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#98dfe9,0.5941176470588235,0.8725490196078431,0.911764705882353,84.47714009895887,-19.637580053559034,-11.93320855548472,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color
12,cwy_two_color_012_ccwcw,cwy,two_color,ccycy,ccwcw,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#85dae6,0.5207843137254902,0.8549019607843137,0.9019607843137255,82.2833002416743,-22.74293603831096,-13.98008971986997,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color
13,cwy_two_color_013_ccw,cwy,two_color,ccy,ccw,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#78d7e4,0.47189542483660135,0.8431372549019608,0.8954248366013072,80.86869976537044,-24.584811857946644,-15.26882688076956,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color
14,cwy_two_color_014_ccwc,cwy,two_color,ccyc,ccwc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#69d3e2,0.41078431372549024,0.8284313725490196,0.8872549019607844,79.15731221950574,-26.594704014567093,-16.789360863889357,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color
