region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_v,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,cvy_full_001_yv,cvy,full,my,yv,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#b99b80,0.7235294117647059,0.607843137254902,0.5,65.93640238209338,6.813827607940526,18.508882545113046,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,1790,9432,4006,1823,1790,1823,1.0,0.65,0.65,8,98.0,16.150322669662387,33,0.018102029621503018,#a08a8b,0.627451,0.5411765,0.54509807,59.30203003452029,8.570392746798216,2.3108754387667574,59.487593359038264,8.749422392122398,2.7334328498120053,13.980552855661735,17.591925754462963,4.316345223075491,10.68297302777023,3.916500373808661,15.09006632267375,8.876473237038848,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
2,cvy_full_002_cyv,cvy,full,cmy,cyv,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#8eaa9e,0.5581699346405229,0.6666666666666666,0.6209150326797386,67.28384535020328,-11.923533525934559,2.830244190668285,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,4056,16507,6958,4138,4056,4138,1.0,0.65,0.65,8,98.0,14.823673506577858,82,0.019816336394393428,#8c95a3,0.54901963,0.58431375,0.6392157,61.57067238152049,-0.8326798745493247,-8.416191514573889,61.60699409042346,-0.8442236375451986,-8.310567756132631,15.771969772323148,16.79671682676942,5.751681228331041,11.388905157819215,3.1924552830272015,264.34966747669057,8.45728297879792,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
3,cvy_full_003_cyvyv,cvy,full,cmymy,cyvyv,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#9fa492,0.6243137254901961,0.6431372549019608,0.5725490196078431,66.53342828325253,-5.03435861924989,8.757952417112524,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,2847,13581,5752,2906,2847,2906,1.0,0.65,0.65,8,98.0,15.773881811232071,59,0.020302821748107363,#92919d,0.57254905,0.5686275,0.6156863,60.46972760945721,4.275235773093744,-6.688078398027164,60.31591541272125,3.946465799076824,-7.195979127153384,19.339818164275844,19.026741222647317,6.886372170652466,11.072472940572512,3.0835054542034577,302.5880278379616,7.937759984636601,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
4,cvy_full_004_yvyvv,cvy,full,mymyy,yvyvv,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#aa8d99,0.6682352941176471,0.5545098039215687,0.6,61.70544539851048,12.889352372441987,-2.03967493681414,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1050,7034,3004,1072,1050,1072,1.0,0.65,0.65,8,98.0,12.482803865093524,22,0.020522388059701493,#998495,0.6,0.5176471,0.58431375,57.418381943779806,12.234988576375589,-6.722060313523492,56.96536007089482,12.697661359534289,-7.288850825731525,5.089892904143176,6.382149940146446,5.987011310790201,9.938903195642263,2.7332080405956387,331.2150395189565,13.959979954236635,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
5,cvy_full_005_yvv,cvy,full,myy,yvv,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#a184aa,0.6313725490196078,0.5189542483660131,0.6666666666666666,59.041755451852595,17.9163484560515,-15.805627886917906,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1244,7455,3179,1270,1244,1270,1.0,0.65,0.65,8,98.0,14.791575698417434,26,0.02047244094488189,#957e9c,0.58431375,0.49411765,0.6117647,55.78478113926559,14.358462746738326,-11.961070505619764,56.190135398546694,14.545237099687212,-12.483473546034741,4.1004826214366314,6.168229393552134,4.554754983639506,7.626524811870223,2.4312460850102924,320.2045924262634,18.687767659350843,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
6,cvy_full_006_cvyvyv,cvy,full,cymymy,cvyvyv,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#9897a4,0.5947712418300654,0.5928104575163399,0.6437908496732027,62.94117218782549,2.7762896843663287,-6.727074273439326,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,3554,14883,6349,3627,3554,3627,1.0,0.65,0.65,8,98.0,16.19181877934147,73,0.02012682657843948,#9287a2,0.57254905,0.5294118,0.63529414,57.98585700407568,9.828322258644022,-11.213093854468726,58.074079436879366,9.839778651873619,-12.612215828384898,8.699126002373797,9.716516025837358,5.888975099860554,9.068876689467622,2.667816443880251,311.23469652468134,14.91071400734659,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
7,cvy_full_007_yvvv,cvy,full,myyy,yvvv,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#9579bf,0.5852941176470589,0.4745098039215687,0.75,55.94778352329082,25.349647322433334,-32.79985316585119,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,719,5643,2400,734,719,734,1.0,0.65,0.65,8,98.0,14.05931354478353,15,0.020435967302452316,#947cab,0.5803922,0.4862745,0.67058825,55.963505765306934,19.204460472308003,-22.350915784947254,55.39732551338599,17.867375311754696,-20.298490677402416,4.99219675316794,12.122040298641927,4.32665462495042,11.48249368463457,3.6009763166595157,310.66998813335624,29.468198765079702,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
8,cvy_full_008_yvvvv,cvy,full,myyyy,yvvvv,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#8e72cc,0.5576470588235295,0.44784313725490205,0.8,54.246564323511976,30.404083053306884,-42.78055011100697,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,253,3868,1676,259,253,259,1.0,0.65,0.65,8,98.0,11.641466343364241,6,0.023166023166023165,#9179b1,0.5686275,0.4745098,0.69411767,55.04643604719372,21.561206677312704,-27.842187543324172,54.60990079756354,19.83240073551998,-24.664044666041008,6.242184545703915,17.377886338073687,3.152453223558294,9.959603042870116,3.24315995564142,307.75447923133277,35.2146708145828,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
9,cvy_full_009_yvvvvv,cvy,full,myyyyy,yvvvvv,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#8a6ed5,0.5392156862745099,0.43006535947712426,0.8333333333333334,53.188314508050524,34.00110044802124,-49.312438487448176,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,1629,8885,3766,1662,1629,1662,1.0,0.65,0.65,8,98.0,12.387788892812765,33,0.019855595667870037,#8f78b8,0.56078434,0.47058824,0.72156864,54.68054194729369,23.34882498004598,-31.345335528164387,54.51059315135349,22.0234462645988,-28.950083040989878,6.990202750258282,20.94073790785707,3.0879590373745582,9.414377952152012,2.9968666305826344,306.6820551124684,39.08577346454876,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
10,cvy_full_010_v,cvy,full,y,v,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#7257ff,0.4470588235294118,0.3411764705882353,1.0,49.0221678957536,53.970442144664624,-79.9984025813113,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,482,4790,2012,492,482,492,1.0,0.65,0.65,8,98.0,4.134285209603056,10,0.02032520325203252,#8b72c6,0.54509807,0.44705883,0.7764706,53.60051448419031,28.0936573305558,-40.42151262487632,53.62474523669949,28.067502005064306,-40.41322435416943,12.107906690249036,47.50683601781228,1.3811707122672243,2.4734403390402133,0.8486677785482762,304.79997534452957,49.22552452833517,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4561cvy.tif,DSC_4561cvy.tif,DSC_4561,cvy,capture_number,4561,c,v,y,CMY+OVG,full__cvy__DSC_4561cvy,0.5477784540474742
