region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_w,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
1,ywm_full_001_mw,ywm,full,my,mw,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#dc87c6,0.8627450980392157,0.5294117647058824,0.7745098039215687,66.97616588474968,41.38423944977831,-18.721001844604324,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full,2272,11102,4708,2314,2272,2314,1.0,0.65,0.65,8,98.0,1.9336669762303127,42,0.018150388936905792,#e17bb3,0.88235295,0.48235294,0.7019608,64.45234800848094,46.38073479630622,-12.243675999638048,64.43477001440134,46.265722958841444,-12.232669572107627,4.4722619995922,8.560979647348587,0.5369281725339595,1.2357384363344142,0.41513000404639017,345.21229013685877,47.96957538095791,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
2,ywm_full_002_ymw,ywm,full,cmy,ymw,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#e8a484,0.9084967320261438,0.6444444444444445,0.5163398692810458,73.17465705102026,20.995529508778144,26.85886969913005,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full,5049,19373,8249,5153,5049,5153,1.0,0.65,0.65,8,98.0,5.318348435960822,104,0.02018241800892684,#e88e7e,0.9098039,0.5568628,0.49411765,67.96448353657426,32.54660387960101,22.64049594261426,67.85724801212206,32.515299635312275,22.75733161539099,9.185161522151704,13.35544474439457,2.3886599383296305,3.6409766636208767,0.9046354012890157,34.823753867700816,39.64685965651242,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
3,ywm_full_003_ymwmw,ywm,full,cmymy,ymwmw,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#e3999e,0.8901960784313726,0.5984313725490196,0.6196078431372549,70.4931740642048,28.58619911268945,8.621205304697677,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full,3674,16158,6903,3749,3674,3749,1.0,0.65,0.65,8,98.0,6.7326389410928416,75,0.020005334755934915,#e38895,0.8901961,0.53333336,0.58431375,66.64858263058736,35.93209018029578,9.753499037813773,67.13314257168491,35.15863910885876,10.009498522559065,4.286225552137665,8.368099423802102,3.3830155995669204,5.492962263485426,1.4353706515582751,15.186584481538318,37.23232262706079,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
4,ywm_full_004_mwmww,ywm,full,mymyy,mwmww,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e19dcf,0.8823529411764707,0.615686274509804,0.8117647058823529,72.64680232968956,32.96201831167617,-15.363729047134388,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full,1376,8439,3541,1402,1376,1402,1.0,0.65,0.65,8,98.0,4.028904878183514,26,0.018544935805991442,#e287b9,0.8862745,0.5294118,0.7254902,67.18867266476285,40.85029617904712,-11.068603240785801,67.40667615762543,40.85796724224515,-11.040033299086678,5.98610231748344,10.510195661564492,1.0034525876463964,2.4068188268733777,0.8363298759728128,344.8394228600077,42.323287627709234,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
5,ywm_full_005_mww,ywm,full,myy,mww,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#e4acd5,0.8954248366013072,0.6732026143790849,0.8366013071895425,76.52729876085148,27.315573015551596,-12.96576895779924,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full,1584,8859,3706,1617,1584,1617,1.0,0.65,0.65,8,98.0,2.1973508026534234,33,0.02040816326530612,#e492bf,0.89411765,0.57254905,0.7490196,70.04703970941442,37.04510109959003,-10.236687040839264,69.93734202056243,37.00534247745991,-10.209828611263276,6.747823057076895,12.004389289809891,0.7352271359642654,1.5233828888475167,0.5118570437202884,344.55290670505394,38.43343956830995,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
6,ywm_full_006_ywmwmw,ywm,full,cymymy,ywmwmw,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#e6a8ac,0.9019607843137255,0.6588235294117648,0.676470588235294,74.71689854021406,23.42980952319962,6.714317768821054,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full,4434,17591,7510,4518,4434,4518,1.0,0.65,0.65,8,98.0,10.052974367935496,84,0.01859229747675963,#e5939a,0.8980392,0.5764706,0.6039216,69.22281289509678,31.679617967021567,8.816335036995692,69.62883038239056,31.27703482136765,9.798411174585217,5.652932081076652,10.132264950707913,4.357611378446747,8.541554706561907,2.5381789387585942,15.551712739897141,32.88352107091018,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
7,ywm_full_007_mwww,ywm,full,myyy,mwww,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#e9bedd,0.911764705882353,0.7450980392156863,0.8676470588235294,81.45728463311092,20.301394201731103,-9.84164735928399,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full,981,6734,2858,1000,981,1000,1.0,0.65,0.65,8,98.0,3.727859479858391,19,0.019,#e59ec5,0.8980392,0.61960787,0.77254903,73.0748307156854,31.961752304309975,-8.953647270683152,73.20618419226481,31.71478470794439,-8.887589506323046,8.332890704318887,14.388121104421325,0.9725743645516968,2.4577460629072236,0.886137998847939,344.35051173446016,33.19218898792118,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
8,ywm_full_008_mwwww,ywm,full,myyyy,mwwww,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#ebc9e2,0.9215686274509804,0.7882352941176471,0.8862745098039216,84.44652081221768,16.139205008811608,-7.917139240384108,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full,392,4655,1972,396,392,396,1.0,0.65,0.65,8,98.0,3.644585076852084,4,0.010101010101010102,#e7adcc,0.90588236,0.6784314,0.8,76.70814704105986,25.587567661066622,-7.127208422451248,76.580896687678,25.88673648613227,-7.254142674636179,7.702187855788,12.238381270731471,1.9035081873579691,3.1661517409391426,1.0400590350062873,344.4352548935721,26.561639985263003,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
9,ywm_full_009_mwwwww,ywm,full,myyyyy,mwwwww,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#edd0e5,0.9281045751633988,0.8169934640522877,0.8986928104575164,86.44919773074623,13.389385915509756,-6.618244403656859,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full,2112,10466,4501,2156,2112,2156,1.0,0.65,0.65,8,98.0,3.855230507675181,44,0.02040816326530612,#e7b3ce,0.90588236,0.7019608,0.80784315,78.37677093756241,23.402145606257918,-6.206952699295942,78.04514574867132,23.75381539370282,-6.403060391094489,8.405853060040423,12.868123088549448,1.6036752040591895,3.0272097442813557,0.9572556590231542,345.1454566115896,24.211292422912784,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
10,ywm_full_010_w,ywm,full,y,w,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#f5f5f5,0.9607843137254902,0.9607843137254902,0.9607843137254902,96.53749336548567,-1.616917905122861e-05,6.467671598286984e-06,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full,698,5650,2409,698,698,0,0.0,0.65,0.65,8,98.0,0.8709499323272525,0,0.0,#f0ede9,0.9411765,0.92941177,0.9137255,93.87324612007338,0.30659022509627043,2.1688770252138223,93.78961541444015,0.2397700609355691,2.146613787099503,2.643886393423283,3.4490897873310065,0.42879113268136637,0.5229281320581006,0.19911313270080888,81.9540373639037,2.190439480247044,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4523ywm.tif,DSC_4523ywm.tif,DSC_4523,ywm,capture_number,4523,y,w,m,CMY+neutral,full__ywm__DSC_4523ywm,0.5872756933115824
