role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,454.7368421052631,1131.157894736842,0.5215686559677124,0.6196078658103943,0.8313725590705872,22.957575562040947,-2,0,1,manual_override:two_color__com__DSC_4603com,55.631229024437324,502586,493613.51385041536,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,com,two_color,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
top,Y,o,-2,1003.2631578947368,211.73684210526315,0.9843137264251709,0.45490196347236633,0.3686274588108063,14.949548275115893,-2,0,1,manual_override:two_color__com__DSC_4603com,55.631229024437324,502586,493613.51385041536,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,com,two_color,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
bottom_right,M,m,-2,1525.0,1137.0,0.8901960849761963,0.4274509847164154,0.6627451181411743,17.724105187280486,-2,0,1,manual_override:two_color__com__DSC_4603com,55.631229024437324,502586,493613.51385041536,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,com,two_color,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
