region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,com_two_color_011_co,com,two_color,cy,co,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#9da17b,0.6137254901960785,0.6313725490196078,0.4823529411764706,64.99268099874395,-8.193904498525196,19.304729383075504,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8056,31551,13301,8221,8056,8221,1.0,0.65,0.65,8,98.0,10.795241235512549,165,0.02007055102785549,#c78765,0.78039217,0.5294118,0.39607844,62.33983570926494,21.46867551444931,27.27277444090488,61.98847382920639,21.60051600032018,27.407506378384415,24.809280047394815,30.82849304133474,4.542653316291444,7.828121659864398,2.1171383561423327,51.79076575997931,34.708907416529115,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
12,com_two_color_012_ccoco,com,two_color,ccycy,ccoco,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#89a98e,0.5364705882352941,0.6619607843137254,0.5584313725490196,66.18799823635786,-16.31857019722094,10.042692270695408,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5019,22572,9561,5122,5019,5122,1.0,0.65,0.65,8,98.0,21.355533224479288,103,0.020109332292073408,#bc8b6f,0.7372549,0.54509807,0.43529412,62.623962453451284,18.20470337434904,21.827871395473853,62.095777369697835,16.42424341944234,19.48620320048351,32.80947827108307,36.653092859435674,7.044456273739784,18.595782673567676,5.372690708469489,50.17149331204541,28.42300467236673,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
13,com_two_color_013_cco,com,two_color,ccy,cco,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#7cae9b,0.4849673202614379,0.6823529411764705,0.6091503267973857,67.20853974722671,-20.729985445494147,4.239399619416795,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3202,16356,6873,3268,3202,3268,1.0,0.65,0.65,8,98.0,16.46482727009353,66,0.020195838433292534,#ad8f84,0.6784314,0.56078434,0.5176471,62.27479835502873,12.745942596304598,9.934446971622002,62.303768371879485,12.90052837116663,12.089145513977822,35.4730120006823,34.313454019212855,10.192490815860136,14.621273387621756,3.564115930035912,37.93357609963368,16.16020696959855,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
14,com_two_color_014_ccoc,com,two_color,ccyc,ccoc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#6bb4ac,0.42058823529411765,0.7078431372549019,0.6725490196078432,68.71019047163972,-25.032710154815895,-2.603719100571822,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2019,11532,4949,2061,2019,2061,1.0,0.65,0.65,8,98.0,24.819032720283758,42,0.020378457059679767,#9c96a2,0.6117647,0.5882353,0.63529414,64.59135237628863,5.602637236873598,-5.924862304660516,64.04164253895136,7.533793362988019,-0.5088920758962937,30.15328005588312,31.088893985590357,12.949582991634282,22.18931405017995,5.855359835955161,313.3988435540982,8.154356954241686,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
15,com_two_color_015_ccocc,com,two_color,ccycc,ccocc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#61b8b5,0.3819607843137255,0.7231372549019607,0.7105882352941177,69.71997196396053,-26.96790196253329,-6.500497250752835,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2705,13507,5745,2761,2705,2761,1.0,0.65,0.65,8,98.0,29.96587940748545,56,0.02028250633828323,#929cb7,0.57254905,0.6117647,0.7176471,65.209909037787,1.2317911377139334,-15.586254582858427,64.9840226334719,4.935962878205644,-7.680378710705776,22.093962087746167,29.96855593524797,7.271578465065101,27.756261560624065,9.146372650787702,274.51872802198363,15.634853415642434,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
16,com_two_color_016_c,com,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1085,6700,2821,1108,1085,1108,1.0,0.65,0.65,8,98.0,2.260580299192589,23,0.02075812274368231,#85b0ea,0.52156866,0.6901961,0.91764706,70.81435175380356,0.5495970411897311,-33.94017689466735,70.80831971664846,0.5321074609738123,-33.82395930677633,19.260085142290542,33.78641295852373,0.6625593227022369,1.650225832243241,0.5179801417927692,270.92771581765106,33.944626445860266,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
17,com_two_color_017_ccmcc,com,two_color,ccmcc,ccmcc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#55a5ce,0.3349019607843137,0.6470588235294118,0.807843137254902,64.41427157262386,-12.44504966424509,-28.289394293942706,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3190,13466,5810,3256,3190,3256,1.0,0.65,0.65,8,98.0,11.134690381570165,66,0.02027027027027027,#839edb,0.5137255,0.61960787,0.85882354,65.62630902054788,5.045012098959079,-33.25458129590211,65.12010892573534,7.610893691617406,-33.41798030262163,11.978633351939978,18.22153608289634,3.1534607096766862,10.03581209852391,3.189604277497872,278.6264932358903,33.63509066799741,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
18,com_two_color_018_ccmc,com,two_color,ccmc,ccmc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#5c9ccb,0.36176470588235293,0.6127450980392157,0.7941176470588236,62.02760964894165,-7.296634181354344,-30.004299401504532,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2526,11498,4909,2578,2526,2578,1.0,0.65,0.65,8,98.0,9.626726693822043,52,0.02017067494181536,#8596d6,0.52156866,0.5882353,0.8392157,63.990303190280315,9.640849877798702,-33.4277835543456,63.37217753618601,10.885000654749225,-33.62602329810321,11.899514980557273,17.391111981010013,4.875366586301155,7.990968891270539,2.20937459780077,286.0879997371651,34.79026731317869,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
19,com_two_color_019_ccm,com,two_color,ccm,ccm,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#688ec5,0.40653594771241824,0.5555555555555556,0.7712418300653595,58.21165026866812,1.8861516758218455,-32.60539208245304,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,3970,16562,6955,4051,3970,4051,1.0,0.65,0.65,8,98.0,8.311919496159886,81,0.01999506294742039,#8d8fd0,0.5529412,0.56078434,0.8156863,61.765434787387804,15.050180580564927,-33.45884563362562,61.420950155735895,15.457519681577248,-33.50804983059979,9.963943335459923,13.661970003422349,4.660840975733528,6.431868688863739,1.56614152100967,294.2187732075246,36.68790381913911,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
20,com_two_color_020_ccmcm,com,two_color,ccmcm,ccmcm,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#7182c0,0.4423529411764706,0.5098039215686275,0.7529411764705883,55.346614328532084,9.718729906051603,-34.38506179838539,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6005,22699,9676,6128,6005,6128,1.0,0.65,0.65,8,98.0,9.719490965018784,123,0.020071801566579634,#9488cd,0.5803922,0.53333336,0.8039216,60.801814638626595,20.471983593029208,-32.88493080520403,60.533032287203035,18.595921267189034,-33.01183279366284,9.53062890735488,12.150805252182094,4.006822935312009,8.402461857072138,2.484642349941274,301.90366285986033,38.736556200781635,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4603com.tif,DSC_4603com.tif,DSC_4603,com,capture_number,4603,c,o,m,CMY+OVG,two_color__com__DSC_4603com,0.5415162454873647
