region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_m,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
11,mky_full_011_mkyk,mky,full,cymy,mkyk,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#7a4830,0.48039215686274506,0.2823529411764706,0.18627450980392157,36.021320038144204,18.97664792566747,23.726598032349177,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,mky_full_012_mkykk,mky,full,cymyy,mkykk,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#663e2a,0.39999999999999997,0.24156862745098037,0.16470588235294117,30.386790470185325,15.4540331700031,19.409353076128266,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,mky_full_013_mkykkk,mky,full,cymyyy,mkykkk,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#583726,0.34640522875816987,0.21437908496732025,0.1503267973856209,26.54709845065912,13.027030784639237,16.4319337565099,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
14,mky_full_014_mkkkkk,mky,full,cyyyyy,mkkkkk,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#31152a,0.19281045751633982,0.08169934640522876,0.1633986928104575,11.636242315693526,17.79842225415608,-7.774580644493883,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,mky_full_015_mkkkk,mky,full,cyyyy,mkkkk,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#37152e,0.21568627450980388,0.08235294117647059,0.18039215686274507,12.897477007438326,20.83245368117058,-8.924348843146019,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,mky_full_016_mkkk,mky,full,cyyy,mkkk,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#401535,0.24999999999999994,0.08333333333333333,0.20588235294117646,14.843923173616577,25.10403095001251,-10.486377606583408,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
17,mky_full_017_mkk,mky,full,cyy,mkk,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#4e163f,0.3071895424836601,0.0849673202614379,0.24836601307189543,18.17887696112662,31.61544563181681,-12.762020079472592,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,mky_full_018_mkmkyk,mky,full,cycymy,mkmkyk,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#76383c,0.46078431372549017,0.21764705882352942,0.2352941176470588,31.6332906179194,27.61577504935625,10.011147726808012,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,mky_full_019_mkmkk,mky,full,cycyy,mkmkk,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#5a1648,0.3529411764705882,0.08627450980392157,0.2823529411764706,20.888609395991338,36.40138826130202,-14.369767690665302,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,mky_full_020_mk,mky,full,cy,mk,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#6b1655,0.42156862745098034,0.08823529411764705,0.33333333333333337,24.972798904713585,43.063989836503616,-16.53866822562311,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
21,mky_full_021_mykmk,mky,full,cmycy,mykmk,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#893f44,0.5372549019607843,0.2454901960784314,0.26666666666666666,36.4575201846838,32.2711177420143,12.030755252654624,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,mky_full_022_mmkmk,mky,full,ccycy,mmkmk,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#7d1762,0.4901960784313725,0.09019607843137255,0.3843137254901961,29.045595891041245,49.26967652924896,-18.504774230581546,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
23,mky_full_023_mmk,mky,full,ccy,mmk,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#89176b,0.5359477124183006,0.09150326797385622,0.41830065359477125,31.743751639240692,53.2149515234337,-19.734675168000603,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full
24,mky_full_024_mymkmk,mky,full,cmcycy,mymkmk,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#933852,0.5751633986928105,0.22091503267973855,0.32026143790849676,37.18636223784326,40.43647828185454,4.612495147099849,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,mky_full_025_mmmk,mky,full,cccy,mmmk,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#971876,0.5931372549019608,0.09313725490196079,0.46078431372549017,35.09144550512338,57.975459492816796,-21.202984000335157,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,mky_full_026_mmmmk,mky,full,ccccy,mmmmk,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#a0187c,0.6274509803921569,0.09411764705882353,0.4862745098039216,37.08540498115857,60.75459110192849,-22.053769184463246,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
27,mky_full_027_mmmmmk,mky,full,cccccy,mmmmmk,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#a61880,0.6503267973856209,0.09477124183006536,0.5032679738562092,38.408346244124495,62.579101598709165,-22.610174152949725,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full
28,mky_full_028_m,mky,full,c,m,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#c31996,0.7647058823529411,0.09803921568627451,0.5882352941176471,44.94517938493525,71.41561872915153,-25.286338363609783,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full
29,mky_full_029_mymk,mky,full,cmcy,mymk,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#a64950,0.6519607843137255,0.2872549019607843,0.3137254901960784,43.526989556442715,38.951938737172064,14.989794183137484,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full
30,mky_full_030_mmymk,mky,full,ccmcy,mmymk,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#ac405e,0.6745098039215687,0.24941176470588236,0.3686274509803921,43.067733774299455,46.92863897748478,5.849954591948281,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full
31,mky_full_031_mmmymk,mky,full,cccmcy,mmmymk,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.14433756729740643,#b03967,0.6895424836601306,0.22418300653594772,0.4052287581699347,42.976507011157366,51.87466374052912,0.00907417517650444,"[[0.22499999999999992, 0.07216878364870322], [0.29166666666666674, 0.0721687836487032], [0.3166666666666667, 0.08660254037844384], [0.23333333333333334, 0.2309401076758503], [0.20833333333333331, 0.21650635094610965], [0.175, 0.1587713240271471], [0.16666666666666666, 0.11547005383792512], [0.16666666666666666, 0.09622504486493762], [0.1833333333333334, 0.0866025403784438]]",6,5,5,full
32,mky_full_032_mmmmmy,mky,full,cccccm,mmmmmy,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,#cd3a7d,0.8039215686274509,0.22745098039215686,0.4901960784313726,48.87116714116331,62.29780497489007,-4.023754337227636,"[[0.18333333333333338, 0.08660254037844385], [0.16666666666666669, 0.09622504486493762], [0.08333333333333334, 0.04811252243246881], [0.08333333333333333, 0.0], [0.18333333333333335, 0.0]]",6,5,5,full
33,mky_full_033_mmmmy,mky,full,ccccm,mmmmy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#cf4178,0.8117647058823529,0.2533333333333333,0.47058823529411764,49.930016111003084,59.9627816908268,0.597488729997786,"[[0.225, 0.07216878364870322], [0.18333333333333338, 0.08660254037844384], [0.18333333333333335, 0.0], [0.22499999999999998, 0.0]]",6,5,5,full
34,mky_full_034_mmmy,mky,full,cccm,mmmy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#d24b71,0.8235294117647058,0.29215686274509806,0.4411764705882353,51.668565525830644,56.21727015606698,7.685778968975887,"[[0.2916666666666667, 0.07216878364870322], [0.22499999999999998, 0.0721687836487032], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,5,5,full
35,mky_full_035_mmy,mky,full,ccm,mmy,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#d75b64,0.8431372549019608,0.3568627450980392,0.39215686274509803,54.92109472478978,49.47976671792647,19.744343642877826,"[[0.3666666666666667, 0.07698003589195004], [0.3416666666666667, 0.0914137926216907], [0.31666666666666665, 0.08660254037844384], [0.2916666666666667, 0.07216878364870323], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,5,5,full
36,mky_full_036_mymymk,mky,full,cmcmcy,mymymk,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.41666666666666663,0.14433756729740643,#ba5a4e,0.7287581699346405,0.3535947712418301,0.3071895424836601,49.87771112774442,37.54693687207522,24.95827138842055,"[[0.44999999999999996, 0.06735753140545633], [0.4833333333333334, 0.08660254037844393], [0.44166666666666676, 0.20688384645961588], [0.3583333333333334, 0.1587713240271471], [0.3416666666666667, 0.09141379262169072], [0.3666666666666667, 0.07698003589195006]]",6,5,5,full
37,mky_full_037_mmymy,mky,full,ccmcm,mmymy,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#db685a,0.8588235294117647,0.4086274509803921,0.3529411764705882,57.79272001589632,43.79980661784783,29.40157737957495,"[[0.44999999999999996, 0.06735753140545633], [0.3666666666666667, 0.07698003589195006], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,5,5,full
38,mky_full_038_my,mky,full,cm,my,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#e17c4b,0.8823529411764706,0.48627450980392156,0.29411764705882354,62.45289702748056,35.06929839281481,43.41945673452145,"[[0.55, 0.06735753140545635], [0.5166666666666666, 0.08660254037844395], [0.4833333333333334, 0.08660254037844395], [0.44999999999999996, 0.06735753140545636], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,5,5,full
39,mky_full_039_mymyk,mky,full,cmcmy,mymyk,0.4,0.2,0.4,0.4,0.2,0.4,0.5,0.17320508075688773,#b86740,0.7215686274509804,0.40470588235294114,0.25098039215686274,52.178700012741615,28.8800756531013,35.849891863800444,"[[0.5166666666666666, 0.08660254037844392], [0.5583333333333332, 0.20688384645961583], [0.5499999999999999, 0.23094010767585013], [0.45000000000000007, 0.23094010767585016], [0.44166666666666676, 0.20688384645961586], [0.4833333333333334, 0.08660254037844392]]",6,5,5,full
40,mky_full_040_mymyy,mky,full,cmcmm,mymyy,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#e7903c,0.9058823529411765,0.5639215686274509,0.23529411764705882,67.43094787588788,26.34285180880125,56.23381246555199,"[[0.6333333333333333, 0.07698003589195006], [0.55, 0.06735753140545635], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,5,5,full
41,mky_full_041_myy,mky,full,cmm,myy,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.7083333333333331, 0.07216878364870336], [0.6833333333333338, 0.08660254037844362], [0.6583333333333332, 0.09141379262169061], [0.6333333333333334, 0.07698003589195007], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,5,5,full
42,mky_full_042_mymyky,mky,full,cmcmym,mymyky,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.5833333333333334,0.14433756729740643,#c47b35,0.7679738562091503,0.4830065359477124,0.20915032679738563,58.21112704192605,22.355378379229627,48.38049279195546,"[[0.6583333333333332, 0.09141379262169057], [0.6416666666666665, 0.15877132402714716], [0.5583333333333332, 0.20688384645961586], [0.5166666666666666, 0.0866025403784439], [0.55, 0.06735753140545633], [0.6333333333333334, 0.07698003589195007]]",6,5,5,full
43,mky_full_043_myyy,mky,full,cmmm,myyy,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.7750000000000006, 0.07216878364870336], [0.7083333333333333, 0.07216878364870336], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,5,5,full
44,mky_full_044_myyyy,mky,full,cmmmm,myyyy,0.2,0.0,0.8,0.2,0.0,0.8,0.8,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.8166666666666662, 0.08660254037844367], [0.7750000000000006, 0.07216878364870337], [0.7750000000000006, 0.0], [0.8166666666666663, 0.0]]",6,5,5,full
45,mky_full_045_myyyyy,mky,full,cmmmmm,myyyyy,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.0,#f5be19,0.9607843137254902,0.7450980392156863,0.09803921568627451,79.79204921266052,6.88998560197307,78.60061215554556,"[[0.8333333333333333, 0.0962250448649377], [0.8166666666666662, 0.0866025403784437], [0.8166666666666663, 0.0], [0.9166666666666666, 0.0], [0.9166666666666666, 0.048112522432468836]]",6,5,5,full
46,mky_full_046_y,mky,full,m,y,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.9166666666666667, 0.048112522432468885], [0.9166666666666667, 0.0], [1.0, 0.0], [0.9583333333333334, 0.07216878364870329]]",6,5,5,full
47,mky_full_047_myky,mky,full,cmym,myky,0.25,0.25,0.5,0.25,0.25,0.5,0.625,0.21650635094610965,#b57b2b,0.7107843137254901,0.48137254901960785,0.16666666666666669,56.21883801825216,15.746736247374827,50.60894129817296,"[[0.6833333333333332, 0.23094010767585077], [0.6000000000000006, 0.27905263010831916], [0.575, 0.2742413778650722], [0.5499999999999999, 0.23094010767585016], [0.5583333333333332, 0.20688384645961583], [0.6416666666666664, 0.1587713240271472]]",6,5,5,full
48,mky_full_048_myyky,mky,full,cmmym,myyky,0.2,0.2,0.6,0.2,0.2,0.6,0.7,0.17320508075688773,#c48f22,0.7686274509803922,0.5599999999999999,0.13333333333333336,62.87636597299512,10.898720965810071,60.52020707213808,"[[0.766666666666667, 0.23094010767584996], [0.7499999999999998, 0.25018511664883825], [0.6833333333333333, 0.23094010767585071], [0.6416666666666665, 0.15877132402714722], [0.6583333333333332, 0.0914137926216906], [0.6833333333333339, 0.08660254037844359]]",6,5,5,full
49,mky_full_049_myyyky,mky,full,cmmmym,myyyky,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.75,0.14433756729740643,#ce9c1c,0.8071895424836603,0.6124183006535948,0.11111111111111112,67.29142735139115,7.835381015098564,66.30114330378566,"[[0.8250000000000003, 0.1587713240271464], [0.7916666666666666, 0.21650635094610957], [0.7666666666666672, 0.2309401076758499], [0.6833333333333339, 0.08660254037844357], [0.7083333333333331, 0.07216878364870336], [0.7750000000000006, 0.07216878364870336], [0.8166666666666662, 0.08660254037844367], [0.8333333333333333, 0.09622504486493769], [0.8333333333333333, 0.11547005383792629]]",6,5,5,full
50,mky_full_050_yyyyyk,mky,full,mmmmmy,yyyyyk,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.9166666666666667,0.14433756729740643,#d8bd03,0.8464052287581699,0.7418300653594772,0.013071895424836602,76.70950269694525,-5.56138699410641,77.86378677340021,"[[0.8333333333333334, 0.11547005383792527], [0.8333333333333334, 0.09622504486493769], [0.9166666666666666, 0.0481125224324689], [0.9583333333333333, 0.07216878364870329], [0.9083333333333332, 0.15877132402714716]]",6,5,5,full
51,mky_full_051_yyyyk,mky,full,mmmmy,yyyyk,0.0,0.2,0.8,0.0,0.2,0.8,0.9,0.17320508075688773,#d0b604,0.8156862745098039,0.7152941176470589,0.01568627450980392,74.21597840184782,-5.48163475683433,75.6623751618622,"[[0.8250000000000001, 0.15877132402714667], [0.8333333333333333, 0.11547005383792514], [0.9083333333333332, 0.15877132402714725], [0.8875000000000002, 0.19485571585149836]]",6,5,5,full
52,mky_full_052_yyyk,mky,full,mmmy,yyyk,0.0,0.25,0.75,0.0,0.25,0.75,0.875,0.21650635094610965,#c4ac05,0.7696078431372549,0.6754901960784314,0.0196078431372549,70.4431701097861,-5.360264800353121,72.31357491032786,"[[0.7916666666666665, 0.21650635094610965], [0.8250000000000001, 0.1587713240271467], [0.8875000000000002, 0.19485571585149844], [0.8541666666666666, 0.2525907427704614]]",6,5,5,full
53,mky_full_053_yyk,mky,full,mmy,yyk,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.28867513459481287,#b19b07,0.69281045751634,0.6091503267973856,0.026143790849673203,64.06203102381075,-5.152249592040081,66.58979098711278,"[[0.7499999999999999, 0.2790526301083193], [0.7499999999999999, 0.25018511664883825], [0.7666666666666673, 0.23094010767584988], [0.7916666666666665, 0.2165063509461097], [0.8541666666666666, 0.25259074277046145], [0.8166666666666667, 0.3175426480542943]]",6,5,5,full
54,mky_full_054_mykyky,mky,full,cmymym,mykyky,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.28867513459481287,#a77a20,0.6535947712418301,0.4797385620915033,0.12418300653594772,54.32769137172065,9.001751098563659,52.48735986456191,"[[0.7499999999999998, 0.2790526301083193], [0.7166666666666667, 0.35603266600026906], [0.6833333333333338, 0.3752776749732563], [0.6000000000000006, 0.27905263010831927], [0.6833333333333333, 0.23094010767585077], [0.7499999999999998, 0.2501851166488382]]",6,5,5,full
55,mky_full_055_yykyk,mky,full,mmymy,yykyk,0.0,0.4,0.6,0.0,0.4,0.6,0.8,0.34641016151377546,#a18e08,0.6313725490196079,0.5560784313725491,0.03137254901960784,58.865354913161596,-4.979038213321019,61.85782711075281,"[[0.7166666666666666, 0.356032666000269], [0.7499999999999999, 0.2790526301083194], [0.8166666666666665, 0.3175426480542942], [0.775, 0.38971143170299727]]",6,5,5,full
