region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,ynm_two_color_011_yn,ynm,two_color,cy,yn,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#c4b749,0.7705882352941176,0.7176470588235294,0.28627450980392155,73.64441637836279,-8.506124682364502,55.95363699709435,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8209,31735,13487,8377,8209,8377,1.0,0.65,0.65,8,98.0,5.487093428561713,168,0.020054912259758865,#969760,0.5882353,0.5921569,0.3764706,61.12467029507263,-8.979471074097912,29.410238020612244,61.45057107708815,-8.96307874356005,29.149324648885226,13.86788424013106,29.351663121897158,2.2091153241106363,3.894384842038331,1.1833137862744938,106.97836670635877,30.75049595046602,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
12,ynm_two_color_012_yynyn,ynm,two_color,ccycy,yynyn,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#d0bf3a,0.8164705882352941,0.7490196078431373,0.22901960784313724,76.68633556880798,-8.444424052542477,65.24716141240661,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5117,22781,9692,5222,5117,5222,1.0,0.65,0.65,8,98.0,7.225765042401365,105,0.020107238605898123,#a3a25e,0.6392157,0.63529414,0.36862746,65.41046087253231,-10.31178310516384,35.28818028349352,65.99743225094504,-10.761710356461696,36.41043940057373,13.22375906184284,32.06513574398349,3.283572803515241,5.965856255448657,1.8619571596740403,106.28922557876598,36.76395705753507,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
13,ynm_two_color_013_yyn,ynm,two_color,ccy,yyn,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#d8c431,0.8470588235294118,0.7699346405228757,0.19084967320261437,78.72372712820206,-8.237777918537581,70.6964771510838,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3389,16589,7111,3457,3389,3457,1.0,0.65,0.65,8,98.0,6.541727630934691,68,0.019670234307202775,#afb05b,0.6862745,0.6901961,0.35686275,70.15738910451637,-12.395961146847323,42.36767983153369,69.32012372716294,-12.024694101631287,41.803536614684106,11.37143269330221,29.886341235895518,2.434299986399674,5.442632744876815,1.6510409618101063,106.30845193997436,44.143857410306765,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
14,ynm_two_color_014_yyny,ynm,two_color,ccyc,yyny,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#e2cb25,0.8852941176470588,0.796078431372549,0.14313725490196078,81.2769266711839,-7.829922023281255,76.58440743090578,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,1979,11595,4905,2019,1979,2019,1.0,0.65,0.65,8,98.0,7.678134021972781,40,0.01981178801386825,#bcbd59,0.7372549,0.7411765,0.34901962,74.56840512743445,-13.590976538496447,49.691453074860206,73.61652328270966,-12.798694603021255,48.11309639278426,10.129724147084461,28.30945079697914,2.1484425648414947,6.031322193510808,1.9603241362136319,105.29671012599317,51.51655221344878,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
15,ynm_two_color_015_yynyy,ynm,two_color,ccycc,yynyy,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#e8cf1d,0.908235294117647,0.8117647058823529,0.11450980392156862,82.81074853195292,-7.519206396517985,79.61408985962831,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2710,13643,5763,2765,2710,2765,1.0,0.65,0.65,8,98.0,8.787055896647896,55,0.019891500904159132,#c7c658,0.78039217,0.7764706,0.34509805,78.02897352971976,-14.330199438660706,54.569235757946856,76.7684855259902,-13.214965659356155,52.079382628712324,9.154608071743258,26.391281048228954,1.9358937255570956,6.972364630600499,2.296919228207987,104.71397646845946,56.4194656759365,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
16,ynm_two_color_016_y,ynm,two_color,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1123,6692,2885,1145,1123,0,0.0,0.65,0.65,8,98.0,0.9800968027851237,22,0.01921397379912664,#ffe651,1.0,0.9019608,0.31764707,90.99218410097382,-7.564578291850143,72.33497999298083,91.02783821742815,-7.54525428525909,72.67782156400644,4.04552745697909,16.43052790244151,0.3820541064682899,0.7265117907852989,0.21722689497705114,95.97012249239606,72.72944503650821,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
17,ynm_two_color_017_yymyy,ynm,two_color,ccmcc,yymyy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3135,13530,5762,3199,3135,3199,1.0,0.65,0.65,8,98.0,14.209092667690385,64,0.02000625195373554,#f7ad73,0.96862745,0.6784314,0.4509804,76.63707270489547,21.144748848205495,40.8616415367361,76.14027326836742,22.164469672394965,38.758897791803875,15.864447680951779,37.119896768494634,4.9088151445308075,11.816318845645096,3.6166936413862554,62.639707806505726,46.00841393626175,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
18,ynm_two_color_018_yymy,ynm,two_color,ccmc,yymy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2495,11655,4910,2543,2495,2543,1.0,0.65,0.65,8,98.0,11.573197660285555,48,0.018875344081793158,#f5a275,0.9607843,0.63529414,0.45882353,73.85112171008853,25.919612924205083,35.994650395141605,73.81433982793425,26.254142331158402,35.03352711621522,18.064621062202843,38.003990718716025,4.634159956001423,9.27962349938152,2.818969870542695,54.242480821721415,44.355847317000794,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
19,ynm_two_color_019_yym,ynm,two_color,ccm,yym,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4094,16575,7143,4177,4094,4177,1.0,0.65,0.65,8,98.0,9.046590083294584,83,0.019870720612880057,#f2967a,0.9490196,0.5882353,0.47843137,70.95668604571927,31.32230358111812,29.617045393554385,70.92239704566855,31.40586939799811,28.882169143334014,18.90103985255663,35.811754856624276,3.841160826968007,6.966493242564802,2.1385388395076075,43.39711764842309,43.10749446988987,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
20,ynm_two_color_020_yymym,ynm,two_color,ccmcm,yymym,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#e7903c,0.9058823529411765,0.563921568627451,0.23529411764705882,67.4309478758879,26.342851808801193,56.233812465552,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6032,22997,9761,6156,6032,6156,1.0,0.65,0.65,8,98.0,10.638396000905493,124,0.02014294996751137,#ef907d,0.9372549,0.5647059,0.49019608,69.3685598464079,34.64439386817148,24.965142740301417,69.42561871794447,33.84842950912943,25.96523783340359,18.147010690496778,32.40986959397706,3.754621119817191,8.448534874245306,2.7100154282759847,35.776948682839816,42.70236970633623,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
