role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,y,-2,393.6315789473685,1129.7368421052631,0.9450980424880981,0.7333333492279053,0.41960784792900085,16.462435432946364,-2,0,1,manual_override:two_color__yvm__DSC_4612yvm,44.542624586873345,512059,506414.6925207756,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,yvm,two_color,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
top,Y,v,-2,956.3684210526316,203.21052631578948,0.5333333611488342,0.40784314274787903,0.7254902124404907,12.304022406152074,-2,0,1,manual_override:two_color__yvm__DSC_4612yvm,44.542624586873345,512059,506414.6925207756,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,yvm,two_color,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
bottom_right,M,m,-2,1480.7368421052631,1139.6842105263158,0.8588235378265381,0.40784314274787903,0.658823549747467,15.776166747774905,-2,0,1,manual_override:two_color__yvm__DSC_4612yvm,44.542624586873345,512059,506414.6925207756,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4612yvm.tif,DSC_4612yvm.tif,DSC_4612,yvm,yvm,two_color,capture_number,4612,y,v,m,CMY+OVG,two_color__yvm__DSC_4612yvm,0.545950864422202
