region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_w,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,ywm_two_color_011_yw,ywm,two_color,cy,yw,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#faea7b,0.9803921568627452,0.9176470588235295,0.4803921568627451,91.9488240565362,-8.674881669843703,55.525164261720896,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,10964,39838,16951,11169,10964,0,0.0,0.65,0.65,8,98.0,2.570011987362767,205,0.0183543737129555,#ffee86,1.0,0.93333334,0.5254902,93.46067266570107,-7.60214432825318,52.092078209569515,93.45752271054104,-7.6182706998795435,52.216337046303146,1.427154563148199,3.9016062669819487,0.7804175677380009,1.7635065510311205,0.5791877221440052,98.30294223584951,52.643871538665344,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
12,ywm_two_color_012_yywyw,ywm,two_color,ccycy,yywyw,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#fbe862,0.9843137254901961,0.9090196078431372,0.3843137254901961,91.2318656217574,-8.977733645519292,65.64806211629117,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,7025,28479,12237,7140,7025,0,0.0,0.65,0.65,8,98.0,2.9075317517343464,115,0.01610644257703081,#ffed80,1.0,0.92941177,0.5019608,93.05476001133063,-7.556894219478416,54.38173522224501,93.06878545675501,-7.624739027165582,55.136169165306896,3.247360461182913,11.500949974399399,1.1002565901866406,2.2516958519701085,0.7020123519289065,97.91116849499895,54.90427830348697,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
13,ywm_two_color_013_yyw,ywm,two_color,ccy,yyw,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#fce652,0.9869281045751634,0.9032679738562092,0.32026143790849676,90.78894224505643,-8.920091259041696,71.78977329896013,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,4619,20781,8865,4714,4619,0,0.0,0.65,0.65,8,98.0,3.8971648180795206,95,0.020152736529486636,#ffeb76,1.0,0.92156863,0.4627451,92.73917166332666,-7.8206251114034675,58.58243512484318,92.73476985724014,-7.590991746244327,57.61697993352555,3.572405786159586,13.395745676862333,1.2544394071659872,2.686575538973317,0.9113220528689568,97.60390076316986,59.102147865281296,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
14,ywm_two_color_014_yywy,ywm,two_color,ccyc,yywy,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#fde53d,0.9901960784313726,0.8960784313725491,0.24019607843137256,90.27287161929827,-8.570060983918548,78.45597358508658,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2830,14518,6173,2885,2830,0,0.0,0.65,0.65,8,98.0,4.342640145121846,55,0.019064124783362217,#ffea6d,1.0,0.91764706,0.42745098,92.37267005334577,-7.971390528933919,62.08449900462916,92.35451527661733,-7.624006725740272,60.95243114750374,4.1848115573284765,16.516438469472266,1.4844268073056184,3.263736579593472,1.0259834796921088,97.3165087664645,62.5941537495362,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
15,ywm_two_color_015_yywyy,ywm,two_color,ccycc,yywyy,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#fde331,0.9921568627450981,0.891764705882353,0.19215686274509805,89.98225411565325,-8.220184501397831,81.75862448367222,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,3742,17196,7232,3817,3742,0,0.0,0.65,0.65,8,98.0,6.070968305926241,75,0.019648938957296306,#ffe964,1.0,0.9137255,0.39215687,92.05824256048585,-7.884441934587594,65.61702783955951,92.05979662493766,-7.529736394889326,63.02088281763532,4.010299272581701,16.278009501025533,1.0166051101682514,3.5557590831566515,1.3432117434781787,96.85172424259872,66.08902153245583,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
16,ywm_two_color_016_y,ywm,two_color,c,y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#ffdf00,1.0,0.8745098039215686,0.0,88.94096720886532,-5.949434572648293,88.5567575521992,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1613,8579,3642,1642,1613,0,0.0,0.65,0.65,8,98.0,1.4199675545073445,29,0.01766138855054811,#ffe754,1.0,0.90588236,0.32941177,91.21208676181652,-7.598643222116563,71.46240604572382,91.15691587516193,-7.594197250997633,71.63928366520582,4.290913916832662,17.32324238184686,0.5483619954882408,1.1038979975766197,0.3267862545856031,96.0694910435717,71.86525486395303,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
17,ywm_two_color_017_yymyy,ywm,two_color,ccmcc,yymyy,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#f3b71e,0.9529411764705882,0.7192156862745098,0.11764705882352941,77.98402366630827,9.564777772315624,76.10333175007294,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,4307,17214,7301,4394,4307,4394,1.0,0.65,0.65,8,98.0,16.732703831818103,87,0.019799726900318615,#f9b274,0.9764706,0.69803923,0.45490196,78.00524888796924,19.60442247597105,42.72367654271536,77.29560185717175,20.76507822755445,39.64678005878161,14.229409792990927,34.85679701360618,4.476375254677772,13.730050060814257,4.312535251565443,65.35124123029408,47.00687096524215,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
18,ywm_two_color_018_yymy,ywm,two_color,ccmc,yymy,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#f0ae26,0.9411764705882353,0.6803921568627451,0.14705882352941177,75.29275943833024,13.646301897515034,71.93335971602419,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,3515,14537,6237,3587,3515,3587,1.0,0.65,0.65,8,98.0,14.148097684399069,72,0.020072483969891274,#f7a876,0.96862745,0.65882355,0.4627451,75.54022623417579,23.57448381833627,37.87501395201662,75.04684569786488,24.382160315884366,36.31109059599351,15.87131541733468,35.47676637249595,4.51846656849994,10.363929906836018,3.4126073549497034,58.100693506506275,44.61247548798937,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
19,ywm_two_color_019_yym,ywm,two_color,ccm,yym,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#eb9d32,0.9215686274509803,0.615686274509804,0.19607843137254902,70.87834005274337,20.623964460334378,63.79337035503971,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,5525,21006,8946,5638,5525,5638,1.0,0.65,0.65,8,98.0,10.132886521522014,113,0.020042568286626462,#f39d7c,0.9529412,0.6156863,0.4862745,72.69732163783853,28.607481541282176,30.28317929459501,72.25945256916815,29.348576339393126,29.995205074452745,17.222131405157953,34.49605983146783,4.656749263538444,8.218705083129072,2.4248853020512637,46.629876597437374,41.65883997812935,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
20,ywm_two_color_020_yymym,ywm,two_color,ccmcm,yymym,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#e7903c,0.9058823529411765,0.563921568627451,0.23529411764705882,67.4309478758879,26.342851808801193,56.233812465552,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,8006,28708,12161,8167,8006,8167,1.0,0.65,0.65,8,98.0,11.169441198121119,161,0.0197134810824048,#f1957e,0.94509804,0.58431375,0.49411765,70.66375639002837,32.793099001161565,26.104589479363028,70.55332685681978,32.23516300100055,26.913054219137994,16.82220484849306,30.981071922758737,4.634513845441928,8.93403338392378,2.7547482940687607,38.52116134518269,41.91463865985313,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4578ywm.tif,DSC_4578ywm.tif,DSC_4578,ywm,capture_number,4578,y,w,m,CMY+neutral,two_color__ywm__DSC_4578ywm,0.6050420168067226
