role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,367.0,1116.0,0.5058823823928833,0.658823549747467,0.7843137383460999,15.487014427556739,-2,0,1,manual_override:full__coy__DSC_4549coy,52.34600222829877,512838,497759.44736842124,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,coy,full,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
top,Y,o,-2,925.1052631578948,206.05263157894737,1.0,0.48627451062202454,0.3921568691730499,14.480254039629441,-2,0,1,manual_override:full__coy__DSC_4549coy,52.34600222829877,512838,497759.44736842124,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,coy,full,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
bottom_right,M,y,-2,1450.0,1134.0,1.0,0.7058823704719543,0.42352941632270813,22.37873376111259,-2,0,1,manual_override:full__coy__DSC_4549coy,52.34600222829877,512838,497759.44736842124,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4549coy.tif,DSC_4549coy.tif,DSC_4549,coy,coy,full,capture_number,4549,c,o,y,CMY+OVG,full__coy__DSC_4549coy,0.5442999697611128
