region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_v,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cvy_two_color_011_cv,cvy,two_color,cy,cv,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#5690ee,0.33725490196078434,0.5627450980392157,0.9313725490196079,59.81163391751927,10.177625879693009,-52.969272073506076,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8312,32247,13611,8468,8312,8468,1.0,0.65,0.65,8,98.0,4.144131173602523,156,0.018422295701464336,#777cca,0.46666667,0.4862745,0.7921569,54.78179750684632,17.696393803797285,-41.144217350233106,54.84710859435909,17.526756540411583,-41.07937111914474,11.555062945916927,14.888352649741714,1.5614448957848452,2.873130678668753,0.8817756559181019,293.2728526316342,44.78849154662722,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
12,cvy_two_color_012_ccvcv,cvy,two_color,ccycy,ccvcv,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#509bea,0.31529411764705884,0.6070588235294118,0.9176470588235294,62.53851352418627,1.434861162781076,-46.72991676815164,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5219,23164,9846,5326,5219,5326,1.0,0.65,0.65,8,98.0,7.113163979242064,107,0.020090123920390536,#7684cf,0.4627451,0.5176471,0.8117647,57.10847796773176,14.466791452697858,-39.81674746419064,57.435346112749116,13.346956798911302,-39.41143180084319,13.048043905425931,15.719682027663263,3.0622076494019232,5.808254972083642,1.792619185375421,289.9678210798108,42.36344454317877,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
13,cvy_two_color_013_ccv,cvy,two_color,ccy,ccv,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#4da2e8,0.3006535947712418,0.6366013071895424,0.9084967320261438,64.4242227167021,-4.2472141948939335,-42.48559172864355,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3337,16768,7062,3406,3337,3406,1.0,0.65,0.65,8,98.0,5.4703351091861565,69,0.020258367586611863,#778ad2,0.46666667,0.5411765,0.8235294,58.74598513845012,11.60615142917909,-38.99821677715376,58.81809960490486,11.336753294268359,-38.82930391648445,13.50656438250859,17.196899943242432,3.0101055978215454,4.275468048519641,1.1565476043589087,286.5733859653965,40.688618344629404,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
14,cvy_two_color_014_ccvc,cvy,two_color,ccyc,ccvc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#48ace5,0.2823529411764706,0.6735294117647058,0.8970588235294118,66.84522755777502,-11.150676416141703,-37.10830404442107,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2037,11690,4979,2077,2037,2077,1.0,0.65,0.65,8,98.0,6.492701600538521,40,0.019258545979778528,#7692d6,0.4627451,0.57254905,0.8392157,61.14389767512802,7.4218633260606515,-37.70110399225721,60.963756054423676,8.5750933902617,-37.87576197520983,13.725821819226718,19.436970100419565,3.169674687487512,5.850663275105347,1.7974677878941385,281.13687440256,38.424696452486344,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
15,cvy_two_color_015_ccvcc,cvy,two_color,ccycc,ccvcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#45b1e3,0.27137254901960783,0.6956862745098038,0.8901960784313726,68.32722199238262,-15.175958796575962,-33.85255153955444,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2839,13828,5928,2895,2839,2895,1.0,0.65,0.65,8,98.0,8.12202405810131,56,0.01934369602763385,#7798d9,0.46666667,0.59607846,0.8509804,62.700855410936455,4.628241632168684,-36.75491157572273,62.293865478887064,6.8450718178506325,-37.18171391292775,13.820081995934313,20.791489829020204,2.9257065764738455,7.361961432505776,2.265279244917246,277.17700855097354,37.045163591823105,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
16,cvy_two_color_016_c,cvy,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1139,6859,2892,1163,1139,1163,1.0,0.65,0.65,8,98.0,2.2721652385724114,24,0.02063628546861565,#7face8,0.49803922,0.6745098,0.9098039,69.41110381274947,0.42693171634689,-34.805946694977365,69.50756807202335,0.43781651038291125,-34.68212363801824,19.39746262485738,34.20139263527583,0.7429018553319403,1.7345302676693177,0.5565081594974309,270.70275803797085,34.80856498082087,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
17,cvy_two_color_017_ccycc,cvy,two_color,ccmcc,ccycc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#61cdb0,0.3819607843137255,0.8023529411764706,0.6901960784313725,75.5547352424016,-37.82289322407589,4.864422141720537,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3266,13874,5901,3333,3266,3333,1.0,0.65,0.65,8,98.0,16.384500058929593,67,0.020102010201020103,#7bc0c3,0.48235294,0.7529412,0.7647059,73.3625976872839,-20.277306668411153,-8.047815553698246,73.58732243909319,-20.733456265411878,-6.049854014020505,12.407466107770412,21.894724408995753,7.886284510728861,14.351661608845843,4.204714559826542,201.64752389048067,21.815968942752434,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
18,cvy_two_color_018_ccyc,cvy,two_color,ccmc,ccyc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#6bcea5,0.42058823529411765,0.8068627450980392,0.6470588235294118,75.99398463781759,-38.508338624210936,11.446263813771207,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2656,11847,5054,2711,2656,2711,1.0,0.65,0.65,8,98.0,12.073861898069998,55,0.02028771670970122,#7ec3ba,0.49411765,0.7647059,0.7294118,74.23816793900482,-23.4154108893756,-2.152198790418691,74.37195976692662,-23.63458344036375,-0.7993367720831869,10.408396063027554,20.39111436597673,6.2561353461787075,10.48035166764552,3.0431850180153988,185.25151599561832,23.51411122606528,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
19,cvy_two_color_019_ccy,cvy,two_color,ccm,ccy,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#7cd093,0.4849673202614379,0.8143790849673204,0.5751633986928105,76.86250739489427,-38.58330122000342,22.49598611228505,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4219,16874,7224,4303,4219,4303,1.0,0.65,0.65,8,98.0,8.499459218358892,84,0.01952126423425517,#87c8a6,0.5294118,0.78431374,0.6509804,75.50503265436363,-27.526006718605444,10.85902896975275,75.67008835324768,-27.594373298364626,10.64917646561375,6.543882157406363,16.109788046369765,3.5639122953863,6.169187382801979,1.886639511837615,158.4707308903396,29.590531526801634,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
20,cvy_two_color_020_ccycy,cvy,two_color,ccmcm,ccycy,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#89d184,0.5364705882352941,0.820392156862745,0.5176470588235295,77.67664033697756,-37.72301156590308,31.332784159337134,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6196,23185,9886,6323,6196,6323,1.0,0.65,0.65,8,98.0,10.131133755367992,127,0.020085402498813854,#8fca9d,0.56078434,0.7921569,0.6156863,76.45670355794749,-28.45071543203881,17.01132056444603,76.49692742094906,-28.31756479666034,15.497287920812411,6.558358532716583,17.104620452927207,2.814031892365402,7.674228803759254,2.4900481071378424,149.123850670234,33.14857818883331,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4607cvy.tif,DSC_4607cvy.tif,DSC_4607,cvy,capture_number,4607,c,v,y,CMY+OVG,two_color__cvy__DSC_4607cvy,0.5477784540474742
