region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_m,f_v,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,mvy_full_011_mvyv,mvy,full,cymy,mvyv,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#aa6aa5,0.6647058823529413,0.4137254901960784,0.6470588235294118,53.399253410586695,34.99110873076611,-21.440103073990247,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2665,11195,4751,2719,2665,2719,1.0,0.65,0.65,8,98.0,13.088523792138679,54,0.01986024273630011,#9d799d,0.6156863,0.4745098,0.6156863,55.5033427921028,20.15609594228529,-14.852834091663958,55.62974370108202,20.01306323338387,-13.290633973308118,7.017452003903414,16.367556604616226,5.595450775811858,10.107986145323295,3.0180888190621054,323.6138539334855,25.03746960435708,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
12,mvy_full_012_mvyvv,mvy,full,cymyy,mvyvv,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#9e66b7,0.6211764705882354,0.3992156862745098,0.7176470588235294,52.05449465432383,37.18969365095792,-34.073792421144034,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2700,12798,5343,2753,2700,2753,1.0,0.65,0.65,8,98.0,22.28554809530843,53,0.01925172539048311,#9677a9,0.5882353,0.46666667,0.6627451,54.79732790292164,23.49176349714258,-24.249005167905956,54.210815224933114,22.90326827028394,-22.34356310219968,6.452285821818996,17.07872563453745,5.282782551579235,10.912141054159443,4.288062453661535,314.09127743357647,33.762067529089656,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
13,mvy_full_013_mvyvvv,mvy,full,cymyyy,mvyvvv,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#9763c3,0.5921568627450982,0.3895424836601307,0.7647058823529411,51.27483219024373,39.12906569688812,-42.276194449161665,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4297,17351,7426,4385,4297,4385,1.0,0.65,0.65,8,98.0,20.360109953934995,88,0.020068415051311288,#9375ac,0.5764706,0.45882353,0.6745098,53.99238740487485,23.72578926674329,-27.330404853380696,54.284704645447135,22.218959221458444,-23.798003213908387,7.343481932826139,21.63383132432576,5.071038384286767,12.922448463650706,4.490655176948542,310.961564740059,36.19204478583113,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
14,mvy_full_014_mvvvvv,mvy,full,cyyyyy,mvvvvv,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#804ded,0.5000000000000001,0.30065359477124187,0.9313725490196078,46.91475865389191,56.73748978257559,-73.60279609059697,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1695,9076,3867,1730,1695,1730,1.0,0.65,0.65,8,98.0,4.742807889246118,35,0.02023121387283237,#8d6dc2,0.5529412,0.42745098,0.7607843,52.35026343418791,30.702607982501075,-40.33860027741822,52.454861360427785,30.714285278257638,-40.01212334302723,11.324798967488928,42.58951168607091,1.2583251230391392,2.3946794058575773,0.7644267374471302,307.2755717829138,50.693715678261974,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
15,mvy_full_015_mvvvv,mvy,full,cyyyy,mvvvv,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#824bea,0.5105882352941177,0.2925490196078432,0.9176470588235294,46.55113040139975,57.32465652541086,-72.21111280381838,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,275,3994,1713,281,275,281,1.0,0.65,0.65,8,98.0,6.884776975228644,6,0.021352313167259787,#8c6bc1,0.54901963,0.41960785,0.75686276,51.723088337134385,31.192616214183843,-40.003813518061015,51.71895190656452,31.01290296380021,-39.97970107686394,11.057696837198643,41.79644490861572,2.5693765372959594,4.767176916960355,1.4574574307946817,307.9450057673904,50.727550722197954,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
16,mvy_full_016_mvvv,mvy,full,cyyy,mvvv,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#8648e5,0.5264705882352941,0.2803921568627451,0.8970588235294118,46.04496773045418,58.22162368876366,-70.04778407563721,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,752,5760,2461,766,752,766,1.0,0.65,0.65,8,98.0,8.566345524831023,14,0.018276762402088774,#8f6dc3,0.56078434,0.42745098,0.7647059,52.72722614308347,31.146595222416586,-40.102484563954135,51.87228956318288,31.576407296426755,-40.22645282512288,11.59696119592234,40.91980824479833,2.568558851517155,6.358318577334319,2.0498326015025405,307.8355920336767,50.77715689314678,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
17,mvy_full_017_mvv,mvy,full,cyy,mvv,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#8d42dc,0.5529411764705882,0.2601307189542484,0.8627450980392157,45.31120392348,59.7498642644132,-66.23123816885285,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1253,7580,3192,1279,1253,1279,1.0,0.65,0.65,8,98.0,6.148220979939158,26,0.020328381548084442,#926bc0,0.57254905,0.41960785,0.7529412,52.424904084208265,32.55608123724224,-39.002179275720586,52.34233963835271,32.46941888721714,-39.05871548108509,11.591428935097458,39.1347443266372,1.9744362058944562,4.316192431340837,1.4859030218538654,309.8525854445267,50.80421649608785,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
18,mvy_full_018_mvmvyv,mvy,full,cycymy,mvmvyv,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#a559b2,0.6450980392156863,0.3490196078431373,0.6960784313725491,49.84119532445598,44.765833893074756,-34.296032966713085,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3630,15223,6459,3705,3630,3705,1.0,0.65,0.65,8,98.0,17.53185036596584,75,0.020242914979757085,#9b71a7,0.60784316,0.44313726,0.65686274,54.063209098248606,26.77140760823915,-24.16342375146354,54.68611814575848,24.812776044275264,-21.602291439386214,8.034125546278288,21.078295641143217,4.248916062627964,11.890473634660832,3.765583647983223,317.9311197497738,36.06354548181969,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
19,mvy_full_019_mvmvv,mvy,full,cycyy,mvmvv,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#923ed5,0.5741176470588235,0.243921568627451,0.8352941176470589,44.8280240721982,60.991082424680044,-62.979505757944885,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1099,7264,3093,1118,1099,1118,1.0,0.65,0.65,8,98.0,7.767827514342723,19,0.01699463327370304,#946bc0,0.5803922,0.41960785,0.7529412,52.55089790603172,33.453864601765524,-38.66890821337354,52.11647636062516,33.505864361578794,-38.83248495997682,11.739339908465048,37.53593343256659,2.3045557504893908,5.049628364008584,1.6919091498589913,310.86426237501774,51.13164889975257,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
20,mvy_full_020_mv,mvy,full,cy,mv,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#9b38cb,0.6058823529411764,0.2196078431372549,0.7941176470588236,44.284845982298684,62.859789877610375,-57.75650193520261,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1851,9619,4115,1886,1851,1886,1.0,0.65,0.65,8,98.0,5.311917894366503,35,0.01855779427359491,#9b6bbf,0.60784316,0.41960785,0.7490196,53.27784614183811,34.68737746700212,-36.7553339136965,53.03984656076305,34.66757395198962,-36.60794865413488,12.518163877283168,36.27131002831854,1.6636292279703047,3.316442605423013,1.0969698133783028,313.3419987852602,50.53878438037083,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4565mvy.tif,DSC_4565mvy.tif,DSC_4565,mvy,capture_number,4565,m,v,y,CMY+OVG,full__mvy__DSC_4565mvy,0.5491153142159854
