region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cgy_two_color_011_cg,cgy,two_color,cy,cg,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#2dc3a0,0.1764705882352941,0.7666666666666666,0.6254901960784314,71.09773669582923,-46.70624234791809,7.204954127429208,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8177,31601,13469,8343,8177,8343,1.0,0.65,0.65,8,98.0,3.717464147694421,166,0.019896919573294976,#6ec6a9,0.43137255,0.7764706,0.6627451,73.94303693059155,-33.422715760748126,6.335018278246651,73.84715014616808,-33.37001514260453,6.187469815512184,5.223314314261466,13.612663236842483,1.5254853571565767,2.650377361752702,0.775268078541631,169.26734583185817,34.017795128571755,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
12,cgy_two_color_012_ccgcg,cgy,two_color,ccycy,ccgcg,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#30c4ac,0.18666666666666665,0.7701960784313725,0.6729411764705883,71.71688235528099,-43.684436947561466,1.5272197876999183,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5077,22708,9668,5181,5077,5181,1.0,0.65,0.65,8,98.0,9.639060027267382,104,0.020073344914109247,#6dc3b4,0.42745098,0.7647059,0.7058824,73.20799037694634,-29.896752079378754,-0.4459200680781539,73.21426131819268,-28.90544334052309,-1.543209094874076,5.47342771472925,14.007745644715612,3.0431584671763807,7.986524052456279,2.5611481340981324,180.85452237273418,29.90007741800935,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
13,cgy_two_color_013_ccg,cgy,two_color,ccy,ccg,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#31c5b4,0.19346405228758168,0.7725490196078431,0.7045751633986929,72.14281218826366,-41.58939309555265,-2.2366494280815052,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3266,16510,6969,3331,3266,3331,1.0,0.65,0.65,8,98.0,7.212520356085288,65,0.019513659561693184,#6dc0be,0.42745098,0.7529412,0.74509805,72.60045769111872,-25.71754183717617,-6.953482426121704,72.61365215656267,-25.99564116792818,-6.364047985893007,7.617115496935024,16.564226975796707,3.624967674235279,6.143264471979211,1.853609516626341,195.1298111237744,26.64099990610882,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
14,cgy_two_color_014_ccgc,cgy,two_color,ccyc,ccgc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#33c6be,0.20196078431372547,0.7754901960784313,0.7441176470588236,72.68987247128356,-38.888553973067786,-6.912150447912357,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,1950,11538,4862,1990,1950,1990,1.0,0.65,0.65,8,98.0,10.793667021455773,40,0.020100502512562814,#6fbbc9,0.43529412,0.73333335,0.7882353,71.75440221688463,-20.37781873852135,-14.054678478406624,71.75280953913952,-21.12985435522774,-12.984834120617,10.773685589568649,19.862983919510693,4.600367565619383,8.968362298465792,2.729505942915298,214.59421383968552,24.754585104004835,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
15,cgy_two_color_015_ccgcc,cgy,two_color,ccycc,ccgcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#35c6c4,0.20705882352941174,0.7772549019607842,0.7678431372549019,73.02584082700398,-37.2278554452658,-9.700027346092345,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2699,13490,5738,2755,2699,2755,1.0,0.65,0.65,8,98.0,14.094602479288769,56,0.020326678765880218,#71b7ce,0.44313726,0.7176471,0.80784315,70.69910155614014,-16.27594727537174,-18.88699323814984,71.09351710473346,-17.918738053924656,-16.545574060765844,13.15080577120346,22.99557596356485,4.377500495088973,11.687795107331914,3.71359729930228,229.24673973551913,24.932408092452654,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
16,cgy_two_color_016_c,cgy,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1106,6698,2870,1129,1106,1129,1.0,0.65,0.65,8,98.0,1.6732876546216415,23,0.02037201062887511,#7fade8,0.49803922,0.6784314,0.9098039,69.61418564151833,0.3967415665299123,-34.750492198081396,69.5868760552944,0.41059756215848875,-34.633659016451446,19.347849617540255,34.122171845111325,0.5960367438142726,1.2345196289968228,0.38445008838450945,270.65410957687664,34.752756896101474,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
17,cgy_two_color_017_ccycc,cgy,two_color,ccmcc,ccycc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#61cdb0,0.3819607843137255,0.8023529411764706,0.6901960784313725,75.5547352424016,-37.82289322407589,4.864422141720537,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3136,13637,5762,3199,3136,3199,1.0,0.65,0.65,8,98.0,20.51255517953553,63,0.019693654266958426,#7abec5,0.47843137,0.74509805,0.77254903,72.94564604935698,-19.417463782203214,-10.125080690496302,73.62760355270848,-20.175396559442255,-5.993042853162251,14.112016846874063,23.879957590290072,7.400277146787975,18.232613753669433,5.587128994518774,207.5394272093013,21.898747880238144,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
18,cgy_two_color_018_ccyc,cgy,two_color,ccmc,ccyc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#6bcea5,0.42058823529411765,0.8068627450980392,0.6470588235294118,75.99398463781759,-38.508338624210936,11.446263813771207,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2569,11585,4994,2622,2569,2622,1.0,0.65,0.65,8,98.0,12.808574852792526,53,0.02021357742181541,#7dc3b4,0.49019608,0.7647059,0.7058824,74.00423871692571,-23.553786905480266,1.3417838957197503,74.72532816838863,-24.349377986245443,2.3872794674792206,8.40813126672325,18.157594013310284,7.828445777734299,11.573116595336424,3.3291942551325393,176.73956661026978,23.591974517017146,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
19,cgy_two_color_019_ccy,cgy,two_color,ccm,ccy,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#7cd093,0.4849673202614379,0.8143790849673204,0.5751633986928105,76.86250739489427,-38.58330122000342,22.49598611228505,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4079,16490,7103,4162,4079,4162,1.0,0.65,0.65,8,98.0,8.743898143800342,83,0.019942335415665546,#87c7a3,0.5294118,0.78039217,0.6392157,75.28233599888006,-27.642490206107485,13.337804528302332,76.00403035347054,-27.928206413473788,13.08485306552011,5.56204568028243,14.35515855738864,4.667466129330981,7.281217772569003,2.0251697989946043,154.242181343629,30.69208846641021,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
20,cgy_two_color_020_ccycy,cgy,two_color,ccmcm,ccycy,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#89d184,0.5364705882352941,0.820392156862745,0.5176470588235295,77.67664033697756,-37.72301156590308,31.332784159337134,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,6020,22971,9721,6143,6020,6143,1.0,0.65,0.65,8,98.0,11.25516899764119,123,0.02002279016767052,#8fcb98,0.56078434,0.79607844,0.59607846,76.45325948625471,-28.865846762592348,20.78761952469177,76.84010314754575,-29.024805274825894,18.97651613943833,4.962527806281555,13.825575077757058,3.420834034012066,8.722450608577198,2.609753113159296,144.24060987492635,35.57193043432995,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4616cgy.tif,DSC_4616cgy.tif,DSC_4616,cgy,capture_number,4616,c,g,y,CMY+OVG,two_color__cgy__DSC_4616cgy,0.5462822458270106
