region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_k,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cky_full_011_ckyk,cky,full,cymy,ckyk,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#587441,0.346078431372549,0.453921568627451,0.2549019607843137,45.49906814106762,-19.815333573880377,24.838830854914118,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2638,11030,4740,2692,2638,2233,0.8294947994056464,0.65,0.65,8,98.0,12.053327339363378,54,0.020059435364041606,#3d4343,0.23921569,0.2627451,0.2627451,28.062237617959745,-2.7544998330228387,-0.381219759672885,29.02252732305347,-2.740239285685036,-0.6434963405945577,23.704979139260477,35.087975997869975,3.977681297897488,8.455919613368895,2.576332027393374,187.87961813817708,2.780754903850373,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
12,cky_full_012_ckykk,cky,full,cymyy,ckykk,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#4b6138,0.29254901960784313,0.37882352941176467,0.21960784313725487,38.2711690380262,-16.44261410955411,20.52269927615564,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2684,12428,5315,2738,2684,1083,0.3955441928414901,0.65,0.65,8,98.0,7.520271931493721,54,0.019722425127830533,#3a3f3f,0.22745098,0.24705882,0.24705882,26.280212983613005,-1.126878519810165,-1.5520858323309406,26.260813113032626,-1.3706621298466963,-1.5820840551034347,21.146662869659256,29.42194625342924,3.2469287051109936,5.580384540292564,1.5075365083128804,234.0187982951585,1.91802649338636,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
13,cky_full_013_ckykkk,cky,full,cymyyy,ckykkk,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#425432,0.2568627450980392,0.3287581699346405,0.196078431372549,33.32007017858031,-14.096782719633577,17.52696815598317,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4183,17237,7274,4269,4183,2283,0.5347856640899508,0.65,0.65,8,98.0,7.034283472943097,86,0.020145233075661746,#393c3b,0.22352941,0.23529412,0.23137255,24.961293320315683,-1.0962707020107099,-0.2989692221327278,25.32022378580231,-1.2786400344604318,-0.6597925044134072,17.33826315971742,23.59335725781997,2.9936726304267207,5.416291526750342,1.4951113299748597,195.25445241671346,1.1363063177989037,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
14,cky_full_014_ckkkkk,cky,full,cyyyyy,ckkkkk,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#1a3235,0.10326797385620916,0.196078431372549,0.20915032679738557,19.077833939395852,-8.160479684978379,-5.0187367368481395,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1669,8988,3837,1704,1669,347,0.20363849765258216,0.65,0.65,8,98.0,11.86114608640071,35,0.020539906103286387,#38393b,0.21960784,0.22352941,0.23137255,23.863178625509,0.052230359468580234,-1.8702570604527402,25.51133524241356,-0.08206103573166866,-2.6751765037990287,10.325269700144972,10.013044208019167,1.9752350039140292,7.649533193650433,2.718825531179092,271.5996739743514,1.8709862326119724,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
15,cky_full_015_ckkkk,cky,full,cyyyy,ckkkk,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#1c383c,0.10823529411764707,0.21960784313725487,0.2352941176470588,21.56344951872375,-9.397080351688041,-5.825261967203177,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,258,3959,1678,263,258,11,0.04182509505703422,0.65,0.65,8,98.0,8.175272033285175,5,0.019011406844106463,#38393d,0.21960784,0.22352941,0.23921569,24.03789121338862,0.19454933822780907,-2.653733597219615,25.285197023650596,0.13090370960739997,-3.066085861712794,11.113396140176723,10.401000625438966,1.678944277236875,6.480731782569969,2.145052601442982,274.19294169001364,2.660855398178758,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
16,cky_full_016_ckkk,cky,full,cyyy,ckkk,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#1e4146,0.11568627450980393,0.2549019607843137,0.2745098039215686,25.232534499737326,-11.122406133232593,-6.973320342311229,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,734,5698,2426,746,734,251,0.33646112600536193,0.65,0.65,8,98.0,5.767741280800438,12,0.0160857908847185,#383a3f,0.21960784,0.22745098,0.24705882,24.481861813249104,0.04185442774001791,-3.3559284466880612,25.29971857639479,-0.044528680311950196,-3.482673118723392,12.130664571606772,11.759666129701476,1.9103746199539902,4.22560235696715,1.2802573183872583,270.7145437622352,3.3561894363119,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
17,cky_full_017_ckk,cky,full,cyy,ckk,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#215057,0.1281045751633987,0.3137254901960784,0.3398692810457516,31.201352139765312,-13.748019559950198,-8.76521785817328,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1249,7501,3194,1274,1249,1033,0.8108320251177394,0.65,0.65,8,98.0,7.85095533688846,25,0.019623233908948195,#383b40,0.21960784,0.23137255,0.2509804,24.725926471348323,-0.04838451393476828,-4.119651964619287,25.29680465803351,-0.06732298136967939,-4.209806983282592,14.713401098465948,15.849051089972543,1.7357402522625416,4.1555388700067075,1.4385560497620369,269.3271031123236,4.1199360881912055,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
18,cky_full_018_ckckyk,cky,full,cycymy,ckckyk,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#487253,0.28169934640522876,0.4464052287581699,0.32679738562091504,44.22938402361036,-21.753236913888557,12.385254203266937,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3579,15046,6389,3653,3579,2910,0.7966055297016151,0.65,0.65,8,98.0,9.203217909571995,74,0.02025732274842595,#3c4246,0.23529412,0.25882354,0.27450982,27.70383459558414,-1.37762383497525,-3.661880008547902,28.03874666372325,-1.5044699917833826,-3.016794283331876,24.26924116188522,30.75337231348326,3.267562206603938,6.277253042051037,1.8951937236855325,249.38336342319678,3.912443306642883,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
19,cky_full_019_ckckk,cky,full,cycyy,ckckk,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#235c64,0.1380392156862745,0.36078431372549014,0.39215686274509803,35.85791514832934,-15.68952102250737,-10.118639007132145,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1061,7128,3039,1083,1061,1083,1.0,0.65,0.65,8,98.0,4.857710721468545,22,0.020313942751615882,#3a3f48,0.22745098,0.24705882,0.28235295,26.525610863450254,0.026987063579869686,-5.6475222141561865,26.77178372421111,0.0464154549977917,-5.469099576589762,16.775507504098403,18.81731689327811,1.797852032926287,3.4419603856226337,1.0585008156946187,270.2737896402631,5.647586693534527,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
20,cky_full_020_ck,cky,full,cy,ck,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#276e78,0.15294117647058825,0.43137254901960786,0.47058823529411764,42.669972071198394,-18.418486343153294,-12.051757629650407,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1820,9494,4059,1858,1820,1849,0.9951560818083961,0.65,0.65,8,98.0,8.203263065203839,38,0.02045209903121636,#3c424c,0.23529412,0.25882354,0.29803923,27.8257407709578,-0.37439001792868853,-6.714513063808892,28.709836168222242,-0.4086014942366542,-6.620240043335288,20.167073081887114,23.967202478483618,1.9337864147540702,4.290656865989618,1.392765366578897,266.80858778550163,6.724942644334218,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4542cky.tif,DSC_4542cky.tif,DSC_4542,cky,capture_number,4542,c,k,y,CMY+neutral,full__cky__DSC_4542cky,0.5469462169553327
