role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,c,-2,354.0,1132.0,0.4627451002597809,0.6901960968971252,0.8470588326454163,13.458336089901202,-2,0,1,manual_override:full__cgm__DSC_4568cgm,39.221287415080525,520397,506190.26315789483,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,cgm,full,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
top,Y,g,-2,892.421052631579,203.21052631578948,0.47058823704719543,0.7529411911964417,0.5411764979362488,8.93443924290328,-2,0,1,manual_override:full__cgm__DSC_4568cgm,39.221287415080525,520397,506190.26315789483,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,cgm,full,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
bottom_right,M,m,-2,1444.0,1132.0,0.729411780834198,0.4588235318660736,0.6901960968971252,16.828512082276045,-2,0,1,manual_override:full__cgm__DSC_4568cgm,39.221287415080525,520397,506190.26315789483,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4568cgm.tif,DSC_4568cgm.tif,DSC_4568,cgm,cgm,full,capture_number,4568,c,g,m,CMY+OVG,full__cgm__DSC_4568cgm,0.547112462006079
