region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_w,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,cwy_two_color_011_cw,cwy,two_color,cy,cw,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#98dfe9,0.5941176470588235,0.8725490196078431,0.911764705882353,84.47714009895887,-19.637580053559034,-11.93320855548472,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,10879,39915,16849,11083,10879,11083,1.0,0.65,0.65,8,98.0,1.7734251973132187,204,0.01840656861860507,#a0c2ec,0.627451,0.7607843,0.9254902,77.32073986373021,-1.6458925301725547,-24.537094627818767,77.36364783181875,-1.642635234641593,-24.500315098936493,16.246766100282965,23.10352415520926,0.539856603521301,1.1015903509662446,0.3523402871155983,266.1624780077835,24.592234038318082,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
12,cwy_two_color_012_ccwcw,cwy,two_color,ccycy,ccwcw,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#85dae6,0.5207843137254902,0.8549019607843137,0.9019607843137255,82.2833002416743,-22.74293603831096,-13.98008971986997,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,6868,28483,12068,7004,6868,7004,1.0,0.65,0.65,8,98.0,2.9660871176366306,136,0.019417475728155338,#9abeeb,0.6039216,0.74509805,0.92156863,75.83200083828248,-1.1392480534878902,-26.616977035504053,75.67296719172428,-1.1823930170592885,-26.77447318743295,17.099270497682177,25.8462670334775,0.8423883988278583,2.0465078656019657,0.6738929992516149,267.54914734253276,26.641346674594473,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
13,cwy_two_color_013_ccw,cwy,two_color,ccy,ccw,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#78d7e4,0.47189542483660135,0.8431372549019608,0.8954248366013072,80.86869976537044,-24.584811857946644,-15.26882688076956,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,4543,20729,8768,4634,4543,4634,1.0,0.65,0.65,8,98.0,3.3262324218606723,91,0.019637462235649546,#94baeb,0.5803922,0.7294118,0.92156863,74.41435198358309,-0.8691964833622001,-28.428132331314025,74.48952309614364,-0.9027400223333811,-28.306430499108277,17.686695314904803,27.879317384473723,0.9264652535045961,1.9240948096935264,0.6376588020526198,268.2487143592069,28.44141716534869,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
14,cwy_two_color_014_ccwc,cwy,two_color,ccyc,ccwc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#69d3e2,0.41078431372549024,0.8284313725490196,0.8872549019607844,79.15731221950574,-26.594704014567093,-16.789360863889357,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,2814,14584,6157,2870,2814,2870,1.0,0.65,0.65,8,98.0,6.2795778844047785,56,0.01951219512195122,#8bb5ea,0.54509807,0.70980394,0.91764706,72.58297401595004,-0.709088762002319,-30.85990980387856,73.33345443844647,-0.6372788519849308,-29.69917002596034,18.295979115951326,30.187205026155986,1.063691086679067,4.127916414367248,1.4831405278362497,268.6837082235113,30.868055331943378,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
15,cwy_two_color_015_ccwcc,cwy,two_color,ccycc,ccwcc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#5fd1e1,0.37411764705882355,0.8196078431372549,0.8823529411764707,78.16191971863205,-27.6298182850393,-17.651519830013275,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,3750,17130,7238,3823,3750,3823,1.0,0.65,0.65,8,98.0,7.185060767076939,73,0.01909495160868428,#87b3ea,0.5294118,0.7019608,0.91764706,71.67937229089156,-0.30672318755720074,-32.04545851691189,72.48457313786878,-0.3207731897129071,-30.794541744817572,18.752668278293363,31.555671721279392,1.039389776097019,4.813605485615705,1.6945844548205278,269.4516100471793,32.04692638417772,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
16,cwy_two_color_016_c,cwy,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1617,8516,3649,1649,1617,1649,1.0,0.65,0.65,8,98.0,2.1610530779617743,32,0.019405700424499697,#7fade9,0.49803922,0.6784314,0.9137255,69.62799339508588,0.4717888394070724,-34.86730511272067,69.59462445971661,0.497321897766732,-34.80165147040335,19.393177198082277,34.23597327001774,0.6396389691680763,1.4590610658214707,0.47241318678494293,270.77522078931065,34.87049684952232,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
17,cwy_two_color_017_ccycc,cwy,two_color,ccmcc,ccycc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#61cdb0,0.3819607843137255,0.8023529411764706,0.6901960784313725,75.5547352424016,-37.82289322407589,4.864422141720537,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,4251,17061,7230,4338,4251,4338,1.0,0.65,0.65,8,98.0,20.17574695568625,87,0.020055325034578148,#7bbeca,0.48235294,0.74509805,0.7921569,73.18561563256014,-18.128081436632748,-12.770949235798778,73.50733459617524,-19.35330521740212,-8.528707467394815,16.272529961847013,26.542506714543222,5.931810407175739,17.45958420652619,5.538761750325673,215.1640953949337,22.174861464201715,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
18,cwy_two_color_018_ccyc,cwy,two_color,ccmc,ccyc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#6bcea5,0.42058823529411765,0.8068627450980392,0.6470588235294118,75.99398463781759,-38.508338624210936,11.446263813771207,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,3513,14416,6253,3585,3513,3585,1.0,0.65,0.65,8,98.0,13.278570302614146,72,0.0200836820083682,#7fc3bc,0.49803922,0.7647059,0.7372549,74.45043180579485,-23.222249358763435,-2.9735900415645444,74.59458800329094,-23.367266012028225,-1.0635818627237414,10.974323507954262,21.07081549408366,6.453007926685711,11.795252772123566,3.4735089475205494,187.296968804744,23.411858170932966,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
19,cwy_two_color_019_ccy,cwy,two_color,ccm,ccy,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#7cd093,0.4849673202614379,0.8143790849673204,0.5751633986928105,76.86250739489427,-38.58330122000342,22.49598611228505,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,5447,21030,8867,5559,5447,5559,1.0,0.65,0.65,8,98.0,8.494379332295491,112,0.020147508544702285,#86c8a9,0.5254902,0.78431374,0.6627451,75.61771803368765,-27.187583292358486,8.417247203602773,75.75182580288529,-27.282848325195285,9.031407860176042,7.767609526218077,18.155516431626655,4.2937178001515806,7.043395612142134,2.064956932631091,162.79753010341062,28.46075782134919,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
20,cwy_two_color_020_ccycy,cwy,two_color,ccmcm,ccycy,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#89d184,0.5364705882352941,0.820392156862745,0.5176470588235295,77.67664033697756,-37.72301156590308,31.332784159337134,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,7967,28580,12159,8130,7967,8130,1.0,0.65,0.65,8,98.0,11.477030185640043,163,0.02004920049200492,#8dcaa1,0.5529412,0.7921569,0.6313726,76.4545599439825,-27.94496243684175,15.087178139562841,76.52405533645106,-27.93203485570854,13.663822172650764,7.499734346052775,19.00061683753995,3.4529167012284794,8.503482749732612,2.707914319110404,151.63587743062124,31.757579722192293,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4574cwy.tif,DSC_4574cwy.tif,DSC_4574,cwy,capture_number,4574,c,w,y,CMY+neutral,two_color__cwy__DSC_4574cwy,0.6064690026954178
