role,local_corner_label,anchor_token,vertex_index,x_px,y_px,sample_R,sample_G,sample_B,anchor_deltaE00,position_vertex_index,position_disagrees,inferred_geometry,inference_note,registration_score_deltaE00_sum,mask_pixels,triangle_area_px2,orientation_permuted,used_white_vertex_inference,used_manual_registration_override,source_path,filename,photo_id,corner_label,filename_label,condition,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
bottom_left,C,y,-2,399.3157894736842,1125.4736842105262,0.9450980424880981,0.7450980544090271,0.364705890417099,13.314800909924,-2,0,1,manual_override:two_color__ynm__DSC_4591ynm,41.79070441074377,506409,498326.52631578955,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,ynm,two_color,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
top,Y,n,-2,964.0,204.0,0.4901960790157318,0.4588235318660736,0.4431372582912445,11.422846010846621,-2,0,1,manual_override:two_color__ynm__DSC_4591ynm,41.79070441074377,506409,498326.52631578955,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,ynm,two_color,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
bottom_right,M,m,-2,1472.0,1140.0,0.8588235378265381,0.4156862795352936,0.6078431606292725,17.053057489973153,-2,0,1,manual_override:two_color__ynm__DSC_4591ynm,41.79070441074377,506409,498326.52631578955,0,0,1,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4591ynm.tif,DSC_4591ynm.tif,DSC_4591,ynm,ynm,two_color,capture_number,4591,y,n,m,CMY+neutral,two_color__ynm__DSC_4591ynm,0.5366726296958855
