region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_o,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,yom_full_011_yomo,yom,full,cymy,yomo,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#f07b33,0.9411764705882353,0.48235294117647065,0.1980392156862745,64.10511116131309,40.35964623397048,57.484927381678986,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2510,10901,4561,2560,2510,0,0.0,0.65,0.65,8,98.0,3.6111132349078234,50,0.01953125,#ff776c,1.0,0.46666667,0.42352942,66.21882138367057,50.98474739704739,31.131500866719676,66.23275199249463,50.831592492193764,30.999108665890038,16.115071023297045,28.49322085530306,1.7378672519444318,2.7080212920754168,0.7577245065073027,31.408414274697634,59.737884239026236,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
12,yom_full_012_yomoo,yom,full,cymyy,yomoo,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#f37b2e,0.9529411764705882,0.48156862745098045,0.1788235294117647,64.45992758945286,41.4682987934204,59.9998907826573,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2624,12266,5243,2670,2624,0,0.0,0.65,0.65,8,98.0,2.975129112539098,46,0.017228464419475654,#ff766c,1.0,0.46078432,0.42352942,65.92146766785696,51.58267966530533,31.476182065847812,66.03500013893508,51.25340500545737,31.127113328687233,16.66846792851196,30.299154423576358,1.388418938281823,2.438708923966359,0.6866899648417361,31.391890650274547,60.427831989042126,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
13,yom_full_013_yomooo,yom,full,cymyyy,yomooo,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#f57b2a,0.9607843137254902,0.481045751633987,0.16601307189542483,64.70062169711733,42.214634453358876,61.60293228265258,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4098,16950,7153,4170,4098,0,0.0,0.65,0.65,8,98.0,3.0594494127911225,72,0.017266187050359712,#ff756d,1.0,0.45882353,0.42745098,65.92146766785696,51.68350366457419,30.946664102949907,66.0407781330372,51.37454136785043,30.456799584717245,17.29259766801031,32.1085148789106,1.5214630370709512,2.5745224448147326,0.7430750693357635,30.912017650321502,60.24019065496773,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
14,yom_full_014_yooooo,yom,full,cyyyyy,yooooo,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#ff8b16,1.0,0.5444444444444445,0.0849673202614379,69.28372668551506,37.62005111656463,72.0129069127118,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1627,8863,3779,1659,1627,0,0.0,0.65,0.65,8,98.0,3.9146409273623237,32,0.019288728149487643,#ff7b70,1.0,0.48235294,0.4392157,66.96039638526763,49.23331030672512,30.112099443901275,67.55454362112378,48.05411527090063,29.897331580097827,22.380443885339858,43.542431250909985,0.8890166525723503,3.2326027637786128,1.0551439447007525,31.45080865713095,57.711847801622895,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
15,yom_full_015_yoooo,yom,full,cyyyy,yoooo,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#ff8e15,1.0,0.5576470588235295,0.0815686274509804,69.9827856485692,35.900579068845914,72.69096121414668,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,262,3849,1681,267,262,0,0.0,0.65,0.65,8,98.0,2.162476844037303,5,0.018726591760299626,#ff7e70,1.0,0.49411765,0.4392157,67.54434509408522,47.860613881051286,30.451805130108145,67.7532074825291,47.4734056968517,30.384151938023862,22.576661067733177,43.9674280773698,0.7038831024981063,1.509614015427109,0.5225008526370122,32.46697501060174,56.72698473172323,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
16,yom_full_016_yooo,yom,full,cyyy,yooo,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ff9314,1.0,0.5774509803921569,0.07647058823529412,71.04973524387583,33.302977338059705,73.70192716191266,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,733,5609,2431,743,733,0,0.0,0.65,0.65,8,98.0,2.0101727481945875,10,0.013458950201884253,#ff8173,1.0,0.5058824,0.4509804,68.17079655830996,46.55076173414868,30.112099443901275,68.25972098753759,46.39991754651626,30.079456850880653,23.58266403580174,45.64937195456713,0.7089431730070965,1.5619164941903998,0.4822839570803165,32.897449907586235,55.441067368412746,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
17,yom_full_017_yoo,yom,full,cyy,yoo,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#ff9c11,1.0,0.6104575163398693,0.06797385620915032,72.87373589050357,28.9356606984682,75.37165258562459,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1205,7404,3126,1230,1205,0,0.0,0.65,0.65,8,98.0,1.461568226627675,25,0.02032520325203252,#ff8473,1.0,0.5176471,0.4509804,68.75567916431038,45.15287189488154,30.621495470272,68.7572043690497,45.17329941100341,30.560865574207934,25.076268993990542,47.775860976417384,0.6586401366247298,1.1131291863334414,0.3519956301957681,34.144092816916384,54.556922798041604,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
18,yom_full_018_yoyomo,yom,full,cycymy,yoyomo,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#f58c26,0.9607843137254902,0.5470588235294118,0.14901960784313725,68.14436494148174,33.57958141520895,66.0829113964992,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3514,14844,6306,3584,3514,0,0.0,0.65,0.65,8,98.0,4.113062665907944,70,0.01953125,#ff7d6e,1.0,0.49019608,0.43137255,67.41718895550108,47.90828055751434,31.930621917746095,67.29429662269258,48.309179061631866,31.392217445791356,20.494961319279955,37.043478247403286,1.6211397669667151,3.487728357095691,0.9760581323428675,33.683251365859974,57.574021589876395,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
19,yom_full_019_yoyoo,yom,full,cycyy,yoyoo,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#ffa210,1.0,0.6368627450980393,0.0611764705882353,74.37079615128846,25.418703439362755,76.6951025205173,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1059,6979,3038,1080,1059,0,0.0,0.65,0.65,8,98.0,1.6502526782190443,21,0.019444444444444445,#ff8774,1.0,0.5294118,0.45490196,69.36584261193208,43.82266634680698,30.621495470272,69.37067493612169,43.780878701229824,30.68942652663319,26.37757145055113,49.86514491355773,0.526669106137586,1.164873654352527,0.35825520500017877,34.944282906223236,53.46122024963008,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
20,yom_full_020_yo,yom,full,cy,yo,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#ffad0d,1.0,0.6764705882352942,0.050980392156862744,76.67300518430393,20.125485418718892,78.66286162698684,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1756,9420,3971,1789,1756,0,0.0,0.65,0.65,8,98.0,1.6313245217131063,33,0.0184460592509782,#ff8b75,1.0,0.54509807,0.45882353,70.17018635227693,41.90159597892229,31.64948922388069,70.14750970851671,41.873084117519895,31.568088359697786,27.867705579446724,52.21822314676658,0.47252240029863823,0.8596923560903644,0.27109681845983985,37.06480782942651,52.511274158159374,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4553yom.tif,DSC_4553yom.tif,DSC_4553,yom,capture_number,4553,y,o,m,CMY+OVG,full__yom__DSC_4553yom,0.5434782608695652
