symmetry_strategy,symmetry_key,replicate_count,symmetry_classes,panel_names,sub_gamut_names,region_indices,labels,stack_tokens,fC_median,fM_median,fY_median,measured_L,measured_a,measured_b,measured_R,measured_G,measured_B,measured_hex,replicate_deltaE00_median,replicate_deltaE00_p90,replicate_deltaE00_max,example_global_label
panel_local_symmetry,panel_04_down|center|mix_0.000000_0.250000_0.750000,6,,panel_04_down,center,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,49.141794200276635,22.117109327967995,8.676628049145757,0.47254904,0.40980392,0.40392157500000003,#796867,28.541062949107605,46.629708941554625,49.207152781539996,panel_04_down__center::gamut_004_ymyy
panel_local_symmetry,panel_04_down|center|mix_0.000000_0.333333_0.666667,6,,panel_04_down,center,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,50.28379493147201,27.263566556244072,18.38052553730837,0.39411765499999996,0.39411765499999996,0.349019615,#656559,32.10747222802929,48.87981632631454,50.077236331379275,panel_04_down__center::gamut_003_myy
panel_local_symmetry,panel_04_down|center|mix_0.000000_0.400000_0.600000,6,,panel_04_down,center,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,50.94019136959913,30.00846014517792,23.023244682383865,0.376470595,0.378431375,0.32352942,#606153,34.599069668303116,50.39043437946579,51.189546313240555,panel_04_down__center::gamut_002_mymyy
panel_local_symmetry,panel_04_down|center|mix_0.000000_0.500000_0.500000,3,,panel_04_down,center,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,52.112783836899936,29.131509746461365,32.24392993898354,0.36078432,0.37254903,0.2784314,#5c5f47,39.806852111086776,46.88556912174201,48.655248374405815,panel_04_down__center::gamut_001_my
panel_local_symmetry,panel_04_down|corner_1|mix_0.000000_0.000000_1.000000,3,,panel_04_down,corner_1,6;16;26,gamut_006_y;gamut_016_c;gamut_026_m,y;c;m,0.0,0.0,0.0,47.9628228967177,-2.4085682079432456,-2.7538587998475084,0.78039217,0.39215687,0.40392157,#c76467,19.717563498532,39.75558429132788,44.765089489526844,panel_04_down__corner_1::gamut_006_y
panel_local_symmetry,panel_04_down|corner_1|mix_0.000000_0.200000_0.800000,6,,panel_04_down,corner_1,5;7;15;17;25;27,gamut_005_yymyy;gamut_007_yycyy;gamut_015_ccycc;gamut_017_ccmcc;gamut_025_mmcmm;gamut_027_mmymm,yymyy;yycyy;ccycc;ccmcc;mmcmm;mmymm,0.2,0.2,0.2,47.39303461610778,12.065280923631294,8.951200146687126,0.6186274599999999,0.395098045,0.38627451999999995,#9e6563,23.17273749070108,30.418930040026588,34.68102392373111,panel_04_down__corner_1::gamut_005_yymyy
panel_local_symmetry,panel_04_down|corner_1|mix_0.000000_0.250000_0.750000,6,,panel_04_down,corner_1,4;8;14;18;24;28,gamut_004_ymyy;gamut_008_ycyy;gamut_014_ccyc;gamut_018_ccmc;gamut_024_mcmm;gamut_028_mmym,ymyy;ycyy;ccyc;ccmc;mcmm;mmym,0.25,0.25,0.25,48.57623734161045,16.96463053428783,15.464125049288757,0.586274535,0.40196079,0.35490197,#96675b,20.76175226758989,30.91979816502471,33.64931865390265,panel_04_down__corner_1::gamut_004_ymyy
panel_local_symmetry,panel_04_down|corner_1|mix_0.000000_0.333333_0.666667,6,,panel_04_down,corner_1,3;9;13;19;23;29,gamut_003_myy;gamut_009_cyy;gamut_013_ccy;gamut_019_ccm;gamut_023_cmm;gamut_029_mmy,myy;cyy;ccy;ccm;cmm;mmy,0.3333333333333333,0.3333333333333333,0.3333333333333333,49.68830055146583,22.678804448783104,21.953201918681295,0.541176485,0.386274515,0.31960785999999997,#8a6352,23.440243523183725,31.639944514038007,33.31324101489151,panel_04_down__corner_1::gamut_003_myy
panel_local_symmetry,panel_04_down|corner_1|mix_0.000000_0.400000_0.600000,6,,panel_04_down,corner_1,2;10;12;20;22;30,gamut_002_mymyy;gamut_010_cycyy;gamut_012_ccycy;gamut_020_ccmcm;gamut_022_cmcmm;gamut_030_mmymy,mymyy;cycyy;ccycy;ccmcm;cmcmm;mmymy,0.4,0.4,0.4,50.03348311690045,24.862813650371205,27.59297873575671,0.5166667,0.37254902999999995,0.2892157,#845f4a,26.219052546789193,32.066836047044056,32.91097591058368,panel_04_down__corner_1::gamut_002_mymyy
panel_local_symmetry,panel_04_down|corner_1|mix_0.000000_0.500000_0.500000,3,,panel_04_down,corner_1,1;11;21,gamut_001_my;gamut_011_cy;gamut_021_cm,my;cy;cm,0.5,0.5,0.5,50.77180618806557,24.50573601053157,30.768566580583222,0.50980395,0.36078432,0.27450982,#825c46,28.48853638198172,30.727712508240227,31.287506539804852,panel_04_down__corner_1::gamut_001_my
